TargetDeviceFamily,CortexM4,,,,,,,,,,,,,,,
TargetDeviceSubFamily,MK82F25615,mk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Device,MK82FN256VDC15,K82P121M150SF5RM,XFBGA_121,,,,,,,,,,,,,
Device,MK82FN256VLL15,K82P121M150SF5RM,LQFP_100,,,,,,,,,,,,,
Device,MK82FN256VLQ15,K82P121M150SF5RM,LQFP_144,,,,,,,,,,,,,
Device,MK82FN256CAx15,K82P121M150SF5RM,WLCSP_121,,,,,,,,,,,,,
Device,FRDM_K82F,K82P121M150SF5RM,FRDM_K82F,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Key,Pin,Pkg LQFP_144,Pkg LQFP_100,Pkg XFBGA_121,Pkg WLCSP_121,Pkg FRDM_K82F,Reset,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,QSPI_SIP_MODE
Pin,PTE2/LLWU_P1,p3,p3,C1,D10,QSPIA_DATA0,DISABLED,,PTE2/LLWU_P1,SPI1_SOUT,LPUART1_CTS_b,SDHC0_DCLK,QSPI0A_DATA0,,SPI1_SCK,
Pin,PTE3,p4,p4,D2,B11,QSPIA_DATA2,DISABLED,,PTE3,SPI1_PCS2,LPUART1_RTS_b,SDHC0_CMD,QSPI0A_DATA2,,SPI1_SOUT,
Pin,VSS,p5,p5,F7,F6,*,VSS,,,,,,,,,
Pin,VDDIO_E,p6,p6,E5,F7,*,VDDIO_E,,,,,,,,,
Pin,PTE4/LLWU_P2,p7,p7,D1,C11,QSPIA_DATA1,DISABLED,,PTE4/LLWU_P2,SPI1_SIN,LPUART3_TX,SDHC0_D3,QSPI0A_DATA1,,,
Pin,PTE5,p8,p8,E2,E8,QSPIA_SS,DISABLED,,PTE5,SPI1_PCS0,LPUART3_RX,SDHC0_D2,QSPI0A_SS0_B,FTM3_CH0,USB0_SOF_OUT,
Pin,PTE6/LLWU_P16,p9,p9,E1,E9,QSPIB_DATA3,DISABLED,,PTE6/LLWU_P16,SPI1_PCS3,LPUART3_CTS_b,I2S0_MCLK,QSPI0B_DATA3,FTM3_CH1,SDHC0_D4,
Pin,PTE7,p10,p10,F3,E10,QSPIB_SCLK,DISABLED,,PTE7,SPI2_SCK,LPUART3_RTS_b,I2S0_RXD0,QSPI0B_SCLK,FTM3_CH2,QSPI0A_SS1_B,
Pin,PTE8,p11,p11,F2,D11,QSPIB_DATA0,DISABLED,,PTE8,I2S0_RXD1,SPI2_SOUT,I2S0_RX_FS,QSPI0B_DATA0,FTM3_CH3,SDHC0_D5,
Pin,PTE9/LLWU_P17,p12,p12,F1,E11,QSPIB_DATA2,DISABLED,,PTE9/LLWU_P17,I2S0_TXD1,SPI2_PCS1,I2S0_RX_BCLK,QSPI0B_DATA2,FTM3_CH4,SDHC0_D6,
Pin,PTE10/LLWU_P18,p13,p13,G2,F8,QSPIB_DATA1,DISABLED,,PTE10/LLWU_P18,I2C3_SDA,SPI2_SIN,I2S0_TXD0,QSPI0B_DATA1,FTM3_CH5,SDHC0_D7,
Pin,PTE11,p14,p14,G1,F9,QSPIB_SS,DISABLED,,PTE11,I2C3_SCL,SPI2_PCS0,I2S0_TX_FS,QSPI0B_SS0_B,FTM3_CH6,QSPI0A_DQS,
Pin,PTE12,p15,*,*,*,*,DISABLED,,PTE12,LPUART2_TX,I2S0_TX_BCLK,QSPI0B_DQS,FTM3_CH7,FXIO0_D2,QSPI0A_DATA3,
Pin,PTE13,p16,*,*,*,*,DISABLED,,PTE13,LPUART2_RX,QSPI0B_SS1_B,SDHC0_CMD,SDHC0_CLKIN,FXIO0_D3,QSPI0A_SCLK,
Pin,VDDIO_E,p17,p15,*,F10,*,VDDIO_E,,,,,,,,,
Pin,VSS,p18,p16,*,F11,*,VSS,,,,,,,,,
Pin,PTE16,p19,*,*,*,*,ADC0_SE4a,ADC0_SE4a,PTE16,SPI0_PCS0,LPUART2_TX,FTM_CLKIN0,,FTM0_FLT3,FXIO0_D4,QSPI0A_DATA0
Pin,PTE17/LLWU_P19,p20,*,*,*,*,ADC0_SE5a,ADC0_SE5a,PTE17/LLWU_P19,SPI0_SCK,LPUART2_RX,FTM_CLKIN1,,LPTMR0_ALT3/LPTMR1_ALT3,FXIO0_D5,QSPI0A_DATA2
Pin,PTE18/LLWU_P20,p21,*,*,*,*,ADC0_SE6a,ADC0_SE6a,PTE18/LLWU_P20,SPI0_SOUT,LPUART2_CTS_b,I2C0_SDA,,,FXIO0_D6,QSPI0A_DATA1
Pin,PTE19,p22,*,*,*,*,ADC0_SE7a,ADC0_SE7a,PTE19,SPI0_SIN,LPUART2_RTS_b,I2C0_SCL,,,FXIO0_D7,QSPI0A_SS0_B
Pin,VSS,p23,p16,H3,F11,*,VSS,,,,,,,,,
Pin,USB0_DP,p24,p17,H2,G11,USB0_DP,USB0_DP,,,,,,,,,
Pin,USB0_DM,p25,p18,H1,H11,USB0_DM,USB0_DM,,,,,,,,,
Pin,VOUT33,p26,p19,J1,G10,*,VOUT33,,,,,,,,,
Pin,VREGIN,p27,p20,J2,H10,*,VREGIN,,,,,,,,,
Pin,ADC0_DP0,p29,*,K2,J10,*,ADC0_DP0/ADC0_SE0,,,,,,,,,
Pin,ADC0_DM0,p30,*,K1,K10,*,ADC0_DM0/ADC0_SE17,,,,,,,,,
Pin,ADC0_DP3,p31,*,J3,J11,*,ADC0_DP3/ADC0_SE3,,,,,,,,,
Pin,ADC0_DM3,p32,*,K3,K11,*,ADC0_DM3/ADC0_SE20,,,,,,,,,
Pin,VDDA,p33,p22,F5,H8,*,VDDA,,,,,,,,,
Pin,VREFH,p34,p23,G5,H9,*,VREFH,,,,,,,,,
Pin,VREFL,p35,p24,G6,J9,*,VREFL,,,,,,,,,
Pin,VSSA,p36,p25,F6,J8,*,VSSA,,,,,,,,,
Pin,ADC0_DP1,p37,p26,L2,*,ADC0_DP1,ADC0_DP1/ADC0_SE1,,,,,,,,,
Pin,ADC0_DM1,p38,p27,L1,*,ADC0_DM1,ADC0_DM1/ADC0_SE18,,,,,,,,,
Pin,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC0_SE22,p39,p28,L3,L11,VREF_OUT,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC0_SE22,,,,,,,,,
Pin,DAC0_OUT/CMP1_IN3/ADC0_SE23,p40,p29,K4,L10,A6/DAC_OUT,DAC0_OUT/CMP1_IN3/ADC0_SE23,,,,,,,,,
Pin,RTC_WAKEUP_b,p42,p30,K5,H7,RTC_WAKEUP,RTC_WAKEUP_b,,,,,,,,,
Pin,XTAL32,p43,p31,L4,L9,XTAL32,XTAL32,,,,,,,,,
Pin,EXTAL32,p44,p32,L5,L8,EXTAL32,EXTAL32,,,,,,,,,
Pin,VBAT,p45,p33,K6,K8,VBAT,VBAT,,,,,,,,,
Pin,VDD,p46,p34,*,G7,*,VDD,,,,,,,,,
Pin,VSS,p47,p35,*,F6,*,VSS,,,,,,,,,
Pin,PTA20,p48,*,H5,L7,*,DISABLED,,PTA20,I2C0_SCL,LPUART4_TX,FTM_CLKIN1,FXIO0_D8,EWM_OUT_b,TPM_CLKIN1,
Pin,PTA21/LLWU_P21,p49,*,J5,K7,*,DISABLED,,PTA21/LLWU_P21,I2C0_SDA,LPUART4_RX,,FXIO0_D9,EWM_IN,,
Pin,PTA0,p50,p36,L7,J7,SWD_CLK,JTAG_TCLK/SWD_CLK,TSI0_CH1,PTA0,LPUART0_CTS_b,FTM0_CH5,,FXIO0_D10,EMVSIM0_CLK,JTAG_TCLK/SWD_CLK,
Pin,PTA1,p51,p37,H8,J6,D14/ACCEL_SDA/J12_4,JTAG_TDI,TSI0_CH2,PTA1,LPUART0_RX,FTM0_CH6,I2C3_SDA,FXIO0_D11,EMVSIM0_IO,JTAG_TDI,
Pin,PTA2,p52,p38,J7,K6,D15/ACCEL_SCL/J12_3,JTAG_TDO/TRACE_SWO,TSI0_CH3,PTA2,LPUART0_TX,FTM0_CH7,I2C3_SCL,FXIO0_D12,EMVSIM0_PD,JTAG_TDO/TRACE_SWO,
Pin,PTA3,p53,p39,H9,L6,SWD_DIO,JTAG_TMS/SWD_DIO,TSI0_CH4,PTA3,LPUART0_RTS_b,FTM0_CH0,,FXIO0_D13,EMVSIM0_RST,JTAG_TMS/SWD_DIO,
Pin,PTA4/LLWU_P3,p54,p40,J8,H6,SW2,NMI_b,TSI0_CH5,PTA4/LLWU_P3,,FTM0_CH1,,FXIO0_D14,EMVSIM0_VCCEN,NMI_b,
Pin,PTA5,p55,p41,K7,H5,D16,DISABLED,,PTA5,USB0_CLKIN,FTM0_CH2,,FXIO0_D15,I2S0_TX_BCLK,JTAG_TRST_b,
Pin,VDD,p56,*,L10,G6,*,VDD,,,,,,,,,
Pin,VSS,p57,*,K10,F5,*,VSS,,,,,,,,,
Pin,PTA6,p58,*,*,*,*,DISABLED,,PTA6,I2C2_SCL,FTM0_CH3,EMVSIM1_CLK,CLKOUT,,TRACE_CLKOUT,
Pin,PTA7,p59,*,*,*,*,ADC0_SE10,ADC0_SE10,PTA7,I2C2_SDA,FTM0_CH4,EMVSIM1_IO,,,TRACE_D3,
Pin,PTA8,p60,*,*,*,*,ADC0_SE11,ADC0_SE11,PTA8,,FTM1_CH0,EMVSIM1_PD,,FTM1_QD_PHA/TPM1_CH0,TRACE_D2,
Pin,PTA9,p61,*,*,*,*,DISABLED,,PTA9,,FTM1_CH1,EMVSIM1_RST,,FTM1_QD_PHB/TPM1_CH1,TRACE_D1,
Pin,PTA10/LLWU_P22,p62,*,J9,L5,*,DISABLED,,PTA10/LLWU_P22,I2C2_SDA,FTM2_CH0,EMVSIM1_VCCEN,FXIO0_D16,FTM2_QD_PHA/TPM2_CH0,TRACE_D0,
Pin,PTA11/LLWU_P23,p63,*,H7,L4,*,DISABLED,,PTA11/LLWU_P23,I2C2_SCL,FTM2_CH1,FXIO0_D17,FTM2_QD_PHB/TPM2_CH1,,,
Pin,PTA12,p64,p42,K8,K5,D18,DISABLED,,PTA12,FTM1_CH0,TRACE_CLKOUT,FXIO0_D18,I2S0_TXD0,FTM1_QD_PHA/TPM1_CH0,,
Pin,PTA13/LLWU_P4,p65,p43,L8,J5,D17,DISABLED,,PTA13/LLWU_P4,FTM1_CH1,TRACE_D3,FXIO0_D19,I2S0_TX_FS,FTM1_QD_PHB/TPM1_CH1,,
Pin,PTA14,p66,p44,K9,L3,D20,DISABLED,,PTA14,SPI0_PCS0,LPUART0_TX,TRACE_D2,FXIO0_D20,I2S0_RX_BCLK,I2S0_TXD1,
Pin,PTA15,p67,p45,L9,K4,D23,DISABLED,,PTA15,SPI0_SCK,LPUART0_RX,TRACE_D1,FXIO0_D21,I2S0_RXD0,,
Pin,PTA16,p68,p46,J10,J4,D22,DISABLED,,PTA16,SPI0_SOUT,LPUART0_CTS_b,TRACE_D0,FXIO0_D22,I2S0_RX_FS,I2S0_RXD1,
Pin,PTA17,p69,p47,H10,K3,D19,DISABLED,,PTA17,SPI0_SIN,LPUART0_RTS_b,,FXIO0_D23,I2S0_MCLK,,
Pin,VDD,p70,p48,E6,L2,*,VDD,,,,,,,,,
Pin,VSS,p71,p49,G7,K2,*,VSS,,,,,,,,,
Pin,PTA18,p72,p50,L11,L1,EXTAL0,EXTAL0,EXTAL0,PTA18,,FTM0_FLT2,FTM_CLKIN0,,,TPM_CLKIN0,
Pin,PTA19,p73,p51,K11,K1,XTAL0,XTAL0,XTAL0,PTA19,,FTM1_FLT0,FTM_CLKIN1,,LPTMR0_ALT1/LPTMR1_ALT1,TPM_CLKIN1,
Pin,RESET_b,p74,p52,J11,J1,RESET_b,RESET_b,,,,,,,,,
Pin,PTA24,p75,*,*,*,*,DISABLED,,PTA24,EMVSIM0_CLK,,,,FB_A29,,
Pin,PTA25,p76,*,*,*,*,DISABLED,,PTA25,EMVSIM0_IO,,,,FB_A28,,
Pin,PTA26,p77,*,*,*,*,DISABLED,,PTA26,EMVSIM0_PD,,,,FB_A27,,
Pin,PTA27,p78,*,*,*,*,DISABLED,,PTA27,EMVSIM0_RST,,,,FB_A26,,
Pin,PTA28,p79,*,*,*,*,DISABLED,,PTA28,EMVSIM0_VCCEN,,,,FB_A25,,
Pin,PTA29,p80,*,H11,J2,*,DISABLED,,PTA29,,,,,FB_A24,,
Pin,PTB0/LLWU_P5,p81,p53,G11,J3,A0/J12_7,ADC0_SE8/TSI0_CH0,ADC0_SE8/TSI0_CH0,PTB0/LLWU_P5,I2C0_SCL,FTM1_CH0,,SDRAM_CAS_b,FTM1_QD_PHA/TPM1_CH0,FXIO0_D0,
Pin,PTB1,p82,p54,G10,H2,A1,ADC0_SE9/TSI0_CH6,ADC0_SE9/TSI0_CH6,PTB1,I2C0_SDA,FTM1_CH1,,SDRAM_RAS_b,FTM1_QD_PHB/TPM1_CH1,FXIO0_D1,
Pin,PTB2,p83,p55,G9,H1,A5/J12_5,ADC0_SE12/TSI0_CH7,ADC0_SE12/TSI0_CH7,PTB2,I2C0_SCL,LPUART0_RTS_b,,SDRAM_WE,FTM0_FLT3,FXIO0_D2,
Pin,PTB3,p84,p56,G8,H3,A4/J12_6,ADC0_SE13/TSI0_CH8,ADC0_SE13/TSI0_CH8,PTB3,I2C0_SDA,LPUART0_CTS_b,,SDRAM_CS0_b,FTM0_FLT0,FXIO0_D3,
Pin,PTB4,p85,*,B11,H4,*,DISABLED,,PTB4,EMVSIM1_IO,,,SDRAM_CS1_b,FTM1_FLT0,,
Pin,PTB5,p86,*,C11,G1,*,DISABLED,,PTB5,EMVSIM1_CLK,,,,FTM2_FLT0,,
Pin,PTB6,p87,*,F11,G2,*,DISABLED,,PTB6,EMVSIM1_VCCEN,,,FB_AD23/SDRAM_D23,,,
Pin,PTB7,p88,*,E11,G3,*,DISABLED,,PTB7,EMVSIM1_PD,,,FB_AD22/SDRAM_D22,,,
Pin,PTB8,p89,*,D11,G4,*,DISABLED,,PTB8,EMVSIM1_RST,LPUART3_RTS_b,,FB_AD21/SDRAM_D21,,,
Pin,PTB9,p90,p57,E10,G5,J22_4,DISABLED,,PTB9,SPI1_PCS1,LPUART3_CTS_b,FB_AD20/SDRAM_D20,,,,
Pin,PTB10,p91,p58,D10,F1,J12_16,DISABLED,,PTB10,SPI1_PCS0,LPUART3_RX,I2C2_SCL,FB_AD19/SDRAM_D19,FTM0_FLT1,FXIO0_D4,
Pin,PTB11,p92,p59,C10,F2,J12_15,DISABLED,,PTB11,SPI1_SCK,LPUART3_TX,I2C2_SDA,FB_AD18/SDRAM_D18,FTM0_FLT2,FXIO0_D5,
Pin,VSS,p93,p60,L6,F5,*,VSS,,,,,,,,,
Pin,VDD,p94,p61,E7,G6,*,VDD,,,,,,,,,
Pin,PTB16,p95,p62,B10,E1,D0,TSI0_CH9,TSI0_CH9,PTB16,SPI1_SOUT,LPUART0_RX,FTM_CLKIN0,FB_AD17/SDRAM_D17,EWM_IN,TPM_CLKIN0,
Pin,PTB17,p96,p63,E9,F3,D1,TSI0_CH10,TSI0_CH10,PTB17,SPI1_SIN,LPUART0_TX,FTM_CLKIN1,FB_AD16/SDRAM_D16,EWM_OUT_b,TPM_CLKIN1,
Pin,PTB18,p97,p64,D9,F4,TSI_1/J12_14,TSI0_CH11,TSI0_CH11,PTB18,,FTM2_CH0,I2S0_TX_BCLK,FB_AD15/SDRAM_A23,FTM2_QD_PHA/TPM2_CH0,FXIO0_D6,
Pin,PTB19,p98,p65,C9,E2,TSI_2/J12_13,TSI0_CH12,TSI0_CH12,PTB19,,FTM2_CH1,I2S0_TX_FS,FB_OE_b,FTM2_QD_PHB/TPM2_CH1,FXIO0_D7,
Pin,PTB20,p99,p66,F10,D1,D24/J12_12,DISABLED,,PTB20,SPI2_PCS0,,,FB_AD31/SDRAM_D31,CMP0_OUT,FXIO0_D8,
Pin,PTB21,p100,p67,F9,E3,D21/J12_11,DISABLED,,PTB21,SPI2_SCK,,,FB_AD30/SDRAM_D30,CMP1_OUT,FXIO0_D9,
Pin,PTB22,p101,p68,F8,E4,D22/J12_10,DISABLED,,PTB22,SPI2_SOUT,,,FB_AD29/SDRAM_D29,,FXIO0_D10,
Pin,PTB23,p102,p69,E8,D2,D23/J12_9/J22_8,DISABLED,,PTB23,SPI2_SIN,SPI0_PCS5,,FB_AD28/SDRAM_D28,,FXIO0_D11,
Pin,PTC0,p103,p70,B9,C1,D24/J22_3,ADC0_SE14/TSI0_CH13,ADC0_SE14/TSI0_CH13,PTC0,SPI0_PCS4,PDB0_EXTRG,USB0_SOF_OUT,FB_AD14/SDRAM_A22,I2S0_TXD1,FXIO0_D12,
Pin,PTC1/LLWU_P6,p104,p71,D8,D3,A2,ADC0_SE15/TSI0_CH14,ADC0_SE15/TSI0_CH14,PTC1/LLWU_P6,SPI0_PCS3,LPUART1_RTS_b,FTM0_CH0,FB_AD13/SDRAM_A21,I2S0_TXD0,FXIO0_D13,
Pin,PTC2,p105,p72,C8,C2,A3,ADC0_SE4b/CMP1_IN0/TSI0_CH15,ADC0_SE4b/CMP1_IN0/TSI0_CH15,PTC2,SPI0_PCS2,LPUART1_CTS_b,FTM0_CH1,FB_AD12/SDRAM_A20,I2S0_TX_FS,,
Pin,PTC3/LLWU_P7,p106,p73,B8,B1,D8/BT_UART_RX/J12_8,CMP1_IN1,CMP1_IN1,PTC3/LLWU_P7,SPI0_PCS1,LPUART1_RX,FTM0_CH2,CLKOUT,I2S0_TX_BCLK,,
Pin,VSS,p107,p74,*,E5,*,VSS,,,,,,,,,
Pin,VDD,p108,p75,*,G6,*,VDD,,,,,,,,,
Pin,PTC4/LLWU_P8,p109,p76,A8,A1,BT_UART_TX,DISABLED,,PTC4/LLWU_P8,SPI0_PCS0,LPUART1_TX,FTM0_CH3,FB_AD11/SDRAM_A19,CMP1_OUT,,
Pin,PTC5/LLWU_P9,p110,p77,D7,B2,D9,DISABLED,,PTC5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2/LPTMR1_ALT2,I2S0_RXD0,FB_AD10/SDRAM_A18,CMP0_OUT,FTM0_CH2,
Pin,PTC6/LLWU_P10,p111,p78,C7,C3,SW3,CMP0_IN0,CMP0_IN0,PTC6/LLWU_P10,SPI0_SOUT,PDB0_EXTRG,I2S0_RX_BCLK,FB_AD9/SDRAM_A17,I2S0_MCLK,FXIO0_D14,
Pin,PTC7,p112,p79,B7,A2,D21,CMP0_IN1,CMP0_IN1,PTC7,SPI0_SIN,USB0_SOF_OUT,I2S0_RX_FS,FB_AD8/SDRAM_A16,,FXIO0_D15,
Pin,PTC8,p113,p80,A7,B3,D6/RED_LED/J12_17,CMP0_IN2,CMP0_IN2,PTC8,,FTM3_CH4,I2S0_MCLK,FB_AD7/SDRAM_A15,,FXIO0_D16,
Pin,PTC9,p114,p81,D6,D4,D7/GREEN_LED/J12_18,CMP0_IN3,CMP0_IN3,PTC9,,FTM3_CH5,I2S0_RX_BCLK,FB_AD6/SDRAM_A14,FTM2_FLT0,FXIO0_D17,
Pin,PTC10,p115,p82,C6,A3,D5/BLUE_LED,DISABLED,,PTC10,I2C1_SCL,FTM3_CH6,I2S0_RX_FS,FB_AD5/SDRAM_A13,,FXIO0_D18,
Pin,PTC11/LLWU_P11,p116,p83,C5,C4,D4,DISABLED,,PTC11/LLWU_P11,I2C1_SDA,FTM3_CH7,I2S0_RXD1,FB_RW_b,,FXIO0_D19,
Pin,PTC12,p117,p84,B6,B4,D2,DISABLED,,PTC12,,LPUART4_RTS_b,FTM_CLKIN0,FB_AD27/SDRAM_D27,FTM3_FLT0,TPM_CLKIN0,
Pin,PTC13,p118,p85,A6,A4,ACCEL_INT1,DISABLED,,PTC13,,LPUART4_CTS_b,FTM_CLKIN1,FB_AD26/SDRAM_D26,,TPM_CLKIN1,
Pin,PTC14,p119,p86,A5,D5,Console_Rx,DISABLED,,PTC14,,LPUART4_RX,,FB_AD25/SDRAM_D25,,FXIO0_D20,
Pin,PTC15,p120,p87,B5,C5,Console_Tx,DISABLED,,PTC15,,LPUART4_TX,,FB_AD24/SDRAM_D24,,FXIO0_D21,
Pin,VSS,p121,p88,*,F6,*,VSS,,,,,,,,,
Pin,VDD,p122,p89,*,E6,*,VDD,,,,,,,,,
Pin,PTC16,p123,*,D5,A5,*,DISABLED,,PTC16,,LPUART3_RX,,FB_CS5_b/FB_TSIZ1/FB_BE23_16_BLS15_8_b/SDRAM_DQM2,,,
Pin,PTC17,p124,p90,C4,B5,USB_PWR_FLAG,DISABLED,,PTC17,,LPUART3_TX,,FB_CS4_b/FB_TSIZ0/FB_BE31_24_BLS7_0_b/SDRAM_DQM3,,,
Pin,PTC18,p125,*,B4,A6,*,DISABLED,,PTC18,,LPUART3_RTS_b,,FB_TBST_b/FB_CS2_b/FB_BE15_8_BLS23_16_b/SDRAM_DQM1,,,
Pin,PTC19,p126,*,A4,B6,*,DISABLED,,PTC19,,LPUART3_CTS_b,,FB_CS3_b/FB_BE7_0_BLS31_24_b/SDRAM_DQM0,FB_TA_b,,
Pin,PTD0/LLWU_P12,p127,p91,D4,C6,D3,DISABLED,,PTD0/LLWU_P12,SPI0_PCS0,LPUART2_RTS_b,FTM3_CH0,FB_ALE/FB_CS1_b/FB_TS_b,,FXIO0_D22,
Pin,PTD1,p128,p92,D3,D6,D13,ADC0_SE5b,ADC0_SE5b,PTD1,SPI0_SCK,LPUART2_CTS_b,FTM3_CH1,FB_CS0_b,,FXIO0_D23,
Pin,PTD2/LLWU_P13,p129,p93,C3,D7,D11,DISABLED,,PTD2/LLWU_P13,SPI0_SOUT,LPUART2_RX,FTM3_CH2,FB_AD4/SDRAM_A12,,I2C0_SCL,
Pin,PTD3,p130,p94,B3,A7,D12,DISABLED,,PTD3,SPI0_SIN,LPUART2_TX,FTM3_CH3,FB_AD3/SDRAM_A11,,I2C0_SDA,
Pin,PTD4/LLWU_P14,p131,p95,A3,B7,D10,DISABLED,,PTD4/LLWU_P14,SPI0_PCS1,LPUART0_RTS_b,FTM0_CH4,FB_AD2/SDRAM_A10,EWM_IN,SPI1_PCS0,
Pin,PTD5,p132,p96,A2,C7,J22_5,ADC0_SE6b,ADC0_SE6b,PTD5,SPI0_PCS2,LPUART0_CTS_b,FTM0_CH5,FB_AD1/SDRAM_A9,EWM_OUT_b,SPI1_SCK,
Pin,PTD6/LLWU_P15,p133,p97,B2,A8,J22_6,ADC0_SE7b,ADC0_SE7b,PTD6/LLWU_P15,SPI0_PCS3,LPUART0_RX,FTM0_CH6,FB_AD0,FTM0_FLT0,SPI1_SOUT,
Pin,VSS,p134,p98,*,F6,*,VSS,,,,,,,,,
Pin,VDD,p135,p99,*,E7,*,VDD,,,,,,,,,
Pin,PTD7,p136,p100,A1,B8,J22_7,DISABLED,,PTD7,CMT_IRO,LPUART0_TX,FTM0_CH7,SDRAM_CKE,FTM0_FLT1,SPI1_SIN,
Pin,PTD8/LLWU_P24,p137,*,A10,A9,*,DISABLED,,PTD8/LLWU_P24,I2C0_SCL,,,,FB_A16,FXIO0_D24,
Pin,PTD9,p138,*,A9,C8,*,DISABLED,,PTD9,I2C0_SDA,,,,FB_A17,FXIO0_D25,
Pin,PTD10,p139,*,E4,B9,*,DISABLED,,PTD10,,,,,FB_A18,FXIO0_D26,
Pin,PTD11/LLWU_P25,p140,*,E3,A10,*,DISABLED,,PTD11/LLWU_P25,SPI2_PCS0,,,,FB_A19,FXIO0_D27,
Pin,PTD12,p141,*,F4,D8,*,DISABLED,,PTD12,SPI2_SCK,FTM3_FLT0,,,FB_A20,FXIO0_D28,
Pin,PTD13,p142,*,G3,C9,*,DISABLED,,PTD13,SPI2_SOUT,,,,FB_A21,FXIO0_D29,
Pin,PTD14,p143,*,G4,B10,*,DISABLED,,PTD14,SPI2_SIN,,,,FB_A22,FXIO0_D30,
Pin,PTD15,p144,*,H4,A11,*,DISABLED,,PTD15,SPI2_PCS1,,,,FB_A23,FXIO0_D31,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Peripheral,,,,,,,,,,,,,,,
Peripheral,MCG,,,,,,,,,,,,,,,
Peripheral,I2C3,,,,,,,,,,,,,,,
Peripheral,I2C2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,FLEXIO,,,,,,,,,,,,,,,
Peripheral,QSPI0,,,,,,,,,,,,,,,
Peripheral,LPUART4,,,,,,,,,,,,,,,
Peripheral,EMVSIM1,,,,,,,,,,,,,,,
Peripheral,EMVSIM0,,,,,,,,,,,,,,,
Peripheral,LTC,,,,,,,,,,,,,,,
Peripheral,DAC0,,,,,,,,,,,,,,,
Peripheral,TPM2,,,,,,,,,,,,,,,
Peripheral,TPM1,,,,,,,,,,,,,,,
Peripheral,LPUART3,,,,,,,,,,,,,,,
Peripheral,LPUART2,,,,,,,,,,,,,,,
Peripheral,LPUART1,,,,,,,,,,,,,,,
Peripheral,LPUART0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,FTM3,,,,,,,,,,,,,,,
Peripheral,FTM2,,,,,,,,,,,,,,,
Peripheral,SDHC0,,,,,,,,,,,,,,,
Peripheral,SPI2,,,,,,,,,,,,,,,
Peripheral,TRNG0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,VREF,,,,,,,,,,,,,,,
Peripheral,CMP0,,,,,,,,,,,,,,,
Peripheral,USB0,,,,,,,,,,,,,,,
Peripheral,I2C1,,,,,,,,,,,,,,,
Peripheral,I2C0,,,,,,,,,,,,,,,
