TargetDeviceFamily,CortexM4,,,,,,,,,,,,,,,,
TargetDeviceSubFamily,MK22F12810,mk,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Device,MK22FN128VDC10,K22P121M100SF9RM,BGA_121,,,,,,,,,,,,,,
Device,MK22FN128VLL10,K22P121M100SF9RM,LQFP_100,,,,,,,,,,,,,,
Device,MK22FN128VMP10,K22P121M100SF9RM,BGA_64,,,,,,,,,,,,,,
Device,MK22FN128VLH10,K22P121M100SF9RM,LQFP_64,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Key,Pin,pkg BGA_121,pkg LQFP_100,pkg LQFP_64,pkg BGA_64,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort,Seq
Pin,PTC2,C8,p72,p45,B7,ADC0_SE4b/CMP1_IN0,,ADC0_SE4b/CMP1_IN0,PTC2,SPI0_PCS2,UART1_CTS_b,FTM0_CH1,,I2S0_TX_FS,LPUART0_CTS_b,,74
Pin,PTC3,B8,p73,p46,C8,CMP1_IN1,,CMP1_IN1,PTC3/LLWU_P7,SPI0_PCS1,UART1_RX,FTM0_CH2,CLKOUT,I2S0_TX_BCLK,LPUART0_RX,,75
,VSS,,p74,p47,E3,VSS,,,,,,,,,,,76
,VDD,,p75,p48,E4,VDD,,,,,,,,,,,77
Pin,PTC4,A8,p76,p49,B8,Disabled,,,PTC4/LLWU_P8,SPI0_PCS0,UART1_TX,FTM0_CH3,,CMP1_OUT,LPUART0_TX,,78
Pin,PTC5,D7,p77,p50,A8,Disabled,,,PTC5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,,CMP0_OUT,FTM0_CH2,,79
Pin,PTC6,C7,p78,p51,A7,CMP0_IN0,,CMP0_IN0,PTC6/LLWU_P10,SPI0_SOUT,PDB0_EXTRG,I2S0_RX_BCLK,,I2S0_MCLK,,,80
Pin,PTC7,B7,p79,p52,B6,CMP0_IN1,,CMP0_IN1,PTC7,SPI0_SIN,USB_SOF_OUT,I2S0_RX_FS,,,,,81
Pin,PTC8,A7,p80,p53,A6,ADC1_SE4b/CMP0_IN2,,ADC1_SE4b/CMP0_IN2,PTC8,,,I2S0_MCLK,,,,,82
Pin,PTC9,D6,p81,p54,B5,ADC1_SE5b/CMP0_IN3,,ADC1_SE5b/CMP0_IN3,PTC9,,,I2S0_RX_BCLK,,FTM2_FLT0,,,83
Pin,PTC10,C6,p82,p55,B4,ADC1_SE6b,,ADC1_SE6b,PTC10,I2C1_SCL,,I2S0_RX_FS,,,,,84
Pin,PTC11,C5,p83,p56,A5,ADC1_SE7b,,ADC1_SE7b,PTC11/LLWU_P11,I2C1_SDA,,,,,,,85
Pin,PTC12,B6,p84,*,*,Disabled,,,PTC12,,,,,,,,86
Pin,PTC13,A6,p85,*,*,Disabled,,,PTC13,,,,,,,,87
Pin,PTC14,A5,p86,*,*,Disabled,,,PTC14,,,,,,,,88
Pin,PTC15,B5,p87,*,*,Disabled,,,PTC15,,,,,,,,89
,VSS,F7,p88,*,*,VSS,,,,,,,,,,,90
,VDD,E7,p89,*,*,VDD,,,,,,,,,,,91
Pin,PTC16,D5,p90,*,*,Disabled,,,PTC16,,LPUART0_RX,,,,,,92
Pin,PTC17,C4,p91,*,*,Disabled,,,PTC17,,LPUART0_TX,,,,,,93
Pin,PTC18,B4,p92,*,*,Disabled,,,PTC18,,LPUART0_RTS_b,,,,,,94
Pin,PTD0,D4,p93,p57,C3,Disabled,,,PTD0/LLWU_P12,SPI0_PCS0,UART2_RTS_b,,,LPUART0_RTS_b,,,95
Pin,PTD1,D3,p94,p58,A4,ADC0_SE5b,,ADC0_SE5b,PTD1,SPI0_SCK,UART2_CTS_b,,,LPUART0_CTS_b,,,96
Pin,PTD2,C3,p95,p59,C2,Disabled,,,PTD2/LLWU_P13,SPI0_SOUT,UART2_RX,,,LPUART0_RX,I2C0_SCL,,97
Pin,PTD3,B3,p96,p60,B3,Disabled,,,PTD3,SPI0_SIN,UART2_TX,,,LPUART0_TX,I2C0_SDA,,98
Pin,PTD4,A3,p97,p61,A3,Disabled,,,PTD4/LLWU_P14,SPI0_PCS1,UART0_RTS_b,FTM0_CH4,,EWM_IN,SPI1_PCS0,,99
Pin,PTD5,A2,p98,p62,C1,ADC0_SE6b,,ADC0_SE6b,PTD5,SPI0_PCS2,UART0_CTS_b,FTM0_CH5,,EWM_OUT_b,SPI1_SCK,,100
Pin,PTD6,B2,p99,p63,B2,ADC0_SE7b,,ADC0_SE7b,PTD6/LLWU_P15,SPI0_PCS3,UART0_RX,FTM0_CH6,,FTM0_FLT0,SPI1_SOUT,,101
Pin,PTD7,A1,p100,p64,A2,Disabled,,,PTD7,,UART0_TX,FTM0_CH7,,FTM0_FLT1,SPI1_SIN,,102
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),Clock source,,,,,,,,,,,,,
Peripheral,MCG,,,,,,,,,,,,,,,,
Peripheral,EWM,SIM->SCGC4,,,,,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,,,,,,,,,,,,,,
Peripheral,I2C1,SIM->SCGC4,,,,,,,,,,,,,,,
Peripheral,UART0,SIM->SCGC4,,,,,,,,,,,,,,,
Peripheral,UART1,SIM->SCGC4,,,,,,,,,,,,,,,
Peripheral,UART2,SIM->SCGC4,,,,,,,,,,,,,,,
Peripheral,USB0,SIM->SCGC4,SIM_SCGC4_USBOTG_MASK,,,,,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,SIM_SCGC4_CMP_MASK,,,,,,,,,,,,,,
Peripheral,CMP1,SIM->SCGC4,SIM_SCGC4_CMP_MASK,,,,,,,,,,,,,,
Peripheral,VREF,SIM->SCGC4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,,,,,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,,,,,,,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,,,,,,,,,,,,,,
Peripheral,PORTC,SIM->SCGC5,,,,,,,,,,,,,,,
Peripheral,PORTD,SIM->SCGC5,,,,,,,,,,,,,,,
Peripheral,PORTE,SIM->SCGC5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,FTFA,SIM->SCGC6,SIM_SCGC6_FTF_MASK,,,,,,,,,,,,,,
Peripheral,DMAMUX0,SIM->SCGC6,SIM_SCGC6_DMAMUX0_MASK,,,,,,,,,,,,,,
Peripheral,ADC1,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,LPUART0,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,SPI1,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,I2S0,SIM->SCGC6,SIM_SCGC6_I2S_MASK,,,,,,,,,,,,,,
Peripheral,CRC0,SIM->SCGC6,SIM_SCGC6_CRC_MASK,,,,,,,,,,,,,,
Peripheral,PDB0,SIM->SCGC6,SIM_SCGC6_PDB_MASK,,,,,,,,,,,,,,
Peripheral,PIT,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,FTM0,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,FTM1,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,FTM2,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,RTC,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,DAC0,SIM->SCGC6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,DMA0,SIM->SCGC7,SIM_SCGC7_DMA_MASK,,,,,,,,,,,,,,
Peripheral,SMC,,,,,,,,,,,,,,,,
Peripheral,SIM,,,,,,,,,,,,,,,,
Peripheral,CONSOLE,,,,,,,,,,,,,,,,
Peripheral,LLWU,,,,,,,,,,,,,,,,
Peripheral,PMC,,,,,,,,,,,,,,,,
Peripheral,MCM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LPTMR_PCS,0,MCGIRCLK,,,,,,,,,,,,,,,
,1,LPO - 1 kHz clock,,,,,,,,,,,,,,,
,2,ERCLK32K,,,,,,,,,,,,,,,
,3,OSCERCLK_UNDIV - Undivided external,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Param,FTFA,pflash_sector_size,2048,,,,,,,,,,,,,,
Param,FTFA,pflash_phrase_size,8,,,,,,,,,,,,,,
