Family,MKL46Z4,mkl,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Device,MKL46Z128VLH4,KL46P121M48SF4RM,LQFP_64,,,,,,,,,,,,,
Device,MKL46Z256VLH4,KL46P121M48SF4RM,LQFP_64,,,,,,,,,,,,,
Device,MKL46Z256VMP4,KL46P121M48SF4RM,BGA_64,,,,,,,,,,,,,
Device,MKL46Z128VLL4,KL46P121M48SF4RM,LQFP_100,,,,,,,,,,,,,
Device,MKL46Z256VLL4,KL46P121M48SF4RM,LQFP_100,,,,,,,,,,,,,
Device,MKL46Z128VMC4,KL46P121M48SF4RM,BGA_121,,,,,,,,,,,,,
Device,MKL46Z256VMC4,KL46P121M48SF4RM,BGA_121,,,,,,,,,,,,,
Device,FRDM_KL46Z4,KL46P121M48SF4RM,FRDM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Key,Pin,Pkg BGA_121,Pkg LQFP_100,Pkg BGA_64,Pkg LQFP_64,Pkg FRDM,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7
Pin,PTE17,H2,p15,*,*,,LCD_P56/ADC0_DM1/ADC0_SE5a,,LCD_P56/ADC0_DM1/ADC0_SE5a,PTE17,SPI0_SCK,UART2_RX,TPM_CLKIN1,,LPTMR0_ALT3,LCD_P56
Pin,PTE18,J1,p16,*,*,,LCD_P57/ADC0_DP2/ADC0_SE2,,LCD_P57/ADC0_DP2/ADC0_SE2,PTE18,SPI0_MOSI,,I2C0_SDA,SPI0_MISO,,LCD_P57
Pin,PTE19,J2,p17,*,*,,LCD_P58/ADC0_DM2/ADC0_SE6a,,LCD_P58/ADC0_DM2/ADC0_SE6a,PTE19,SPI0_MISO,,I2C0_SCL,SPI0_MOSI,,LCD_P58
Pin,PTE20,K1,p18,pG1,p9,,LCD_P59/ADC0_DP0/ADC0_SE0,,LCD_P59/ADC0_DP0/ADC0_SE0,PTE20,,TPM1_CH0,UART0_TX,,,LCD_P59
Pin,PTE21,K2,p19,pF1,p10,,LCD_P60/ADC0_DM0/ADC0_SE4a,,LCD_P60/ADC0_DM0/ADC0_SE4a,PTE21,,TPM1_CH1,UART0_RX,,,LCD_P60
Pin,PTE22,L1,p20,pG2,p11,LIGHT_SENS,ADC0_DP3/ADC0_SE3,,ADC0_DP3/ADC0_SE3,PTE22,,TPM2_CH0,UART2_TX,,,
Pin,PTE23,L2,p21,pF2,p12,,ADC0_DM3/ADC0_SE7a,,ADC0_DM3/ADC0_SE7a,PTE23,,TPM2_CH1,UART2_RX,,,
Pin,VDDA,F5,p22,pF4,p13,,VDDA,,,,,,,,,
Pin,VREFH,G5,p23,pG4,p14,,VREFH,,,,,,,,,
Pin,VREFL,G6,p24,pG3,p15,,VREFL,,,,,,,,,
Pin,VSSA,F6,p25,pF3,p16,,VSSA,,,,,,,,,
Pin,PTE29,L3,p26,pH1,p17,LED_RED,CMP0_IN5/ADC0_SE4b,,CMP0_IN5/ADC0_SE4b,PTE29,,TPM0_CH2,TPM_CLKIN0,,,
Pin,PTE30,K5,p27,pH2,p18,,DAC0_OUT/ADC0_SE23/CMP0_IN4,,DAC0_OUT/ADC0_SE23/CMP0_IN4,PTE30,,TPM0_CH3,TPM_CLKIN1,,,
Pin,PTE31,L4,p28,pH3,p19,,DISABLED,,DISABLED,PTE31,,TPM0_CH4,,,,
Pin,VSS2,L5,p29,*,*,,VSS2,,,,,,,,,
Pin,VDD2,K6,p30,*,*,,VDD2,,,,,,,,,
Pin,PTE24,H5,p31,pH4,p20,MAG_SCL/ACC_SCL,DISABLED,,DISABLED,PTE24,,TPM0_CH0,,I2C0_SCL,,
Pin,PTE25,J5,p32,pH5,p21,MAG_SDA/ACC_SDA,DISABLED,,DISABLED,PTE25,,TPM0_CH1,,I2C0_SDA,,
Pin,PTE26,H6,p33,*,*,,DISABLED,,DISABLED,PTE26,,TPM0_CH5,,,RTC_CLKOUT,USB_CLKIN
Pin,PTA0,J6,p34,pD3,p22,,SWD_CLK,,TSI0_CH1,PTA0,,TPM0_CH5,,,,SWD_CLK
Pin,PTA1,H8,p35,pD4,p23,D0,TSI0_CH2,,TSI0_CH2,PTA1,UART0_RX,TPM2_CH0,,,,
Pin,PTA2,J7,p36,pE5,p24,D1,TSI0_CH3,,TSI0_CH3,PTA2,UART0_TX,TPM2_CH1,,,,
Pin,PTA3,H9,p37,pD5,p25,,SWD_DIO,,TSI0_CH4,PTA3,I2C1_SCL,TPM0_CH0,,,,SWD_DIO
Pin,PTA4,J8,p38,pG5,p26,D4,NMI_b,,TSI0_CH5,PTA4,I2C1_SDA,TPM0_CH1,,,,NMI_b
Pin,PTA5,K7,p39,pF5,p27,D5,DISABLED,,DISABLED,PTA5,USB_CLKIN,TPM0_CH2,,,I2S0_TX_BCLK,
Pin,VDD3,E5,*,*,*,,VDD3,,,,,,,,,
Pin,VSS3,G3,*,*,*,,VSS3,,,,,,,,,
Pin,PTA6,K3,p40,*,*,,DISABLED,,DISABLED,PTA6,,TPM0_CH3,,,,
Pin,PTA7,H4,p41,*,*,,DISABLED,,DISABLED,PTA7,,TPM0_CH4,,,,
Pin,PTA12,K8,p42,pH6,p28,D3,DISABLED,,DISABLED,PTA12,,TPM1_CH0,,,I2S0_TXD0,
Pin,PTA13,L8,p43,pG6,p29,D8,DISABLED,,DISABLED,PTA13,,TPM1_CH1,,,I2S0_TX_FS,
Pin,PTA14,K9,p44,*,*,,DISABLED,,DISABLED,PTA14,SPI0_PCS0,UART0_TX,,,I2S0_RX_BCLK,I2S0_TXD0
Pin,PTA15,L9,p45,*,*,,DISABLED,,DISABLED,PTA15,SPI0_SCK,UART0_RX,,,I2S0_RXD0,
Pin,PTA16,J10,p46,*,*,,DISABLED,,DISABLED,PTA16,SPI0_MOSI,,,SPI0_MISO,I2S0_RX_FS,I2S0_RXD0
Pin,PTA17,H10,p47,*,*,,DISABLED,,DISABLED,PTA17,SPI0_MISO,,,SPI0_MOSI,I2S0_MCLK,
Pin,VDD4,L10,p48,pG7,p30,,VDD4,,,,,,,,,
Pin,VSS4,K10,p49,pH7,p31,,VSS4,,,,,,,,,
Pin,PTA18,L11,p50,pH8,p32,,EXTAL0,,EXTAL0,PTA18,,UART1_RX,TPM_CLKIN0,,,
Pin,PTA19,K11,p51,pG8,p33,,XTAL0,,XTAL0,PTA19,,UART1_TX,TPM_CLKIN1,,LPTMR0_ALT1,
Pin,PTA20,J11,p52,pF8,p34,,RESET_b,,,PTA20,,,,,,RESET_b
Pin,PTB0/LLWU_P5,G11,p53,pF7,p35,A0,LCD_P0/ADC0_SE8/TSI0_CH0,,LCD_P0/ADC0_SE8/TSI0_CH0,PTB0/LLWU_P5,I2C0_SCL,TPM1_CH0,,,,LCD_P0
Pin,PTB1,G10,p54,pF6,p36,A1,LCD_P1/ADC0_SE9/TSI0_CH6,,LCD_P1/ADC0_SE9/TSI0_CH6,PTB1,I2C0_SDA,TPM1_CH1,,,,LCD_P1
Pin,PTB2,G9,p55,pE7,p37,A2,LCD_P2/ADC0_SE12/TSI0_CH7,,LCD_P2/ADC0_SE12/TSI0_CH7,PTB2,I2C0_SCL,TPM2_CH0,,,,LCD_P2
Pin,PTB3,G8,p56,pE8,p38,A3,LCD_P3/ADC0_SE13/TSI0_CH8,,LCD_P3/ADC0_SE13/TSI0_CH8,PTB3,I2C0_SDA,TPM2_CH1,,,,LCD_P3
Pin,PTB7,E11,p57,*,*,,LCD_P7,,LCD_P7,PTB7,,,,,,LCD_P7
Pin,PTB8,D11,p58,*,*,,LCD_P8,,LCD_P8,PTB8,SPI1_PCS0,EXTRG_IN,,,,LCD_P8
Pin,PTB9,E10,p59,*,*,,LCD_P9,,LCD_P9,PTB9,SPI1_SCK,,,,,LCD_P9
Pin,PTB10,D10,p60,*,*,,LCD_P10,,LCD_P10,PTB10,SPI1_PCS0,,,,,LCD_P10
Pin,PTB11,C10,p61,*,*,,LCD_P11,,LCD_P11,PTB11,SPI1_SCK,,,,,LCD_P11
Pin,PTB16,B10,p62,pE6,p39,,LCD_P12/TSI0_CH9,,LCD_P12/TSI0_CH9,PTB16,SPI1_MOSI,UART0_RX,TPM_CLKIN0,SPI1_MISO,,LCD_P12
Pin,PTB17,E9,p63,pD7,p40,,LCD_P13/TSI0_CH10,,LCD_P13/TSI0_CH10,PTB17,SPI1_MISO,UART0_TX,TPM_CLKIN1,SPI1_MOSI,,LCD_P13
Pin,PTB18,D9,p64,pD6,p41,,LCD_P14/TSI0_CH11,,LCD_P14/TSI0_CH11,PTB18,,TPM2_CH0,I2S0_TX_BCLK,,,LCD_P14
Pin,PTB19,C9,p65,pC7,p42,,LCD_P15/TSI0_CH12,,LCD_P15/TSI0_CH12,PTB19,,TPM2_CH1,I2S0_TX_FS,,,LCD_P15
Pin,PTB20,F10,p66,*,*,,LCD_P16,,LCD_P16,PTB20,,,,,CMP0_OUT,LCD_P16
Pin,PTB21,F9,p67,*,*,,LCD_P17,,LCD_P17,PTB21,,,,,,LCD_P17
Pin,PTB22,F8,p68,*,*,,LCD_P18,,LCD_P18,PTB22,,,,,,LCD_P18
Pin,PTB23,E8,p69,*,*,,LCD_P19,,LCD_P19,PTB23,,,,,,LCD_P19
Pin,PTC0,B9,p70,pD8,p43,,LCD_P20/ADC0_SE14/TSI0_CH13,,LCD_P20/ADC0_SE14/TSI0_CH13,PTC0,,EXTRG_IN,audioUSB_SOF_OUT,CMP0_OUT,I2S0_TXD0,LCD_P20
Pin,PTC1/LLWU_P6/RTC_CLKIN,D8,p71,pC6,p44,A5,LCD_P21/ADC0_SE15/TSI0_CH14,,LCD_P21/ADC0_SE15/TSI0_CH14,PTC1/LLWU_P6/RTC_CLKIN,I2C1_SCL,,TPM0_CH0,,I2S0_TXD0,LCD_P21
Pin,PTC2,C8,p72,pB7,p45,A4,LCD_P22/ADC0_SE11/TSI0_CH15,,LCD_P22/ADC0_SE11/TSI0_CH15,PTC2,I2C1_SDA,,TPM0_CH1,,I2S0_TX_FS,LCD_P22
Pin,PTC3/LLWU_P7,B8,p73,pC8,p46,,LCD_P23,,LCD_P23,PTC3/LLWU_P7,,UART1_RX,TPM0_CH2,CLKOUT,I2S0_TX_BCLK,LCD_P23
Pin,VSS5,F7,p74,pE3,p47,,VSS5,,,,,,,,,
Pin,VDD5,E7,*,pE4,*,,VDD5,,,,,,,,,
Pin,VLL3,A11,p75,pC5,p48,,VLL3,,,,,,,,,
Pin,VLL2,A10,p76,pA6,p49,,VLL2/LCD_P4,,VLL2/LCD_P4,PTC20,,,,,,LCD_P4
Pin,VLL1,A9,p77,pB5,p50,,VLL1/LCD_P5,,VLL1/LCD_P5,PTC21,,,,,,LCD_P5
Pin,VCAP2,B11,p78,pB4,p51,,VCAP2/LCD_P6,,VCAP2/LCD_P6,PTC22,,,,,,LCD_P6
Pin,VCAP1,C11,p79,pA5,p52,,VCAP1/LCD_P39,,VCAP1/LCD_P39,PTC23,,,,,,LCD_P39
Pin,PTC4/LLWU_P8,A8,p80,pB8,p53,,LCD_P24,,LCD_P24,PTC4/LLWU_P8,SPI0_PCS0,UART1_TX,TPM0_CH3,I2S0_MCLK,,LCD_P24
Pin,PTC5/LLWU_P9,D7,p81,pA8,p54,ACC_INT1,LCD_P25,,LCD_P25,PTC5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,,CMP0_OUT,LCD_P25
Pin,PTC6/LLWU_P10,C7,p82,pA7,p55,,LCD_P26/CMP0_IN0,,LCD_P26/CMP0_IN0,PTC6/LLWU_P10,SPI0_MOSI,EXTRG_IN,I2S0_RX_BCLK,SPI0_MISO,I2S0_MCLK,LCD_P26
Pin,PTC7,B7,p83,pB6,p56,,LCD_P27/CMP0_IN1,,LCD_P27/CMP0_IN1,PTC7,SPI0_MISO,audioUSB_SOF_OUT,I2S0_RX_FS,SPI0_MOSI,,LCD_P27
Pin,PTC8,A7,p84,*,*,D6,LCD_P28/CMP0_IN2,,LCD_P28/CMP0_IN2,PTC8,I2C0_SCL,TPM0_CH4,I2S0_MCLK,,,LCD_P28
Pin,PTC9,D6,p85,*,*,D7,LCD_P29/CMP0_IN3,,LCD_P29/CMP0_IN3,PTC9,I2C0_SDA,TPM0_CH5,I2S0_RX_BCLK,,,LCD_P29
Pin,PTC10,C6,p86,*,*,,LCD_P30,,LCD_P30,PTC10,I2C1_SCL,,I2S0_RX_FS,,,LCD_P30
Pin,PTC11,C5,p87,*,*,,LCD_P31,,LCD_P31,PTC11,I2C1_SDA,,I2S0_RXD0,,,LCD_P31
Pin,PTC12,B6,p88,*,*,,LCD_P32,,LCD_P32,PTC12,,,TPM_CLKIN0,,,LCD_P32
Pin,PTC13,A6,p89,*,*,,LCD_P33,,LCD_P33,PTC13,,,TPM_CLKIN1,,,LCD_P33
Pin,PTC16,D5,p90,*,*,,LCD_P36,,LCD_P36,PTC16,,,,,,LCD_P36
Pin,PTC17,C4,p91,*,*,,LCD_P37,,LCD_P37,PTC17,,,,,,LCD_P37
Pin,PTC18,B4,p92,*,*,,LCD_P38,,LCD_P38,PTC18,,,,,,LCD_P38
Pin,PTD0,D4,p93,pC3,p57,,LCD_P40,,LCD_P40,PTD0,SPI0_PCS0,,TPM0_CH0,,,LCD_P40
Pin,PTD1,D3,p94,pA4,p58,MAG_INT/ACC_INT2/LED_BLUE,LCD_P41/ADC0_SE5b,,LCD_P41/ADC0_SE5b,PTD1,SPI0_SCK,,TPM0_CH1,,,LCD_P41
Pin,PTD2,C3,p95,pC2,p59,D9,LCD_P42,,LCD_P42,PTD2,SPI0_MOSI,UART2_RX,TPM0_CH2,SPI0_MISO,,LCD_P42
Pin,PTD3,B3,p96,pB3,p60,D2,LCD_P43,,LCD_P43,PTD3,SPI0_MISO,UART2_TX,TPM0_CH3,SPI0_MOSI,,LCD_P43
Pin,PTD4/LLWU_P14,A3,p97,pA3,p61,D10,LCD_P44,,LCD_P44,PTD4/LLWU_P14,SPI1_PCS0,UART2_RX,TPM0_CH4,,,LCD_P44
Pin,PTD5,A2,p98,pC1,p62,D13/LED_GREEN,LCD_P45/ADC0_SE6b,,LCD_P45/ADC0_SE6b,PTD5,SPI1_SCK,UART2_TX,TPM0_CH5,,,LCD_P45
Pin,PTD6/LLWU_P15,B2,p99,pB2,p63,D11,LCD_P46/ADC0_SE7b,,LCD_P46/ADC0_SE7b,PTD6/LLWU_P15,SPI1_MOSI,UART0_RX,,SPI1_MISO,,LCD_P46
Pin,PTD7,A1,p100,pA2,p64,D12,LCD_P47,,LCD_P47,PTD7,SPI1_MISO,UART0_TX,,SPI1_MOSI,,LCD_P47
,NC,J3,*,*,*,,NC,,,,,,,,,
,NC,H3,*,*,*,,NC,,,,,,,,,
,NC,K4,*,*,*,,NC,,,,,,,,,
,NC,L7,*,*,*,,NC,,,,,,,,,
,NC,J9,*,*,*,,NC,,,,,,,,,
,NC,J4,*,*,*,,NC,,,,,,,,,
,NC,H11,*,*,*,,NC,,,,,,,,,
,NC,F11,*,*,*,,NC,,,,,,,,,
,NC,A5,*,*,*,,NC,,,,,,,,,
,NC,B5,*,*,*,,NC,,,,,,,,,
,NC,A4,*,*,*,,NC,,,,,,,,,
,NC,B1,*,*,*,,NC,,,,,,,,,
,NC,C2,*,*,*,,NC,,,,,,,,,
,NC,C1,*,*,*,,NC,,,,,,,,,
,NC,D2,*,*,*,,NC,,,,,,,,,
,NC,D1,*,*,*,,NC,,,,,,,,,
,NC,E1,*,*,*,,NC,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),Clock Source,Irq number,Irq number,Irq number,,,,,,,,,
Peripheral,MCG,,,,,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,,I2C0_IRQn,,,,,,,,,,,
Peripheral,I2C1,SIM->SCGC4,,,I2C1_IRQn,,,,,,,,,,,
Peripheral,UART0,SIM->SCGC4,,,UART0_IRQn,,,,,,,,,,,
Peripheral,UART1,SIM->SCGC4,,,UART1_IRQn,,,,,,,,,,,
Peripheral,UART2,SIM->SCGC4,,,UART2_IRQn,,,,,,,,,,,
Peripheral,USB0,SIM->SCGC4,SIM_SCGC4_USBOTG_MASK,,USB0_IRQn,,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,SIM_SCGC4_CMP_MASK,,CMP0_IRQn,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC4,,,SPI0_IRQn,,,,,,,,,,,
Peripheral,SPI1,SIM->SCGC4,,,SPI1_IRQn,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,LPTMR0_IRQn,,,,,,,,,,,
Peripheral,TSI0,SIM->SCGC5,SIM_SCGC5_TSI_MASK,,TSI0_IRQn,,,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,,PORTA_IRQn,,,,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,,,,,,,,,,,,,
Peripheral,PORTC,SIM->SCGC5,,,PORTCD_IRQn,,,,,,,,,,,
Peripheral,PORTD,SIM->SCGC5,,,PORTCD_IRQn,,,,,,,,,,,
Peripheral,PORTE,SIM->SCGC5,,,,,,,,,,,,,,
Peripheral,SLCD,SIM->SCGC5,,,LCD_IRQn,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,FTFA,SIM->SCGC6,SIM_SCGC6_FTF_MASK,,,,,,,,,,,,,
Peripheral,DMAMUX0,SIM->SCGC6,,,,,,,,,,,,,,
Peripheral,I2S0,SIM->SCGC6,SIM_SCGC6_I2S_MASK,,I2S0_IRQn,,,,,,,,,,,
Peripheral,PIT,SIM->SCGC6,,,PIT_IRQn,,,,,,,,,,,
Peripheral,TPM0,SIM->SCGC6,,,TPM0_IRQn,,,,,,,,,,,
Peripheral,TPM1,SIM->SCGC6,,,TPM1_IRQn,,,,,,,,,,,
Peripheral,TPM2,SIM->SCGC6,,,TPM2_IRQn,,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,,ADC0_IRQn,,,,,,,,,,,
Peripheral,RTC,SIM->SCGC6,,,RTC_Alarm_IRQn,RTC_Seconds_IRQn,,,,,,,,,,
Peripheral,DAC0,SIM->SCGC6,,,DAC0_IRQn,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,DMA,SIM->SCGC7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,DMA #,Source,Async DMA,,,,,,,,,,,,
DmaMux,0,0,Disabled,,,,,,,,,,,,,
DmaMux,0,2,UART0_Receive,Yes,,,,,,,,,,,,
DmaMux,0,3,UART0_Transmit,Yes,,,,,,,,,,,,
DmaMux,0,4,UART1_Receive,,,,,,,,,,,,,
DmaMux,0,5,UART1_Transmit,,,,,,,,,,,,,
DmaMux,0,6,UART2_Receive,,,,,,,,,,,,,
DmaMux,0,7,UART2_Transmit,,,,,,,,,,,,,
DmaMux,0,14,I2S0_Receive,,,,,,,,,,,,,
DmaMux,0,15,I2S0_Transmit,,,,,,,,,,,,,
DmaMux,0,16,SPI0_Receive,,,,,,,,,,,,,
DmaMux,0,17,SPI0_Transmit,,,,,,,,,,,,,
DmaMux,0,18,SPI1_Receive,,,,,,,,,,,,,
DmaMux,0,19,SPI1_Transmit,,,,,,,,,,,,,
DmaMux,0,22,I2C0,,,,,,,,,,,,,
DmaMux,0,23,I2C1,,,,,,,,,,,,,
DmaMux,0,24,TPM0_Ch_0,Yes,,,,,,,,,,,,
DmaMux,0,25,TPM0_Ch_1,Yes,,,,,,,,,,,,
DmaMux,0,26,TPM0_Ch_2,Yes,,,,,,,,,,,,
DmaMux,0,27,TPM0_Ch_3,Yes,,,,,,,,,,,,
DmaMux,0,28,TPM0_Ch_4,Yes,,,,,,,,,,,,
DmaMux,0,29,TPM0_Ch_5,Yes,,,,,,,,,,,,
DmaMux,0,32,TPM1_Ch_0,Yes,,,,,,,,,,,,
DmaMux,0,33,TPM1_Ch_1,Yes,,,,,,,,,,,,
DmaMux,0,34,TPM2_Ch_0,Yes,,,,,,,,,,,,
DmaMux,0,35,TPM2_Ch_1,Yes,,,,,,,,,,,,
DmaMux,0,40,ADC0,Yes,,,,,,,,,,,,
DmaMux,0,42,CMP0,Yes,,,,,,,,,,,,
DmaMux,0,45,DAC0,,,,,,,,,,,,,
DmaMux,0,49,PortA,Yes,,,,,,,,,,,,
DmaMux,0,51,PortC,Yes,,,,,,,,,,,,
DmaMux,0,52,PortD,Yes,,,,,,,,,,,,
DmaMux,0,54,TPM0_Overflow,Yes,,,,,,,,,,,,
DmaMux,0,55,TPM1_Overflow,Yes,,,,,,,,,,,,
DmaMux,0,56,TPM2_Overflow,Yes,,,,,,,,,,,,
DmaMux,0,57,TSI,Yes,,,,,,,,,,,,
DmaMux,0,60,AlwaysEnabled0,,,,,,,,,,,,,
DmaMux,0,61,AlwaysEnabled1,,,,,,,,,,,,,
DmaMux,0,62,AlwaysEnabled2,,,,,,,,,,,,,
DmaMux,0,63,AlwaysEnabled3,,,,,,,,,,,,,
