Family,MK66F18,mk,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Device,MK66FN2M0VMD18,K66P144M180SF5RMV2,BGA_144,,,,,,,,,,,,
Device,MK66FX1M0VMD18,K66P144M180SF5RMV2,BGA_144,,,,,,,,,,,,
Device,MK66FN2M0VLQ18,K66P144M180SF5RMV2,LQFP_144,,,,,,,,,,,,
Device,MK66FX1M0VLQ18,K66P144M180SF5RMV2,LQFP_144,,,,,,,,,,,,
Device,FRDM_K66F,K66P144M180SF5RMV2,FRDM_K66F,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Key,Pin,Pkg LQFP_144,Pkg FRDM_K66F,Pkg BGA_144,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
Pin,PTA4/LLWU_P3,p54,,L7,NMI_b,,TSI0_CH5,PTA4/LLWU_P3,,FTM0_CH1,,,,NMI_b,EZP_CS_b
Pin,PTA5,p55,,M8,DISABLED,,,PTA5,USB0_CLKIN,FTM0_CH2,RMII0_RXER/MII0_RXER,CMP2_OUT,I2S0_TX_BCLK,JTAG_TRST_b,
Pin,VDD4,p56,,E7,VDD4,,,,,,,,,,
Pin,VSS4,p57,,G7,VSS4,,,,,,,,,,
Pin,PTA6,p58,,J7,DISABLED,,,PTA6,,FTM0_CH3,,CLKOUT,,TRACE_CLKOUT,
Pin,PTA7,p59,,J8,ADC0_SE10,,ADC0_SE10,PTA7,,FTM0_CH4,,RMII0_MDIO/MII0_MDIO,,TRACE_D3,
Pin,PTA8,p60,,K8,ADC0_SE11,,ADC0_SE11,PTA8,,FTM1_CH0,,RMII0_MDC/MII0_MDC,FTM1_QD_PHA/TPM1_CH0,TRACE_D2,
Pin,PTA9,p61,,L8,DISABLED,,,PTA9,,FTM1_CH1,MII0_RXD3,,FTM1_QD_PHB/TPM1_CH1,TRACE_D1,
Pin,PTA10/LLWU_P22,p62,SW3,M9,DISABLED,,,PTA10/LLWU_P22,,FTM2_CH0,MII0_RXD2,,FTM2_QD_PHA/TPM2_CH0,TRACE_D0,
Pin,PTA11/LLWU_P23,p63,BLUE_LED,L9,DISABLED,,,PTA11/LLWU_P23,,FTM2_CH1,MII0_RXCLK,I2C2_SDA,FTM2_QD_PHB/TPM2_CH1,,
Pin,PTA12,p64,,K9,CMP2_IN0,,CMP2_IN0,PTA12,CAN0_TX,FTM1_CH0,RMII0_RXD1/MII0_RXD1,I2C2_SCL,I2S0_TXD0,FTM1_QD_PHA/TPM1_CH0,
Pin,PTA13/LLWU_P4,p65,,J9,CMP2_IN1,,CMP2_IN1,PTA13/LLWU_P4,CAN0_RX,FTM1_CH1,RMII0_RXD0/MII0_RXD0,I2C2_SDA,I2S0_TX_FS,FTM1_QD_PHB/TPM1_CH1,
Pin,PTA14,p66,,L10,DISABLED,,,PTA14,SPI0_PCS0,UART0_TX,RMII0_CRS_DV/MII0_RXDV,I2C2_SCL,I2S0_RX_BCLK,I2S0_TXD1,
Pin,PTA15,p67,,L11,CMP3_IN1,,CMP3_IN1,PTA15,SPI0_SCK,UART0_RX,RMII0_TXEN/MII0_TXEN,,I2S0_RXD0,,
Pin,PTA16,p68,,K10,CMP3_IN2,,CMP3_IN2,PTA16,SPI0_SOUT,UART0_CTS_b/UART0_COL_b,RMII0_TXD0/MII0_TXD0,,I2S0_RX_FS,I2S0_RXD1,
Pin,PTA17,p69,,K11,ADC1_SE17,,ADC1_SE17,PTA17,SPI0_SIN,UART0_RTS_b,RMII0_TXD1/MII0_TXD1,,I2S0_MCLK,,
Pin,VDD5,p70,,E8,VDD5,,,,,,,,,,
Pin,VSS5,p71,,G8,VSS5,,,,,,,,,,
Pin,PTA18,p72,,M12,EXTAL0,,EXTAL0,PTA18,,FTM0_FLT2,FTM_CLKIN0,,,TPM_CLKIN0,
Pin,PTA19,p73,,M11,XTAL0,,XTAL0,PTA19,,FTM1_FLT0,FTM_CLKIN1,,LPTMR0_ALT1,TPM_CLKIN1,
Pin,RESET_b,p74,,L12,RESET_b,,,,,,,,,,
Pin,PTA24,p75,,K12,CMP3_IN4,,CMP3_IN4,PTA24,,,MII0_TXD2,,FB_A29,,
Pin,PTA25,p76,D7,J12,CMP3_IN5,,CMP3_IN5,PTA25,,,MII0_TXCLK,,FB_A28,,
Pin,PTA26,p77,,J11,DISABLED,,,PTA26,,,MII0_TXD3,,FB_A27,,
Pin,PTA27,p78,,J10,DISABLED,,,PTA27,,,MII0_CRS,,FB_A26,,
Pin,PTA28,p79,,H12,DISABLED,,,PTA28,,,MII0_TXER,,FB_A25,,
Pin,PTA29,p80,,H11,DISABLED,,,PTA29,,,MII0_COL,,FB_A24,,
Pin,PTB0/LLWU_P5,p81,,H10,ADC0_SE8/ADC1_SE8/TSI0_CH0,,ADC0_SE8/ADC1_SE8/TSI0_CH0,PTB0/LLWU_P5,I2C0_SCL,FTM1_CH0,RMII0_MDIO/MII0_MDIO,SDRAM_CAS_b,FTM1_QD_PHA/TPM1_CH0,,
Pin,PTB1,p82,,H9,ADC0_SE9/ADC1_SE9/TSI0_CH6,,ADC0_SE9/ADC1_SE9/TSI0_CH6,PTB1,I2C0_SDA,FTM1_CH1,RMII0_MDC/MII0_MDC,SDRAM_RAS_b,FTM1_QD_PHB/TPM1_CH1,,
Pin,PTB2,p83,A5,G12,ADC0_SE12/TSI0_CH7,,ADC0_SE12/TSI0_CH7,PTB2,I2C0_SCL,UART0_RTS_b,ENET0_1588_TMR0,SDRAM_WE,FTM0_FLT3,,
Pin,PTB3,p84,A4,G11,ADC0_SE13/TSI0_CH8,,ADC0_SE13/TSI0_CH8,PTB3,I2C0_SDA,UART0_CTS_b/UART0_COL_b,ENET0_1588_TMR1,SDRAM_CS0_b,FTM0_FLT0,,
Pin,PTB4,p85,A3,G10,ADC1_SE10,,ADC1_SE10,PTB4,,,ENET0_1588_TMR2,SDRAM_CS1_b,FTM1_FLT0,,
Pin,PTB5,p86,A2,G9,ADC1_SE11,,ADC1_SE11,PTB5,,,ENET0_1588_TMR3,,FTM2_FLT0,,
Pin,PTB6,p87,A10,F12,ADC1_SE12,,ADC1_SE12,PTB6,,,,FB_AD23/SDRAM_D23,,,
Pin,PTB7,p88,A0,F11,ADC1_SE13,,ADC1_SE13,PTB7,,,,FB_AD22/SDRAM_D22,,,
Pin,PTB8,p89,,F10,DISABLED,,,PTB8,,UART3_RTS_b,,FB_AD21/SDRAM_D21,,,
Pin,PTB9,p90,,F9,DISABLED,,,PTB9,SPI1_PCS1,UART3_CTS_b,,FB_AD20/SDRAM_D20,,,
Pin,PTB10,p91,D27,E12,ADC1_SE14,,ADC1_SE14,PTB10,SPI1_PCS0,UART3_RX,,FB_AD19/SDRAM_D19,FTM0_FLT1,,
Pin,PTB11,p92,D28,E11,ADC1_SE15,,ADC1_SE15,PTB11,SPI1_SCK,UART3_TX,,FB_AD18/SDRAM_D18,FTM0_FLT2,,
Pin,VSS6,p93,,H7,VSS6,,,,,,,,,,
Pin,VDD6,p94,,F5,VDD6,,,,,,,,,,
Pin,PTB16,p95,,E10,TSI0_CH9,,TSI0_CH9,PTB16,SPI1_SOUT,UART0_RX,FTM_CLKIN0,FB_AD17/SDRAM_D17,EWM_IN,TPM_CLKIN0,
Pin,PTB17,p96,,E9,TSI0_CH10,,TSI0_CH10,PTB17,SPI1_SIN,UART0_TX,FTM_CLKIN1,FB_AD16/SDRAM_D16,EWM_OUT_b,TPM_CLKIN1,
Pin,PTB18,p97,D8,D12,TSI0_CH11,,TSI0_CH11,PTB18,CAN0_TX,FTM2_CH0,I2S0_TX_BCLK,FB_AD15/SDRAM_A23,FTM2_QD_PHA/TPM2_CH0,,
Pin,PTB19,p98,D9,D11,TSI0_CH12,,TSI0_CH12,PTB19,CAN0_RX,FTM2_CH1,I2S0_TX_FS,FB_OE_b,FTM2_QD_PHB/TPM2_CH1,,
Pin,PTB20,p99,nRF_ce_n,D10,DISABLED,,,PTB20,SPI2_PCS0,,,FB_AD31/SDRAM_D31,CMP0_OUT,,
Pin,PTB21,p100,,D9,DISABLED,,,PTB21,SPI2_SCK,,,FB_AD30/SDRAM_D30,CMP1_OUT,,
Pin,PTB22,p101,,C12,DISABLED,,,PTB22,SPI2_SOUT,,,FB_AD29/SDRAM_D29,CMP2_OUT,,
Pin,PTB23,p102,A10,C11,DISABLED,,,PTB23,SPI2_SIN,SPI0_PCS5,,FB_AD28/SDRAM_D28,CMP3_OUT,,
Pin,PTC0,p103,D29,B12,ADC0_SE14/TSI0_CH13,,ADC0_SE14/TSI0_CH13,PTC0,SPI0_PCS4,PDB0_EXTRG,USB0_SOF_OUT,FB_AD14/SDRAM_A22,I2S0_TXD1,,
Pin,PTC1/LLWU_P6,p104,D18,B11,ADC0_SE15/TSI0_CH14,,ADC0_SE15/TSI0_CH14,PTC1/LLWU_P6,SPI0_PCS3,UART1_RTS_b,FTM0_CH0,FB_AD13/SDRAM_A21,I2S0_TXD0,,
Pin,PTC2,p105,D6,A12,ADC0_SE4b/CMP1_IN0/TSI0_CH15,,ADC0_SE4b/CMP1_IN0/TSI0_CH15,PTC2,SPI0_PCS2,UART1_CTS_b,FTM0_CH1,FB_AD12/SDRAM_A20,I2S0_TX_FS,,
Pin,PTC3/LLWU_P7,p106,D0,A11,CMP1_IN1,,CMP1_IN1,PTC3/LLWU_P7,SPI0_PCS1,UART1_RX,FTM0_CH2,CLKOUT,I2S0_TX_BCLK,,
Pin,VSS7,p107,,H8,VSS7,,,,,,,,,,
Pin,VDD7,p108,,*,VDD7,,,,,,,,,,
Pin,PTC4/LLWU_P8,p109,D1,A9,DISABLED,,,PTC4/LLWU_P8,SPI0_PCS0,UART1_TX,FTM0_CH3,FB_AD11/SDRAM_A19,CMP1_OUT,,
Pin,PTC5/LLWU_P9,p110,D5,D8,DISABLED,,,PTC5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,FB_AD10/SDRAM_A18,CMP0_OUT,FTM0_CH2,
Pin,PTC6/LLWU_P10,p111,D19,C8,CMP0_IN0,,CMP0_IN0,PTC6/LLWU_P10,SPI0_SOUT,PDB0_EXTRG,I2S0_RX_BCLK,FB_AD9/SDRAM_A17,I2S0_MCLK,,
Pin,PTC7,p112,D21,B8,CMP0_IN1,,CMP0_IN1,PTC7,SPI0_SIN,USB0_SOF_OUT,I2S0_RX_FS,FB_AD8/SDRAM_A16,,,
Pin,PTC8,p113,D3,A8,ADC1_SE4b/CMP0_IN2,,ADC1_SE4b/CMP0_IN2,PTC8,,FTM3_CH4,I2S0_MCLK,FB_AD7/SDRAM_A15,,,
Pin,PTC9,p114,RED_LED,D7,ADC1_SE5b/CMP0_IN3,,ADC1_SE5b/CMP0_IN3,PTC9,,FTM3_CH5,I2S0_RX_BCLK,FB_AD6/SDRAM_A14,FTM2_FLT0,,
Pin,PTC10,p115,D15,C7,ADC1_SE6b,,ADC1_SE6b,PTC10,I2C1_SCL,FTM3_CH6,I2S0_RX_FS,FB_AD5/SDRAM_A13,,,
Pin,PTC11/LLWU_P11,p116,D14,B7,ADC1_SE7b,,ADC1_SE7b,PTC11/LLWU_P11,I2C1_SDA,FTM3_CH7,I2S0_RXD1,FB_RW_b,,,
Pin,PTC12,p117,D4,A7,DISABLED,,,PTC12,,UART4_RTS_b,FTM_CLKIN0,FB_AD27/SDRAM_D27,FTM3_FLT0,TPM_CLKIN0,
Pin,PTC13,p118,,D6,DISABLED,,,PTC13,,UART4_CTS_b,FTM_CLKIN1,FB_AD26/SDRAM_D26,,TPM_CLKIN1,
Pin,PTC14,p119,BLUETOOTH_Rx,C6,DISABLED,,,PTC14,,UART4_RX,,FB_AD25/SDRAM_D25,,,
Pin,PTC15,p120,BLUETOOTH_Tx,B6,DISABLED,,,PTC15,,UART4_TX,,FB_AD24/SDRAM_D24,,,
Pin,VSS8,p121,,*,VSS8,,,,,,,,,,
Pin,VDD8,p122,,*,VDD8,,,,,,,,,,
Pin,PTC16,p123,D2,A6,DISABLED,,,PTC16,CAN1_RX,UART3_RX,ENET0_1588_TMR0,FB_CS5_b/FB_TSIZ1/FB_BE23_16_BLS15_8_b/SDRAM_DQM2,,,
Pin,PTC17,p124,,D5,DISABLED,,,PTC17,CAN1_TX,UART3_TX,ENET0_1588_TMR1,FB_CS4_b/FB_TSIZ0/FB_BE31_24_BLS7_0_b/SDRAM_DQM3,,,
Pin,PTC18,p125,nRF_irq,C5,DISABLED,,,PTC18,,UART3_RTS_b,ENET0_1588_TMR2,FB_TBST_b/FB_CS2_b/FB_BE15_8_BLS23_16_b/SDRAM_DQM1,,,
Pin,PTC19,p126,,B5,DISABLED,,,PTC19,,UART3_CTS_b,ENET0_1588_TMR3,FB_CS3_b/FB_BE7_0_BLS31_24_b/SDRAM_DQM0,FB_TA_b,,
Pin,PTD0/LLWU_P12,p127,D10,A5,DISABLED,,,PTD0/LLWU_P12,SPI0_PCS0,UART2_RTS_b,FTM3_CH0,FB_ALE/FB_CS1_b/FB_TS_b,,,
Pin,PTD1,p128,D13,D4,ADC0_SE5b,,ADC0_SE5b,PTD1,SPI0_SCK,UART2_CTS_b,FTM3_CH1,FB_CS0_b,,,
Pin,PTD2/LLWU_P13,p129,D11,C4,DISABLED,,,PTD2/LLWU_P13,SPI0_SOUT,UART2_RX,FTM3_CH2,FB_AD4/SDRAM_A12,,I2C0_SCL,
Pin,PTD3,p130,D12,B4,DISABLED,,,PTD3,SPI0_SIN,UART2_TX,FTM3_CH3,FB_AD3/SDRAM_A11,,I2C0_SDA,
Pin,PTD4/LLWU_P14,p131,nRF_cs_n,A4,DISABLED,,,PTD4/LLWU_P14,SPI0_PCS1,UART0_RTS_b,FTM0_CH4,FB_AD2/SDRAM_A10,EWM_IN,SPI1_PCS0,
Pin,PTD5,p132,nRF_sck,A3,ADC0_SE6b,,ADC0_SE6b,PTD5,SPI0_PCS2,UART0_CTS_b/UART0_COL_b,FTM0_CH5,FB_AD1/SDRAM_A9,EWM_OUT_b,SPI1_SCK,
Pin,PTD6/LLWU_P15,p133,nRF_mosi,A2,ADC0_SE7b,,ADC0_SE7b,PTD6/LLWU_P15,SPI0_PCS3,UART0_RX,FTM0_CH6,FB_AD0,FTM0_FLT0,SPI1_SOUT,
Pin,VSS9,p134,,M10,VSS9,,,,,,,,,,
Pin,VDD9,p135,,F8,VDD9,,,,,,,,,,
Pin,PTD7,p136,nRF_miso,A1,DISABLED,,,PTD7,CMT_IRO,UART0_TX,FTM0_CH7,SDRAM_CKE,FTM0_FLT1,SPI1_SIN,
Pin,PTD8/LLWU_P24,p137,ONBOARD_SCL,C9,DISABLED,,,PTD8/LLWU_P24,I2C0_SCL,,,LPUART0_RX,FB_A16,,
Pin,PTD9,p138,ONBOARD_SDA,B9,DISABLED,,,PTD9,I2C0_SDA,,,LPUART0_TX,FB_A17,,
Pin,PTD10,p139,,B3,DISABLED,,,PTD10,,,,LPUART0_RTS_b,FB_A18,,
Pin,PTD11/LLWU_P25,p140,SW2,B2,DISABLED,,,PTD11/LLWU_P25,SPI2_PCS0,,SDHC0_CLKIN,LPUART0_CTS_b,FB_A19,,
Pin,PTD12,p141,D33,B1,DISABLED,,,PTD12,SPI2_SCK,FTM3_FLT0,SDHC0_D4,,FB_A20,,
Pin,PTD13,p142,D32,C3,DISABLED,,,PTD13,SPI2_SOUT,,SDHC0_D5,,FB_A21,,
Pin,PTD14,p143,,C2,DISABLED,,,PTD14,SPI2_SIN,,SDHC0_D6,,FB_A22,,
Pin,PTD15,p144,,C1,DISABLED,,,PTD15,SPI2_PCS1,,SDHC0_D7,,FB_A23,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),,Irq number,Irq number,Irq number,,,,,,,,
Peripheral,MCG,,,,,,,,,,,,,,
Peripheral,I2C3,SIM->SCGC1,,,I2C3_IRQn,,,,,,,,,,
Peripheral,I2C2,SIM->SCGC1,,,I2C2_IRQn,,,,,,,,,,
Peripheral,UART4,SIM->SCGC1,,SystemBusClock,UART4_RX_TX_IRQn,UART4_ERR_IRQn,,,,,,,,,
,,,,,,,,,,,,,,,
Peripheral,ENET,SIM->SCGC2,,,ENET_Transmit_IRQn,ENET_Receive_IRQn,ENET_Error_IRQn,ENET_1588Timeout_IRQn,,,,,,,
Peripheral,LPUART0,SIM->SCGC2,,,LPUART0_RX_TX_IRQn,,,,,,,,,,
Peripheral,TPM1,SIM->SCGC2,,,TPM1_IRQn,,,,,,,,,,
Peripheral,TPM2,SIM->SCGC2,,,TPM2_IRQn,,,,,,,,,,
Peripheral,DAC0,SIM->SCGC2,,,DAC0_IRQn,,,,,,,,,,
Peripheral,DAC1,SIM->SCGC2,,,DAC1_IRQn,,,,,,,,,,
,,,,,,,,,,,,,,,
Peripheral,USBHS,SIM->SCGC3,,,USBHS_IRQn,,,,,,,,,,
Peripheral,RNG,SIM->SCGC3,,,,,,,,,,,,,
Peripheral,USBHSPHY,SIM->SCGC3,,,,,,,,,,,,,
Peripheral,FLEXCAN1,SIM->SCGC3,,,,,,,,,,,,,
Peripheral,SPI2,SIM->SCGC3,,,SPI2_IRQn,,,,,,,,,,
Peripheral,SDHC,SIM->SCGC3,,,SDHC_IRQn,,,,,,,,,,
Peripheral,FTM2,SIM->SCGC3,,,FTM3_IRQn,,,,,,,,,,
Peripheral,FTM3,SIM->SCGC3,,,FTM3_IRQn,,,,,,,,,,
Peripheral,ADC1,SIM->SCGC3,,,ADC0_IRQn,,,,,,,,,,
,,,,,,,,,,,,,,,
Peripheral,EWM,SIM->SCGC4,,,,,,,,,,,,,
Peripheral,CMT,SIM->SCGC4,,,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,,I2C0_IRQn,,,,,,,,,,
Peripheral,I2C1,SIM->SCGC4,,,I2C1_IRQn,,,,,,,,,,
Peripheral,UART0,SIM->SCGC4,,SystemCoreClock,UART0_RX_TX_IRQn,UART0_ERR_IRQn,,,,,,,,,
Peripheral,UART1,SIM->SCGC4,,SystemCoreClock,UART1_RX_TX_IRQn,UART1_ERR_IRQn,,,,,,,,,
Peripheral,UART2,SIM->SCGC4,,SystemBusClock,UART2_RX_TX_IRQn,UART2_ERR_IRQn,,,,,,,,,
Peripheral,UART3,SIM->SCGC4,,SystemBusClock,UART3_RX_TX_IRQn,UART3_ERR_IRQn,,,,,,,,,
Peripheral,USBOTG,SIM->SCGC4,,,USB0_IRQn,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,SIM_SCGC4_CMP_MASK,,CMP0_IRQn,,,,,,,,,,
Peripheral,VREF,SIM->SCGC4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,LPTMR0_IRQn,,,,,,,,,,
Peripheral,TSI,SIM->SCGC5,,,TSI_IRQn,,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,,PORTA_IRQn,,,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,,PORTB_IRQn,,,,,,,,,,
Peripheral,PORTC,SIM->SCGC5,,,PORTC_IRQn,,,,,,,,,,
Peripheral,PORTD,SIM->SCGC5,,,PORTD_IRQn,,,,,,,,,,
Peripheral,PORTE,SIM->SCGC5,,,PORTE_IRQn,,,,,,,,,,
,,,,,,,,,,,,,,,
Peripheral,FTFE,SIM->SCGC6,SIM_SCGC6_FTF_MASK,,,,,,,,,,,,
Peripheral,DMAMUX0,SIM->SCGC6,,,,,,,,,,,,,
Peripheral,FLEXCAN0,SIM->SCGC6,,,,,,,,,,,,,
Peripheral,RNG,SIM->SCGC6,,,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC6,,,SPI0_IRQn,,,,,,,,,,
Peripheral,SPI1,SIM->SCGC6,,,SPI1_IRQn,,,,,,,,,,
Peripheral,I2S0,SIM->SCGC6,SIM_SCGC6_I2S_MASK,,I2S0_Tx_IRQn,I2S0_Rx_IRQn,,,,,,,,,
Peripheral,CRC,SIM->SCGC6,,,,,,,,,,,,,
Peripheral,USBDCD,SIM->SCGC6,,,USBDCD_IRQn,,,,,,,,,,
Peripheral,PDB0,SIM->SCGC6,SIM_SCGC6_PDB_MASK,,PDB0_IRQn,,,,,,,,,,
Peripheral,PIT,SIM->SCGC6,,,PIT0_IRQn,PIT1_IRQn,PIT2_IRQn,PIT3_IRQn,,,,,,,
Peripheral,FTM0,SIM->SCGC6,,,FTM0_IRQn,,,,,,,,,,
