TargetDeviceFamily,CortexM0,,,,,,,,,,,,,
TargetDeviceSubFamily,MKL02Z4,mkl,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pin,PTA12/IRQ_13/LPTMR0_ALT2,D5,p26,p20,*,ADC0_SE0/CMP0_IN0,ADC0_SE0/CMP0_IN0,PTA12/IRQ_13/LPTMR0_ALT2,TPM1_CH0,TPM_CLKIN0,26,,,
Pin,PTA13,Touch1,p27,*,*,DISABLED,,PTA13,,,27,,,
Pin,PTB12,Touch2,p28,*,*,DISABLED,,PTB12,,,28,,,
Pin,PTB13,A2,p29,p21,*,ADC0_SE13,ADC0_SE13,PTB13,TPM1_CH1,,29,,,
Pin,PTA0/IRQ_0,A3/SWD_CLK,p30,p22,p14,SWD_CLK,ADC0_SE12/CMP0_IN2,PTA0/IRQ_0,TPM1_CH0,SWD_CLK,30,,,
Pin,PTA1/IRQ_1/LPTMR0_ALT1,RESET_b,p31,p23,p15,RESET_b,,PTA1/IRQ_1/LPTMR0_ALT1,TPM_CLKIN0,RESET_b,31,,,
Pin,PTA2,SWD_DIO,p32,p24,p16,SWD_DIO,,PTA2,CMP0_OUT,SWD_DIO,32,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),,,,,,,,,,,
Peripheral,MCG,,,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,,,,,,,,,,,
Peripheral,I2C1,SIM->SCGC4,,,,,,,,,,,,
Peripheral,UART0,SIM->SCGC4,,,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC4,,,,,,,,,,,,
,,,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,,,,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,,,,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,,,,,,,,,,,
,,,,,,,,,,,,,,
Peripheral,FTFA,SIM->SCGC6,SIM_SCGC6_FTF_MASK,,,,,,,,,,,
Peripheral,TPM0,SIM->SCGC6,,,,,,,,,,,,
Peripheral,TPM1,SIM->SCGC6,,,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,,,,,,,,,,,
,,,,,,,,,,,,,,
Peripheral,SMC,,,,,,,,,,,,,
Peripheral,SIM,,,,,,,,,,,,,
Peripheral,CONSOLE,,,,,,,,,,,,,
Peripheral,PMC,,,,,,,,,,,,,
Peripheral,RCM,,,,,,,,,,,,,
Peripheral,MCM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Key,Name,Value,,,,,,,,,,,
Param,/FTFA/pflash_sector_size,Program flash sector size,1024,,,,,,,,,,,
Param,/FTFA/pflash_phrase_size,Program flash phrase size,4,,,,,,,,,,,
