TargetDeviceFamily,CortexM0,,,,,,,,,,,
TargetDeviceSubFamily,MKL04Z4,mkl,,,,,,,,,,
,,,,,,,,,,,,
Pin,p14,p9,p9,p7,PTA5/LLWU_P1/RTC_CLKIN,DISABLED,,DISABLED,PTA5/LLWU_P1/RTC_CLKIN,TPM0_CH5,SPI0_SS_b,14
Pin,p15,p10,p10,p8,PTA6/LLWU_P2,DISABLED,,DISABLED,PTA6/LLWU_P2,TPM0_CH4,SPI0_MISO,15
Pin,p16,p11,p11,*,PTB8,ADC0_SE11,,ADC0_SE11,PTB8,TPM0_CH3,,16
Pin,p17,p12,p12,*,PTB9,ADC0_SE10,,ADC0_SE10,PTB9,TPM0_CH2,,17
Pin,p18,*,*,*,PTA16/IRQ_4,DISABLED,,DISABLED,PTA16/IRQ_4,,,18
Pin,p19,*,*,*,PTA17/IRQ_5,DISABLED,,DISABLED,PTA17/IRQ_5,,,19
Pin,p20,*,*,*,PTA18/IRQ_6,DISABLED,,DISABLED,PTA18/IRQ_6,,,20
Pin,p21,p13,p13,p9,PTB10,ADC0_SE9,,ADC0_SE9,PTB10,TPM0_CH1,,21
Pin,p22,p14,p14,p10,PTB11,ADC0_SE8,,ADC0_SE8,PTB11,TPM0_CH0,,22
Pin,p23,p15,p15,p11,PTA7/IRQ_7/LLWU_P3,ADC0_SE7,,ADC0_SE7,PTA7/IRQ_7/LLWU_P3,SPI0_MISO,SPI0_MOSI,23
Pin,p24,p16,p16,p12,PTB0/IRQ_8/LLWU_P4,ADC0_SE6,,ADC0_SE6,PTB0/IRQ_8/LLWU_P4,EXTRG_IN,SPI0_SCK,24
Pin,p25,p17,p17,p13,PTB1/IRQ_9,ADC0_SE5/CMP0_IN3,,ADC0_SE5/CMP0_IN3,PTB1/IRQ_9,UART0_TX,UART0_RX,25
Pin,p26,p18,p18,p14,PTB2/IRQ_10/LLWU_P5,ADC0_SE4,,ADC0_SE4,PTB2/IRQ_10/LLWU_P5,UART0_RX,UART0_TX,26
Pin,p27,p19,p19,p15,PTA8,ADC0_SE3,,ADC0_SE3,PTA8,,,27
Pin,p28,p20,p20,p16,PTA9,ADC0_SE2,,ADC0_SE2,PTA9,,,28
Pin,p29,*,*,*,PTB20,DISABLED,,DISABLED,PTB20,,,29
Pin,p30,*,*,*,VSS,VSS,,,,,,30
Pin,p31,*,*,*,VDD,VDD,,,,,,31
Pin,p32,*,*,*,PTB14/IRQ_11,DISABLED,,DISABLED,PTB14/IRQ_11,EXTRG_IN,,32
Pin,p33,p21,p21,*,PTA10/IRQ_12,DISABLED,,DISABLED,PTA10/IRQ_12,,,33
Pin,p34,p22,p22,*,PTA11/IRQ_13,DISABLED,,DISABLED,PTA11/IRQ_13,,,34
Pin,p35,p23,p23,p17,PTB3/IRQ_14,DISABLED,,DISABLED,PTB3/IRQ_14,I2C0_SCL,UART0_TX,35
Pin,p36,p24,p24,p18,PTB4/IRQ_15/LLWU_P6,DISABLED,,DISABLED,PTB4/IRQ_15/LLWU_P6,I2C0_SDA,UART0_RX,36
Pin,p37,p25,p25,p19,PTB5/IRQ_16,NMI_b,,ADC0_SE1/CMP0_IN1,PTB5/IRQ_16,TPM1_CH1,NMI_b,37
Pin,p38,p26,p26,p20,PTA12/IRQ_17/LPTMR0_ALT2,ADC0_SE0/CMP0_IN0,,ADC0_SE0/CMP0_IN0,PTA12/IRQ_17/LPTMR0_ALT2,TPM1_CH0,TPM_CLKIN0,38
Pin,p39,p27,p27,*,PTA13,DISABLED,,DISABLED,PTA13,,,39
Pin,p40,p28,p28,*,PTB12,DISABLED,,DISABLED,PTB12,,,40
Pin,p41,*,*,*,PTA19,DISABLED,,DISABLED,PTA19,,SPI0_SS_b,41
Pin,p42,*,*,*,PTB15,DISABLED,,DISABLED,PTB15,SPI0_MOSI,SPI0_MISO,42
Pin,p43,*,*,*,PTB16,DISABLED,,DISABLED,PTB16,SPI0_MISO,SPI0_MOSI,43
Pin,p44,*,*,*,PTB17,DISABLED,,DISABLED,PTB17,TPM_CLKIN1,SPI0_SCK,44
Pin,p45,p29,p29,p21,PTB13,ADC0_SE13,,ADC0_SE13,PTB13,TPM1_CH1,RTC_CLKOUT,45
Pin,p46,p30,p30,p22,PTA0/IRQ_0/LLWU_P7,SWD_CLK,,ADC0_SE12/CMP0_IN2,PTA0/IRQ_0/LLWU_P7,TPM1_CH0,SWD_CLK,46
Pin,p47,p31,p31,p23,PTA1/IRQ_1/LPTMR0_ALT1,RESET_b,,DISABLED,PTA1/IRQ_1/LPTMR0_ALT1,TPM_CLKIN0,RESET_b,47
Pin,p48,p32,p32,p24,PTA2,SWD_DIO,,DISABLED,PTA2,CMP0_OUT,SWD_DIO,48
,,,,,,,,,,,,
,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),,,,,,,,,
Peripheral,MCG,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,,,,,,,,,
Peripheral,UART0,SIM->SCGC4,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,SIM_SCGC4_CMP_MASK,,,,,,,,,
Peripheral,SPI0,SIM->SCGC4,,,,,,,,,,
,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,,,,,,,,,
,,,,,,,,,,,,
Peripheral,FTFA,SIM->SCGC6,SIM_SCGC6_FTF_MASK,,,,,,,,,
Peripheral,DMAMUX0,SIM->SCGC6,,,,,,,,,,
Peripheral,PIT,SIM->SCGC6,,,,,,,,,,
Peripheral,TPM0,SIM->SCGC6,,,,,,,,,,
Peripheral,TPM1,SIM->SCGC6,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,,,,,,,,,
Peripheral,RTC,SIM->SCGC6,,,,,,,,,,
,,,,,,,,,,,,
Peripheral,DMA0,SIM->SCGC7,SIM_SCGC7_DMA_MASK,,,,,,,,,
Peripheral,SMC,,,,,,,,,,,
Peripheral,SIM,,,,,,,,,,,
Peripheral,CONSOLE,,,,,,,,,,,
Peripheral,LLWU,,,,,,,,,,,
Peripheral,PMC,,,,,,,,,,,
Peripheral,RCM,,,,,,,,,,,
,,,,,,,,,,,,
Param,FTFA,peripheral_file,ftfa,,,,,,,,,
Param,FTFA,pflash_sector_size,1024,,,,,,,,,
Param,FTFA,pflash_phrase_size,4,,,,,,,,,
