Pin,PTE20,A2,p9,*,p7,G1,ADC0_DP0/ADC0_SE0,ADC0_DP0/ADC0_SE0,ADC0_DP0/ADC0_SE0,GPIOE_20,,TPM1_CH0,LPUART0_TX,,FXIO0_D4,,12,9,*,7,G1,E3
Pin,PTE21,A3,p10,*,p8,F1,ADC0_DM0/ADC0_SE4a,ADC0_DM0/ADC0_SE4a,ADC0_DM0/ADC0_SE4a,GPIOE_21,,TPM1_CH1,LPUART0_RX,,FXIO0_D5,,13,10,*,8,F1,E2
Pin,PTE22,,p11,*,*,G2,ADC0_DP3/ADC0_SE3,,ADC0_DP3/ADC0_SE3,GPIOE_22,,TPM2_CH0,UART2_TX,,FXIO0_D6,,14,11,*,*,G2,E1
Pin,PTE23,,p12,*,*,F2,ADC0_DM3/ADC0_SE7a,,ADC0_DM3/ADC0_SE7a,GPIOE_23,,TPM2_CH1,UART2_RX,,FXIO0_D7,,15,12,*,*,F2,F1
Pin,VDDA,,p13,p7,p9,F4,VDDA,,,,,,,,,,16,13,7,9,F4,D3
Pin,VREFH,,p14,p7,p10,G4,VREFH,,,,,,,,,,17,14,7,10,G4,D3
Pin,VREF_OUT,,p14,p9,p10,G4,VREF_OUT,,,,,,,,,,18,14,*,10,G4,*
Pin,VREFL,,p15,p8,p11,G3,VREFL,,,,,,,,,,19,15,8,11,G3,D4
Pin,VSSA,,p16,p8,p12,F3,VSSA,,,,,,,,,,20,16,8,12,F3,D4
Pin,PTE29,,p17,*,p13,H1,CMP0_IN5/ADC0_SE4b,,CMP0_IN5/ADC0_SE4b,GPIOE_29,,TPM0_CH2,TPM_CLKIN0,,,,21,17,*,13,H1,*
Pin,PTE30,,p18,p9,p14,H2,ADC0_SE23/CMP0_IN4,,ADC0_SE23/CMP0_IN4,GPIOE_30,,TPM0_CH3,TPM_CLKIN1,LPUART1_TX,LPTMR0_ALT1,,22,18,9,14,H2,F2
Pin,PTE31,D8,p19,*,*,H3,DISABLED,TPM0_CH4,,GPIOE_31,,TPM0_CH4,,,,,23,19,*,*,H3,*
Pin,PTE24,D5,p20,*,p15,H4,DISABLED,TPM0_CH0,,GPIOE_24,,TPM0_CH0,,I2C0_SCL,,,24,20,*,15,H4,*
Pin,PTE25,D3,p21,*,p16,H5,DISABLED,TPM0_CH1,,GPIOE_25,,TPM0_CH1,,I2C0_SDA,,,25,21,*,16,H5,*
Pin,PTA0,,p22,p10,p17,D3,SWD_CLK,,,GPIOA_0,,TPM0_CH5,,,,SWD_CLK,26,22,10,17,D3,F3
Pin,PTA1,D0,p23,p11,p18,D4,DISABLED,TPM2_CH0,,GPIOA_1,LPUART0_RX,TPM2_CH0,,,,,27,23,11,18,D4,F4
Pin,PTA2,D1,p24,p12,p19,E5,DISABLED,TPM2_CH1,,GPIOA_2,LPUART0_TX,TPM2_CH1,,,,,28,24,12,19,E5,E4
Pin,PTA3,,p25,p13,p20,D5,SWD_DIO,,,GPIOA_3,I2C1_SCL,TPM0_CH0,,,,SWD_DIO,29,25,13,20,D5,E5
Pin,PTA4,,p26,p14,p21,G5,NMI_b,,,GPIOA_4,I2C1_SDA,TPM0_CH1,,,,NMI_b,30,26,14,21,G5,F5
Pin,PTA5,D9,p27,*,*,F5,DISABLED,TPM0_CH2,,GPIOA_5,USB_CLKIN,TPM0_CH2,,,,,31,27,*,*,F5,*
Pin,PTA12,D2,p28,*,*,H6,DISABLED,TPM1_CH0,,GPIOA_12,,TPM1_CH0,,,,,32,28,*,*,H6,*
Pin,PTA13,D4/LED_BLUE,p29,*,*,G6,DISABLED,TPM1_CH1,,GPIOA_13,,TPM1_CH1,,,,,33,29,*,*,G6,*
Pin,VDD2,,p30,p15,p22,G7,VDD2,,,,,,,,,,34,30,15,22,G7,C3
Pin,VSS2,,p31,p16,p23,H7,VSS2,,,,,,,,,,35,31,16,23,H7,C4
Pin,PTA18,,p32,p17,p24,H8,EXTAL0,,EXTAL0,GPIOA_18,,LPUART1_RX,TPM_CLKIN0,,,,36,32,17,24,H8,F6
Pin,PTA19,,p33,p18,p25,G8,XTAL0,,XTAL0,GPIOA_19,,LPUART1_TX,TPM_CLKIN1,,LPTMR0_ALT1,,37,33,18,25,G8,E6
Pin,PTA20,,p34,p19,p26,F8,RESET_b,,,GPIOA_20,,,,,,RESET_b,38,34,19,26,F8,D5
Pin,PTB0,A5,p35,p20,p27,F7,ADC0_SE8,ADC0_SE8,ADC0_SE8,GPIOB_0/LLWU_P5,I2C0_SCL,TPM1_CH0,SPI1_MOSI,SPI1_MISO,,,39,35,20,27,F7,D6
Pin,PTB1,A4,p36,p21,p28,F6,ADC0_SE9,ADC0_SE9,ADC0_SE9,GPIOB_1,I2C0_SDA,TPM1_CH1,SPI1_MISO,SPI1_MOSI,,,40,36,21,28,F6,C6
Pin,PTB2,,p37,*,p29,E7,ADC0_SE12,,ADC0_SE12,GPIOB_2,I2C0_SCL,TPM2_CH0,,,,,41,37,*,29,E7,*
Pin,PTB3,,p38,*,p30,E8,ADC0_SE13,,ADC0_SE13,GPIOB_3,I2C0_SDA,TPM2_CH1,,,,,42,38,*,30,E8,*
Pin,PTB16,,p39,*,p31,E6,DISABLED,,,GPIOB_16,SPI1_MOSI,LPUART0_RX,TPM_CLKIN0,SPI1_MISO,,,43,39,*,31,E6,*
Pin,PTB17,,p40,*,p32,D7,DISABLED,,,GPIOB_17,SPI1_MISO,LPUART0_TX,TPM_CLKIN1,SPI1_MOSI,,,44,40,*,32,D7,*
Pin,PTB18,LED_RED,p41,*,*,D6,DISABLED,,,GPIOB_18,,TPM2_CH0,,,,,45,41,*,*,D6,*
Pin,PTB19,LED_GREEN,p42,*,*,C7,DISABLED,,,GPIOB_19,,TPM2_CH1,,,,,46,42,*,*,C7,*
Pin,PTC0,A1,p43,*,p33,D8,ADC0_SE14,ADC0_SE14,ADC0_SE14,GPIOC_0,,EXTRG_IN,audioUSB_SOF_OUT,CMP0_OUT,,,47,43,*,33,D8,*
Pin,PTC1,,p44,p22,p34,C6,ADC0_SE15,,ADC0_SE15,GPIOC_1/LLWU_P6/RTC_CLKIN,I2C1_SCL,,TPM0_CH0,,,,48,44,22,34,C6,C5
Pin,PTC2,MAG_INT,p45,p23,p35,B7,ADC0_SE11,,ADC0_SE11,GPIOC_2,I2C1_SDA,,TPM0_CH1,,,,49,45,23,35,B7,B6
Pin,PTC3,,p46,p24,p36,C8,DISABLED,,,GPIOC_3/LLWU_P7,SPI1_SCK,LPUART1_RX,TPM0_CH2,CLKOUT,,,50,46,24,36,C8,B5
Pin,VSS3,,p47,*,*,E3,VSS3,,,,,,,,,,51,47,*,*,E3,*
Pin,VDD4,,p48,*,*,E4,VDD4,,,,,,,,,,52,48,*,*,E4,*
Pin,PTC4,D10,p49,p25,p37,B8,DISABLED,GPIOC_4/LLWU_P8,,GPIOC_4/LLWU_P8,SPI0_PCS0,LPUART1_TX,TPM0_CH3,SPI1_PCS0,,,53,49,25,37,B8,A6
Pin,PTC5,D13,p50,p26,p38,A8,DISABLED,GPIOC_5/LLWU_P9,,GPIOC_5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,,,CMP0_OUT,,54,50,26,38,A8,A5
Pin,PTC6,D11,p51,p27,p39,A7,CMP0_IN0,GPIOC_6/LLWU_P10,CMP0_IN0,GPIOC_6/LLWU_P10,SPI0_MOSI,EXTRG_IN,,SPI0_MISO,,,55,51,27,39,A7,B4
Pin,PTC7,D12,p52,p28,p40,B6,CMP0_IN1,GPIOC_7,CMP0_IN1,GPIOC_7,SPI0_MISO,audioUSB_SOF_OUT,,SPI0_MOSI,,,56,52,28,40,B6,A4
Pin,PTC8,D7,p53,*,*,A6,CMP0_IN2,GPIOC_8,CMP0_IN2,GPIOC_8,I2C0_SCL,TPM0_CH4,,,,,57,53,*,*,A6,*
Pin,PTC9,D6,p54,*,*,B5,CMP0_IN3,GPIOC_9,CMP0_IN3,GPIOC_9,I2C0_SDA,TPM0_CH5,,,,,58,54,*,*,B5,*
Pin,PTC10,,p55,*,*,B4,DISABLED,,,GPIOC_10,I2C1_SCL,,,,,,59,55,*,*,B4,*
Pin,PTC11,,p56,*,*,A5,DISABLED,,,GPIOC_11,I2C1_SDA,,,,,,60,56,*,*,A5,*
Pin,PTD0,,p57,*,p41,C3,DISABLED,,,GPIOD_0,SPI0_PCS0,,TPM0_CH0,,FXIO0_D0,,61,57,*,41,C3,*
Pin,PTD1,,p58,*,p42,A4,ADC0_SE5b,,ADC0_SE5b,GPIOD_1,SPI0_SCK,,TPM0_CH1,,FXIO0_D1,,62,58,*,42,A4,*
Pin,PTD2,,p59,*,p43,C2,DISABLED,,,GPIOD_2,SPI0_MOSI,UART2_RX,TPM0_CH2,SPI0_MISO,FXIO0_D2,,63,59,*,43,C2,*
Pin,PTD3,,p60,*,p44,B3,DISABLED,,,GPIOD_3,SPI0_MISO,UART2_TX,TPM0_CH3,SPI0_MOSI,FXIO0_D3,,64,60,*,44,B3,*
Pin,PTD4,,p61,p29,p45,A3,DISABLED,,,GPIOD_4/LLWU_P14,SPI1_PCS0,UART2_RX,TPM0_CH4,,FXIO0_D4,,65,61,29,45,A3,A3
Pin,PTD5,,p62,p30,p46,C1,ADC0_SE6b,,ADC0_SE6b,GPIOD_5,SPI1_SCK,UART2_TX,TPM0_CH5,,FXIO0_D5,,66,62,30,46,C1,B3
Pin,PTD6,D14/ONBOARD_SDA,p63,p31,p47,B2,ADC0_SE7b,I2C1_SDA,ADC0_SE7b,GPIOD_6/LLWU_P15,SPI1_MOSI,LPUART0_RX,I2C1_SDA,SPI1_MISO,FXIO0_D6,,67,63,31,47,B2,B2
Pin,PTD7,D15/ONBOARD_SCL,p64,p32,p48,A2,DISABLED,I2C1_SCL,,GPIOD_7,SPI1_MISO,LPUART0_TX,I2C1_SCL,SPI1_MOSI,FXIO0_D7,,68,64,32,48,A2,A2
,,,,,,,,,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),Clock source,Irq number,Irq number,Irq number,,,,,,,,,,,,,,,
Peripheral,MCG,,,,,,,,,,,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,,I2C0_IRQn,,,,,,,,,,,,,,,,,
Peripheral,I2C1,SIM->SCGC4,,,I2C1_IRQn,,,,,,,,,,,,,,,,,
Peripheral,UART2,SIM->SCGC4,,,UART2_FLEXIO_IRQn,,,,,,,,,,,,,,,,,
Peripheral,USB0,SIM->SCGC4,SIM_SCGC4_USBOTG_MASK,,USB0_IRQn,,,,,,,,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,,,CMP0_IRQn,,,,,,,,,,,,,,,,,
Peripheral,VREF,SIM->SCGC4,,,,,,,,,,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC4,,,SPI0_IRQn,,,,,,,,,,,,,,,,,
Peripheral,SPI1,SIM->SCGC4,,,SPI1_IRQn,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,LPTMR0_IRQn,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,,PORTA_IRQn,,,,,,,,,,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,,PORTBCDE_IRQn,,,,,,,,,,,,,,,,,
Peripheral,PORTC,SIM->SCGC5,,,PORTBCDE_IRQn,,,,,,,,,,,,,,,,,
Peripheral,PORTD,SIM->SCGC5,,,PORTBCDE_IRQn,,,,,,,,,,,,,,,,,
Peripheral,PORTE,SIM->SCGC5,,,PORTBCDE_IRQn,,,,,,,,,,,,,,,,,
Peripheral,LPUART0,SIM->SCGC5,,,LPUART0_IRQn,,,,,,,,,,,,,,,,,
Peripheral,LPUART1,SIM->SCGC5,,,LPUART1_IRQn,,,,,,,,,,,,,,,,,
Peripheral,FLEXIO,SIM->SCGC5,,,UART2_FLEXIO_IRQn,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Peripheral,FTFA,SIM->SCGC6,SIM_SCGC6_FTF_MASK,,,,,,,,,,,,,,,,,,,
Peripheral,DMAMUX0,SIM->SCGC6,,,,,,,,,,,,,,,,,,,,
Peripheral,CRC,SIM->SCGC6,,,,,,,,,,,,,,,,,,,,
Peripheral,PIT,SIM->SCGC6,,,PIT_IRQn,,,,,,,,,,,,,,,,,
Peripheral,TPM0,SIM->SCGC6,,,TPM0_IRQn,,,,,,,,,,,,,,,,,
Peripheral,TPM1,SIM->SCGC6,,,TPM1_IRQn,,,,,,,,,,,,,,,,,
Peripheral,TPM2,SIM->SCGC6,,,TPM2_IRQn,,,,,,,,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,,ADC0_IRQn,,,,,,,,,,,,,,,,,
Peripheral,RTC,SIM->SCGC6,,,RTC_Alarm_IRQn,RTC_Seconds_IRQn,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Peripheral,SMC,,,,,,,,,,,,,,,,,,,,,
Peripheral,DMA,SIM->SCGC7,,,,,,,,,,,,,,,,,,,,
Peripheral,SIM,,,,,,,,,,,,,,,,,,,,,
Peripheral,CONSOLE,,,,,,,,,,,,,,,,,,,,,
Peripheral,LLWU,,,,LLWU_IRQn,,,,,,,,,,,,,,,,,
