TargetDeviceFamily,CortexM0,,,,,,,,,,,,
TargetDeviceSubFamily,MKL03Z4,mkl,,,,,,,,,,,
,,,,,,,,,,,,,
Pin,PTA7/IRQ_4,D11,p11,pD4,p7,DISABLED,,PTA7/IRQ_4,SPI0_MISO,SPI0_MOSI,,,11
Pin,PTA8,A1,p15,pD2,*,ADC0_SE3,ADC0_SE3,PTA8,I2C0_SCL,SPI0_MOSI,,,15
Pin,PTA9,A0,p16,pC2,*,ADC0_SE2,ADC0_SE2,PTA9,I2C0_SDA,SPI0_SCK,,,16
Pin,PTB0/IRQ_5/LLWU_P4,D13,p12,pC1,p8,ADC0_SE9,ADC0_SE9,PTB0/IRQ_5/LLWU_P4,EXTRG_IN,SPI0_SCK,I2C0_SCL,,12
Pin,PTB1/IRQ_6,D1/ConsoleTx,p13,pD1,p9,ADC0_SE8/CMP0_IN3,ADC0_SE8/CMP0_IN3,PTB1/IRQ_6,LPUART0_TX,LPUART0_RX,I2C0_SDA,,13
Pin,PTB10,D8,p9,*,*,DISABLED,,PTB10,TPM0_CH1,SPI0_SS_b,,,9
Pin,PTB11,D9,p10,*,*,DISABLED,,PTB11,TPM0_CH0,SPI0_MISO,,,10
Pin,PTB13/CLKOUT32K,A4,p21,pA3,*,DISABLED,,PTB13/CLKOUT32K,TPM1_CH1,RTC_CLKOUT,,,21
Pin,PTB2/IRQ_7,D0/ConsoleRx,p14,pB1,p10,VREF_OUT/CMP0_IN5,VREF_OUT/CMP0_IN5,PTB2/IRQ_7,LPUART0_RX,LPUART0_TX,,,14
Pin,PTB3/IRQ_10,D15,p17,pA1,p11,DISABLED,,PTB3/IRQ_10,I2C0_SCL,LPUART0_TX,,,17
Pin,PTB4/IRQ_11,D14,p18,pB2,p12,DISABLED,,PTB4/IRQ_11,I2C0_SDA,LPUART0_RX,,,18
Pin,PTB5/IRQ_12,D6,p19,pA2,p13,NMI_b,ADC0_SE1/CMP0_IN1,PTB5/IRQ_12,TPM1_CH1,NMI_b,,,19
Pin,PTB6/IRQ_2/LPTMR0_ALT3,D3,p1,*,*,DISABLED,,PTB6/IRQ_2/LPTMR0_ALT3,TPM1_CH1,TPM_CLKIN1,,,1
Pin,PTB7/IRQ_3,D5,p2,*,*,DISABLED,,PTB7/IRQ_3,TPM1_CH0,,,,2
Pin,VDD,VDD,p3,pB5,p1,VDD,,,,,,,3
Pin,VSS,VSS,p4,pC5,p2,VSS,,,,,,,4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),Clock source,Irq number,Irq number,Irq number,,,,,,
Peripheral,MCG,,,,MCG_IRQn,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,,I2C0_IRQn,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,SIM_SCGC4_CMP0_MASK,,CMP0_IRQn,,,,,,,,
Peripheral,VREF,SIM->SCGC4,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC4,,,SPI0_IRQn,,,,,,,,
,,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,LPTMR0_IRQn,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,,PORTA_IRQn,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,,,,,,,,,,
Peripheral,LPUART0,SIM->SCGC5,,,LPUART0_IRQn,,,,,,,,
,,,,,,,,,,,,,
Peripheral,FTFA,SIM->SCGC6,SIM_SCGC6_FTF_MASK,,,,,,,,,,
Peripheral,TPM0,SIM->SCGC6,,,TPM0_IRQn,,,,,,,,
Peripheral,TPM1,SIM->SCGC6,,,TPM1_IRQn,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,,ADC0_IRQn,,,,,,,,
Peripheral,RTC,SIM->SCGC6,,,RTC_Alarm_IRQn,RTC_Seconds_IRQn,,,,,,,
,,,,,,,,,,,,,
Peripheral,SMC,,,,,,,,,,,,
Peripheral,SIM,,,,,,,,,,,,
Peripheral,CONSOLE,,,,,,,,,,,,
Peripheral,LLWU,,,,LLWU_IRQn,,,,,,,,
Peripheral,PMC,,,,PMC_IRQn,,,,,,,,
Peripheral,RCM,,,,,,,,,,,,
,,,,,,,,,,,,,
Param,FTFA,peripheral_file,ftfa,,,,,,,,,,
Param,FTFA,pflash_sector_size,1024,,,,,,,,,,
Param,FTFA,pflash_phrase_size,4,,,,,,,,,,
