Family,MKL43Z4,mkl,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Device,MKL43Z128VLH4,KL43P64M48SF6RM,LQFP_64,,,,,,,,,,,,,,,
Device,MKL43Z256VLH4,KL43P64M48SF6RM,LQFP_64,,,,,,,,,,,,,,,
Device,MKL43Z128VMP4,KL43P64M48SF6RM,BGA_64,,,,,,,,,,,,,,,
Device,MKL43Z256VMP4,KL43P64M48SF6RM,BGA_64,,,,,,,,,,,,,,,
Device,FRDM_KL43Z4,KL43P64M48SF6RM,FRDM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Key,Pin,Pkg LQFP_64,Pkg BGA_64,Pkg FRDM,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort,64_BGA,64_LQFP,Seq#
Peripheral,FTFA,SIM->SCGC6,SIM_SCGC6_FTF_MASK,,,,,,,,,,,,,,,
Peripheral,DMAMUX0,SIM->SCGC6,,,,,,,,,,,,,,,,
Peripheral,I2S0,SIM->SCGC6,SIM_SCGC6_I2S_MASK,,I2S0_IRQn,,,,,,,,,,,,,
Peripheral,PIT,SIM->SCGC6,,,PIT_IRQn,,,,,,,,,,,,,
Peripheral,TPM0,SIM->SCGC6,,,TPM0_IRQn,,,,,,,,,,,,,
Peripheral,TPM1,SIM->SCGC6,,,TPM1_IRQn,,,,,,,,,,,,,
Peripheral,TPM2,SIM->SCGC6,,,TPM2_IRQn,,,,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,,ADC0_IRQn,,,,,,,,,,,,,
Peripheral,RTC,SIM->SCGC6,,,RTC_Alarm_IRQn,RTC_Seconds_IRQn,,,,,,,,,,,,
Peripheral,DAC0,SIM->SCGC6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Peripheral,DMA,SIM->SCGC7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Peripheral,SIM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,DMA #,Source,Async DMA,,,,,,,,,,,,,,
DmaMux,0,0,Disabled,,,,,,,,,,,,,,,
DmaMux,0,2,LPUART0_Receive,Yes,,,,,,,,,,,,,,
DmaMux,0,3,LPUART0_Transmit,Yes,,,,,,,,,,,,,,
DmaMux,0,4,LPUART1_Receive,,,,,,,,,,,,,,,
DmaMux,0,5,LPUART1_Transmit,,,,,,,,,,,,,,,
DmaMux,0,6,UART2_Receive,,,,,,,,,,,,,,,
DmaMux,0,7,UART2_Transmit,,,,,,,,,,,,,,,
DmaMux,0,10,FlexIO_Ch0,,,,,,,,,,,,,,,
DmaMux,0,11,FlexIO_Ch1,,,,,,,,,,,,,,,
DmaMux,0,12,FlexIO_Ch2,,,,,,,,,,,,,,,
DmaMux,0,13,FlexIO_Ch3,,,,,,,,,,,,,,,
DmaMux,0,14,I2S0_Receive,,,,,,,,,,,,,,,
DmaMux,0,15,I2S0_Transmit,,,,,,,,,,,,,,,
DmaMux,0,16,SPI0_Receive,,,,,,,,,,,,,,,
DmaMux,0,17,SPI0_Transmit,,,,,,,,,,,,,,,
DmaMux,0,18,SPI1_Receive,,,,,,,,,,,,,,,
DmaMux,0,19,SPI1_Transmit,,,,,,,,,,,,,,,
DmaMux,0,22,I2C0,,,,,,,,,,,,,,,
DmaMux,0,23,I2C1,,,,,,,,,,,,,,,
DmaMux,0,24,TPM0_Ch_0,Yes,,,,,,,,,,,,,,
DmaMux,0,25,TPM0_Ch_1,Yes,,,,,,,,,,,,,,
DmaMux,0,26,TPM0_Ch_2,Yes,,,,,,,,,,,,,,
DmaMux,0,27,TPM0_Ch_3,Yes,,,,,,,,,,,,,,
DmaMux,0,28,TPM0_Ch_4,Yes,,,,,,,,,,,,,,
DmaMux,0,29,TPM0_Ch_5,Yes,,,,,,,,,,,,,,
DmaMux,0,32,TPM1_Ch_0,Yes,,,,,,,,,,,,,,
DmaMux,0,33,TPM1_Ch_1,Yes,,,,,,,,,,,,,,
DmaMux,0,34,TPM2_Ch_0,Yes,,,,,,,,,,,,,,
DmaMux,0,35,TPM2_Ch_1,Yes,,,,,,,,,,,,,,
DmaMux,0,40,ADC0,Yes,,,,,,,,,,,,,,
DmaMux,0,42,CMP0,Yes,,,,,,,,,,,,,,
DmaMux,0,45,DAC0,,,,,,,,,,,,,,,
DmaMux,0,49,PortA,Yes,,,,,,,,,,,,,,
DmaMux,0,51,PortC,Yes,,,,,,,,,,,,,,
DmaMux,0,52,PortD,Yes,,,,,,,,,,,,,,
DmaMux,0,54,TPM0_Overflow,Yes,,,,,,,,,,,,,,
DmaMux,0,55,TPM1_Overflow,Yes,,,,,,,,,,,,,,
DmaMux,0,56,TPM2_Overflow,Yes,,,,,,,,,,,,,,
DmaMux,0,60,AlwaysEnabled0,,,,,,,,,,,,,,,
DmaMux,0,61,AlwaysEnabled1,,,,,,,,,,,,,,,
DmaMux,0,62,AlwaysEnabled2,,,,,,,,,,,,,,,
DmaMux,0,63,AlwaysEnabled3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Peripheral,key,value,,,,,,,,,,,,,,,
Param,OSC0,rtcSharesPins,1,,,,,,,,,,,,,,,
