TargetDeviceFamily,CortexM0,,,,,,,,,,,,,,,,,,,
TargetDeviceSubFamily,MKE04Z4,mke,MKE04Z8M4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Pin,PIT_CH0,Internal,Internal,Internal,Internal,PIT_CH0,,,,,,,,,,,,,,
Pin,PIT_CH1,Internal,Internal,Internal,Internal,PIT_CH1,,,,,,,,,,,,,,
Pin,PIT_CH2,Internal,Internal,Internal,Internal,PIT_CH2,,,,,,,,,,,,,,
Pin,PIT_CH3,Internal,Internal,Internal,Internal,PIT_CH3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),,,,,,,,,,,,,,,,,
Peripheral,RTC,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,PIT,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,PWT,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,FTM0,SIM->SCGC,,,,,,,,,,,,,,,,,,
,FTM1,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,FTM2,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,CRC0,SIM->SCGC,SIM_SCGC_CRC_MASK,,,,,,,,,,,,,,,,,
Peripheral,SWD,SIM->SCGC,,,,,,,,,,,,,,,,,,
,CAN0,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC,SIM_SCGC_I2C_MASK,,,,,,,,,,,,,,,,,
,I2C1,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC,,,,,,,,,,,,,,,,,,
,SPI1,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,UART0,SIM->SCGC,,,,,,,,,,,,,,,,,,
,UART1,SIM->SCGC,,,,,,,,,,,,,,,,,,
,UART2,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,KBI0,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,KBI1,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,IRQ,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,ACMP0,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,ACMP1,SIM->SCGC,,,,,,,,,,,,,,,,,,
Peripheral,SIM,,,,,,,,,,,,,,,,,,,
Peripheral,ICS,,,,,,,,,,,,,,,,,,,
Peripheral,CONSOLE,,,,,,,,,,,,,,,,,,,
Peripheral,WDOG,,,,,,,,,,,,,,,,,,,
Peripheral,PMC,,,,,,,,,,,,,,,,,,,
Peripheral,PORT,,,,,,,,,,,,,,,,,,,
