Family,MK64F12,mk,,,,,,,,,,,,,,,
Pin,PTE3,SD_cmd,p4,p4,E4,F4,ADC0_DM2/ADC1_SE7a,,ADC0_DM2/ADC1_SE7a,PTE3,SPI1_SIN,UART1_RTS_b,SDHC0_CMD,TRACE_D1,,SPI1_SOUT,
Pin,VDD1,*,p5,*,E5,E7,VDD1,,,,,,,,,,
Pin,VSS1,*,p6,*,F6,F7,VSS1,,,,,,,,,,
Pin,PTE4/LLWU_P2,SD_d3,p7,p5,E3,H7,DISABLED,,,PTE4/LLWU_P2,SPI1_PCS0,UART3_TX,SDHC0_D3,TRACE_D0,,,
Pin,PTE5,SD_d2,p8,p6,E2,G4,DISABLED,,,PTE5,SPI1_PCS2,UART3_RX,SDHC0_D2,,FTM3_CH0,,
Pin,PTE6,SD_switch,p9,p7,E1,F3,DISABLED,,,PTE6,SPI1_PCS3,UART3_CTS_b,I2S0_MCLK,,FTM3_CH1,USB_SOF_OUT,
Pin,PTE7,*,p10,*,F4,*,DISABLED,,,PTE7,,UART3_RTS_b,I2S0_RXD0,,FTM3_CH2,,
Pin,PTE8,*,p11,*,F3,*,DISABLED,,,PTE8,I2S0_RXD1,UART5_TX,I2S0_RX_FS,,FTM3_CH3,,
Pin,PTE9,*,p12,*,F2,*,DISABLED,,,PTE9,I2S0_TXD1,UART5_RX,I2S0_RX_BCLK,,FTM3_CH4,,
Pin,PTE10,*,p13,*,F1,*,DISABLED,,,PTE10,,UART5_CTS_b,I2S0_TXD0,,FTM3_CH5,,
Pin,PTE11,*,p14,*,G4,*,DISABLED,,,PTE11,,UART5_RTS_b,I2S0_TX_FS,,FTM3_CH6,,
Pin,PTE12,*,p15,*,G3,*,DISABLED,,,PTE12,,,I2S0_TX_BCLK,,FTM3_CH7,,
Pin,VDD2,,p16,p8,E6,E6,VDD2,,,,,,,,,,
Pin,VSS2,,p17,p9,F7,G7,VSS2,,,,,,,,,,
Pin,VSS2a,*,p18,*,H3,L6,VSS2a,,,,,,,,,,
Pin,USB0_DP,,p19,p10,H1,F1,USB0_DP,,,,,,,,,,
Pin,USB0_DM,,p20,p11,H2,F2,USB0_DM,,,,,,,,,,
Pin,VOUT33,,p21,p12,G1,G1,VOUT33,,,,,,,,,,
Pin,VREGIN,,p22,p13,G2,G2,VREGIN,,,,,,,,,,
Pin,ADC0_DP1,A6,p23,p14,J1,H1,ADC0_DP1,,,,,,,,,,
Pin,ADC0_DM1,A7,p24,p15,J2,H2,ADC0_DM1,,,,,,,,,,
Pin,ADC1_DP1,A8,p25,p16,K1,J1,ADC1_DP1,,,,,,,,,,
Pin,ADC1_DM1,A9,p26,p17,K2,J2,ADC1_DM1,,,,,,,,,,
Pin,ADC0_DP0/ADC1_DP3,D26,p27,p18,L1,K1,ADC0_DP0/ADC1_DP3,,,,,,,,,,
Pin,ADC0_DM0/ADC1_DM3,D27,p28,p19,L2,K2,ADC0_DM0/ADC1_DM3,,,,,,,,,,
Pin,ADC1_DP0/ADC0_DP3,D29,p29,p20,M1,L1,ADC1_DP0/ADC0_DP3,,,,,,,,,,
Pin,ADC1_DM0/ADC0_DM3,D30,p30,p21,M2,L2,ADC1_DM0/ADC0_DM3,,,,,,,,,,
Pin,VDDA,,p31,p22,H5,F5,VDDA,,,,,,,,,,
Pin,VREFH,,p32,p23,G5,G5,VREFH,,,,,,,,,,
Pin,VREFL,,p33,p24,G6,G6,VREFL,,,,,,,,,,
Pin,VSSA,,p34,p25,H6,F6,VSSA,,,,,,,,,,
Pin,ADC1_SE16/CMP2_IN2/ADC0_SE22,*,p35,*,K3,J3,ADC1_SE16/CMP2_IN2/ADC0_SE22,,,,,,,,,,
Pin,ADC0_SE16/CMP1_IN2/ADC0_SE21,*,p36,*,J3,H3,ADC0_SE16/CMP1_IN2/ADC0_SE21,,,,,,,,,,
Pin,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,D32,p37,p26,M3,L3,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,,,,,,,,,,
Pin,DAC0_OUT/CMP1_IN3/ADC0_SE23,A11,p38,p27,L3,K5,DAC0_OUT/CMP1_IN3/ADC0_SE23,,,,,,,,,,
Pin,DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23,*,p39,*,L4,K4,DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23,,,,,,,,,,
Pin,XTAL32,,p40,p28,M7,L4,XTAL32,,,,,,,,,,
Pin,EXTAL32,,p41,p29,M6,L5,EXTAL32,,,,,,,,,,
Pin,VBAT,,p42,p30,L6,K6,VBAT,,,,,,,,,,
Pin,VDD3,*,p43,*,*,*,VDD3,,,,,,,,,,
Pin,VSS3,*,p44,*,*,*,VSS3,,,,,,,,,,
Pin,PTE24,D15/ONBOARD_scl,p45,p31,M4,H5,ADC0_SE17,,ADC0_SE17,PTE24,,UART4_TX,,I2C0_SCL,EWM_OUT_b,,
Pin,PTE25,D14/ONBOARD_sda,p46,p32,K5,J5,ADC0_SE18,,ADC0_SE18,PTE25,,UART4_RX,,I2C0_SDA,EWM_IN,,
Pin,PTE26,D24/GREEN_LED,p47,p33,K4,H6,DISABLED,,,PTE26,ENET_1588_CLKIN,UART4_CTS_b,,,RTC_CLKOUT,USB_CLKIN,
Pin,PTE27,*,p48,*,J4,*,DISABLED,,,PTE27,,UART4_RTS_b,,,,,
Pin,PTE28,*,p49,*,H4,*,DISABLED,,,PTE28,,,,,,,
Pin,PTA0,D8,p50,p34,J5,J6,JTAG_TCLK/SWD_CLK,,,PTA0,UART0_CTS_b/UART0_COL_b,FTM0_CH5,,,,JTAG_TCLK/SWD_CLK,EZP_CLK
Pin,PTA1,D3,p51,p35,J6,H8,JTAG_TDI,,,PTA1,UART0_RX,FTM0_CH6,,,,JTAG_TDI,EZP_DI
Pin,PTA2,D5,p52,p36,K6,J7,JTAG_TDO/TRACE_SWO,,,PTA2,UART0_TX,FTM0_CH7,,,,JTAG_TDO/TRACE_SWO,EZP_DO
Pin,PTA3,,p53,p37,K7,H9,JTAG_TMS/SWD_DIO,,,PTA3,UART0_RTS_b,FTM0_CH0,,,,JTAG_TMS/SWD_DIO,
Pin,PTA4/LLWU_P3,SW3,p54,p38,L7,J8,NMI_b,,,PTA4/LLWU_P3,,FTM0_CH1,,,,NMI_b,EZP_CS_b
Pin,PTA5,,p55,p39,M8,K7,DISABLED,,,PTA5,USB_CLKIN,FTM0_CH2,RMII0_RXER/MII0_RXER,CMP2_OUT,I2S0_TX_BCLK,JTAG_TRST_b,
Pin,VDD4,,p56,p40,E7,E5,VDD4,,,,,,,,,,
Pin,VSS4,,p57,p41,G7,G3,VSS4,,,,,,,,,,
Pin,PTA6,*,p58,*,J7,*,DISABLED,,,PTA6,,FTM0_CH3,,CLKOUT,,TRACE_CLKOUT,
Pin,PTA7,*,p59,*,J8,*,ADC0_SE10,,ADC0_SE10,PTA7,,FTM0_CH4,,,,TRACE_D3,
Pin,PTA8,*,p60,*,K8,*,ADC0_SE11,,ADC0_SE11,PTA8,,FTM1_CH0,,,FTM1_QD_PHA,TRACE_D2,
Pin,PTA9,*,p61,*,L8,*,DISABLED,,,PTA9,,FTM1_CH1,MII0_RXD3,,FTM1_QD_PHB,TRACE_D1,
Pin,PTA10,*,p62,*,M9,J9,DISABLED,,,PTA10,,FTM2_CH0,MII0_RXD2,,FTM2_QD_PHA,TRACE_D0,
Pin,PTA11,*,p63,*,L9,J4,DISABLED,,,PTA11,,FTM2_CH1,MII0_RXCLK,I2C2_SDA,FTM2_QD_PHB,,
Pin,PTA12,,p64,p42,K9,K8,CMP2_IN0,,CMP2_IN0,PTA12,CAN0_TX,FTM1_CH0,RMII0_RXD1/MII0_RXD1,I2C2_SCL,I2S0_TXD0,FTM1_QD_PHA,
Pin,PTA13/LLWU_P4,,p65,p43,J9,L8,CMP2_IN1,,CMP2_IN1,PTA13/LLWU_P4,CAN0_RX,FTM1_CH1,RMII0_RXD0/MII0_RXD0,I2C2_SDA,I2S0_TX_FS,FTM1_QD_PHB,
Pin,PTA14,,p66,p44,L10,K9,DISABLED,,,PTA14,SPI0_PCS0,UART0_TX,RMII0_CRS_DV/MII0_RXDV,I2C2_SCL,I2S0_RX_BCLK,I2S0_TXD1,
Pin,PTA15,,p67,p45,L11,L9,DISABLED,,,PTA15,SPI0_SCK,UART0_RX,RMII0_TXEN/MII0_TXEN,,I2S0_RXD0,,
Pin,PTA16,,p68,p46,K10,J10,DISABLED,,,PTA16,SPI0_SOUT,UART0_CTS_b/UART0_COL_b,RMII0_TXD0/MII0_TXD0,,I2S0_RX_FS,I2S0_RXD1,
Pin,PTA17,,p69,p47,K11,H10,ADC1_SE17,,ADC1_SE17,PTA17,SPI0_SIN,UART0_RTS_b,RMII0_TXD1/MII0_TXD1,,I2S0_MCLK,,
Pin,VDD5,,p70,p48,E8,L10,VDD5,,,,,,,,,,
Pin,VSS5,,p71,p49,G8,K10,VSS5,,,,,,,,,,
Pin,PTA18,,p72,p50,M12,L11,EXTAL0,,EXTAL0,PTA18,,FTM0_FLT2,FTM_CLKIN0,,,,
Pin,PTA19,,p73,p51,M11,K11,XTAL0,,XTAL0,PTA19,,FTM1_FLT0,FTM_CLKIN1,,LPTMR0_ALT1,,
Pin,RESET_n,,p74,p52,L12,J11,RESET_b,,,,,,,,,,
Pin,PTA24,*,p75,*,K12,*,DISABLED,,,PTA24,,,MII0_TXD2,,FB_A29,,
Pin,PTA25,*,p76,*,J12,*,DISABLED,,,PTA25,,,MII0_TXCLK,,FB_A28,,
Pin,PTA26,*,p77,*,J11,*,DISABLED,,,PTA26,,,MII0_TXD3,,FB_A27,,
Pin,PTA27,*,p78,*,J10,*,DISABLED,,,PTA27,,,MII0_CRS,,FB_A26,,
Pin,PTA28,*,p79,*,H12,*,DISABLED,,,PTA28,,,MII0_TXER,,FB_A25,,
Pin,PTA29,*,p80,*,H11,H11,DISABLED,,,PTA29,,,MII0_COL,,FB_A24,,
Pin,PTB0/LLWU_P5,,p81,p53,H10,G11,ADC0_SE8/ADC1_SE8,,ADC0_SE8/ADC1_SE8,PTB0/LLWU_P5,I2C0_SCL,FTM1_CH0,RMII0_MDIO/MII0_MDIO,,FTM1_QD_PHA,,
Pin,PTB1,,p82,p54,H9,G10,ADC0_SE9/ADC1_SE9,,ADC0_SE9/ADC1_SE9,PTB1,I2C0_SDA,FTM1_CH1,RMII0_MDC/MII0_MDC,,FTM1_QD_PHB,,
Pin,PTB2,A0,p83,p55,G12,G9,ADC0_SE12,,ADC0_SE12,PTB2,I2C0_SCL,UART0_RTS_b,ENET0_1588_TMR0,,FTM0_FLT3,,
Pin,PTB3,A1,p84,p56,G11,G8,ADC0_SE13,,ADC0_SE13,PTB3,I2C0_SDA,UART0_CTS_b/UART0_COL_b,ENET0_1588_TMR1,,FTM0_FLT0,,
Pin,PTB4,*,p85,*,G10,*,ADC1_SE10,,ADC1_SE10,PTB4,,,ENET0_1588_TMR2,,FTM1_FLT0,,
Pin,PTB5,*,p86,*,G9,*,ADC1_SE11,,ADC1_SE11,PTB5,,,ENET0_1588_TMR3,,FTM2_FLT0,,
Pin,PTB6,*,p87,*,F12,F11,ADC1_SE12,,ADC1_SE12,PTB6,,,,FB_AD23,,,
Pin,PTB7,*,p88,*,F11,E11,ADC1_SE13,,ADC1_SE13,PTB7,,,,FB_AD22,,,
Pin,PTB8,*,p89,*,F10,D11,DISABLED,,,PTB8,,UART3_RTS_b,,FB_AD21,,,
Pin,PTB9,D2,p90,p57,F9,E10,DISABLED,,,PTB9,SPI1_PCS1,UART3_CTS_b,,FB_AD20,,,
Pin,PTB10,A2,p91,p58,E12,D10,ADC1_SE14,,ADC1_SE14,PTB10,SPI1_PCS0,UART3_RX,,FB_AD19,FTM0_FLT1,,
Pin,PTB11,A3,p92,p59,E11,C10,ADC1_SE15,,ADC1_SE15,PTB11,SPI1_SCK,UART3_TX,,FB_AD18,FTM0_FLT2,,
Pin,VSS6,,p93,p60,H7,*,VSS6,,,,,,,,,,
Pin,VDD6,,p94,p61,F5,*,VDD6,,,,,,,,,,
Pin,PTB16,ConRx,p95,p62,E10,B10,DISABLED,,,PTB16,SPI1_SOUT,UART0_RX,FTM_CLKIN0,FB_AD17,EWM_IN,,
Pin,PTB17,ConTx,p96,p63,E9,E9,DISABLED,,,PTB17,SPI1_SIN,UART0_TX,FTM_CLKIN1,FB_AD16,EWM_OUT_b,,
Pin,PTB18,D16,p97,p64,D12,D9,DISABLED,,,PTB18,CAN0_TX,FTM2_CH0,I2S0_TX_BCLK,FB_AD15,FTM2_QD_PHA,,
Pin,PTB19,D17,p98,p65,D11,C9,DISABLED,,,PTB19,CAN0_RX,FTM2_CH1,I2S0_TX_FS,FB_OE_b,FTM2_QD_PHB,,
Pin,PTB20,A10,p99,p66,D10,F10,DISABLED,,,PTB20,SPI2_PCS0,,,FB_AD31,CMP0_OUT,,
Pin,PTB21,LED_BLUE,p100,p67,D9,F9,DISABLED,,,PTB21,SPI2_SCK,,,FB_AD30,CMP1_OUT,,
Pin,PTB22,LED_RED,p101,p68,C12,F8,DISABLED,,,PTB22,SPI2_SOUT,,,FB_AD29,CMP2_OUT,,
Pin,PTB23,D4,p102,p69,C11,E8,DISABLED,,,PTB23,SPI2_SIN,SPI0_PCS5,,FB_AD28,,,
Pin,PTC0,D21,p103,p70,B12,B9,ADC0_SE14,,ADC0_SE14,PTC0,SPI0_PCS4,PDB0_EXTRG,USB_SOF_OUT,FB_AD14,I2S0_TXD1,,
Pin,PTC1/LLWU_P6,D18,p104,p71,B11,D8,ADC0_SE15,,ADC0_SE15,PTC1/LLWU_P6,SPI0_PCS3,UART1_RTS_b,FTM0_CH0,FB_AD13,I2S0_TXD0,,
Pin,PTC2,D6,p105,p72,A12,C8,ADC0_SE4b/CMP1_IN0,,ADC0_SE4b/CMP1_IN0,PTC2,SPI0_PCS2,UART1_CTS_b,FTM0_CH1,FB_AD12,I2S0_TX_FS,,
Pin,PTC3/LLWU_P7,D7,p106,p73,A11,B8,CMP1_IN1,,CMP1_IN1,PTC3/LLWU_P7,SPI0_PCS1,UART1_RX,FTM0_CH2,CLKOUT,I2S0_TX_BCLK,,
Pin,VSS7,,p107,p74,H8,*,VSS7,,,,,,,,,,
Pin,VDD7,,p108,p75,*,*,VDD7,,,,,,,,,,
Pin,PTC4/LLWU_P8,D9,p109,p76,A9,A8,DISABLED,,,PTC4/LLWU_P8,SPI0_PCS0,UART1_TX,FTM0_CH3,FB_AD11,CMP1_OUT,,
Pin,PTC5/LLWU_P9,D23,p110,p77,D8,D7,DISABLED,,,PTC5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,FB_AD10,CMP0_OUT,FTM0_CH2,
Pin,PTC6/LLWU_P10,SW3/Accel_Irq1,p111,p78,C8,C7,CMP0_IN0,,CMP0_IN0,PTC6/LLWU_P10,SPI0_SOUT,PDB0_EXTRG,I2S0_RX_BCLK,FB_AD9,I2S0_MCLK,,
Pin,PTC7,D22,p112,p79,B8,B7,CMP0_IN1,,CMP0_IN1,PTC7,SPI0_SIN,USB_SOF_OUT,I2S0_RX_FS,FB_AD8,,,
Pin,PTC8,D19,p113,p80,A8,A7,ADC1_SE4b/CMP0_IN2,,ADC1_SE4b/CMP0_IN2,PTC8,,FTM3_CH4,I2S0_MCLK,FB_AD7,,,
Pin,PTC9,D20,p114,p81,D7,D6,ADC1_SE5b/CMP0_IN3,,ADC1_SE5b/CMP0_IN3,PTC9,,FTM3_CH5,I2S0_RX_BCLK,FB_AD6,FTM2_FLT0,,
Pin,PTC10,A5,p115,p82,C7,C6,ADC1_SE6b,,ADC1_SE6b,PTC10,I2C1_SCL,FTM3_CH6,I2S0_RX_FS,FB_AD5,,,
Pin,PTC11/LLWU_P11,A4,p116,p83,B7,C5,ADC1_SE7b,,ADC1_SE7b,PTC11/LLWU_P11,I2C1_SDA,FTM3_CH7,I2S0_RXD1,FB_RW_b,,,
Pin,PTC12,nRF24L01_ce_n,p117,p84,A7,B6,DISABLED,,,PTC12,,UART4_RTS_b,,FB_AD27,FTM3_FLT0,,
Pin,PTC13,Accel_Irq2,p118,p85,D6,A6,DISABLED,,,PTC13,,UART4_CTS_b,,FB_AD26,,,
Pin,PTC14,BlueTooth_Rx,p119,p86,C6,A5,DISABLED,,,PTC14,,UART4_RX,,FB_AD25,,,
Pin,PTC15,BlueTooth_Tx,p120,p87,B6,B5,DISABLED,,,PTC15,,UART4_TX,,FB_AD24,,,
Pin,VSS8,,p121,p88,*,*,VSS8,,,,,,,,,,
Pin,VDD8,,p122,p89,*,*,VDD8,,,,,,,,,,
Pin,PTC16,D0,p123,p90,A6,D5,DISABLED,,,PTC16,,UART3_RX,ENET0_1588_TMR0,FB_CS5_b/FB_TSIZ1/FB_BE23_16_BLS15_8_b,,,
Pin,PTC17,D1,p124,p91,D5,C4,DISABLED,,,PTC17,,UART3_TX,ENET0_1588_TMR1,FB_CS4_b/FB_TSIZ0/FB_BE31_24_BLS7_0_b,,,
Pin,PTC18,nRF24L01_irq,p125,p92,C5,B4,DISABLED,,,PTC18,,UART3_RTS_b,ENET0_1588_TMR2,FB_TBST_b/FB_CS2_b/FB_BE15_8_BLS23_16_b,,,
Pin,PTC19,*,p126,*,B5,A4,DISABLED,,,PTC19,,UART3_CTS_b,ENET0_1588_TMR3,FB_CS3_b/FB_BE7_0_BLS31_24_b,FB_TA_b,,
Pin,PTD0/LLWU_P12,D10,p127,p93,A5,D4,DISABLED,,,PTD0/LLWU_P12,SPI0_PCS0,UART2_RTS_b,FTM3_CH0,FB_ALE/FB_CS1_b/FB_TS_b,,,
Pin,PTD1,D13,p128,p94,D4,D3,ADC0_SE5b,,ADC0_SE5b,PTD1,SPI0_SCK,UART2_CTS_b,FTM3_CH1,FB_CS0_b,,,
Pin,PTD2/LLWU_P13,D11,p129,p95,C4,C3,DISABLED,,,PTD2/LLWU_P13,SPI0_SOUT,UART2_RX,FTM3_CH2,FB_AD4,,I2C0_SCL,
Pin,PTD3,D12,p130,p96,B4,B3,DISABLED,,,PTD3,SPI0_SIN,UART2_TX,FTM3_CH3,FB_AD3,,I2C0_SDA,
Pin,PTD4/LLWU_P14,nRF24L01_cs_n,p131,p97,A4,A3,DISABLED,,,PTD4/LLWU_P14,SPI0_PCS1,UART0_RTS_b,FTM0_CH4,FB_AD2,EWM_IN,SPI1_PCS0,
Pin,PTD5,nRF24L01_sck,p132,p98,A3,A2,ADC0_SE6b,,ADC0_SE6b,PTD5,SPI0_PCS2,UART0_CTS_b/UART0_COL_b,FTM0_CH5,FB_AD1,EWM_OUT_b,SPI1_SCK,
Pin,PTD6/LLWU_P15,nRF24L01_mosi,p133,p99,A2,B2,ADC0_SE7b,,ADC0_SE7b,PTD6/LLWU_P15,SPI0_PCS3,UART0_RX,FTM0_CH6,FB_AD0,FTM0_FLT0,SPI1_SOUT,
Pin,VSS9,*,p134,*,M10,*,VSS9,,,,,,,,,,
Pin,VDD9,*,p135,*,F8,*,VDD9,,,,,,,,,,
Pin,PTD7,nRF24L01_miso,p136,p100,A1,A1,DISABLED,,,PTD7,CMT_IRO,UART0_TX,FTM0_CH7,,FTM0_FLT1,SPI1_SIN,
Pin,PTD8,*,p137,*,C9,A10,DISABLED,,,PTD8,I2C0_SCL,UART5_RX,,,FB_A16,,
Pin,PTD9,*,p138,*,B9,A9,DISABLED,,,PTD9,I2C0_SDA,UART5_TX,,,FB_A17,,
Pin,PTD10,*,p139,*,B3,B1,DISABLED,,,PTD10,,UART5_RTS_b,,,FB_A18,,
Pin,PTD11,*,p140,*,B2,C2,DISABLED,,,PTD11,SPI2_PCS0,UART5_CTS_b,SDHC0_CLKIN,,FB_A19,,
Pin,PTD12,*,p141,*,B1,C1,DISABLED,,,PTD12,SPI2_SCK,FTM3_FLT0,SDHC0_D4,,FB_A20,,
Pin,PTD13,*,p142,*,C3,D2,DISABLED,,,PTD13,SPI2_SOUT,,SDHC0_D5,,FB_A21,,
Pin,PTD14,*,p143,*,C2,D1,DISABLED,,,PTD14,SPI2_SIN,,SDHC0_D6,,FB_A22,,
Pin,PTD15,*,p144,*,C1,E1,DISABLED,,,PTD15,SPI2_PCS1,,SDHC0_D7,,FB_A23,,
,,,,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),,Irq number,Irq number,Irq number,,,,,,,,,,
Peripheral,MCG,,,,,,,,,,,,,,,,
Peripheral,I2C2,SIM->SCGC1,,,I2C2_IRQn,,,,,,,,,,,,
Peripheral,UART4,SIM->SCGC1,,,UART4_RX_TX_IRQn,UART4_ERR_IRQn,,,,,,,,,,,
Peripheral,UART5,SIM->SCGC1,,,UART5_RX_TX_IRQn,UART5_ERR_IRQn,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,ENET,SIM->SCGC2,,,ENET_Transmit_IRQn,ENET_Receive_IRQn,ENET_Error_IRQn,ENET_1588Timeout_IRQn,,,,,,,,,
Peripheral,DAC0,SIM->SCGC2,,,DAC0_IRQn,,,,,,,,,,,,
Peripheral,DAC1,SIM->SCGC2,,,DAC1_IRQn,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,RNG,SIM->SCGC3,,,,,,,,,,,,,,,
Peripheral,SPI2,SIM->SCGC3,,,SPI2_IRQn,,,,,,,,,,,,
Peripheral,SDHC0,SIM->SCGC3,SIM_SCGC3_SDHC_MASK,,SDHC_IRQn,,,,,,,,,,,,
Peripheral,FTM3,SIM->SCGC3,,,FTM3_IRQn,,,,,,,,,,,,
Peripheral,ADC1,SIM->SCGC3,,,ADC0_IRQn,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,EWM,SIM->SCGC4,,,,,,,,,,,,,,,
Peripheral,CMT,SIM->SCGC4,,,,,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,,I2C0_IRQn,,,,,,,,,,,,
Peripheral,I2C1,SIM->SCGC4,,,I2C1_IRQn,,,,,,,,,,,,
Peripheral,UART0,SIM->SCGC4,,,UART0_RX_TX_IRQn,UART0_ERR_IRQn,,,,,,,,,,,
Peripheral,UART1,SIM->SCGC4,,,UART1_RX_TX_IRQn,UART1_ERR_IRQn,,,,,,,,,,,
Peripheral,UART2,SIM->SCGC4,,,UART2_RX_TX_IRQn,UART2_ERR_IRQn,,,,,,,,,,,
Peripheral,UART3,SIM->SCGC4,,,UART3_RX_TX_IRQn,UART3_ERR_IRQn,,,,,,,,,,,
Peripheral,USB0,SIM->SCGC4,SIM_SCGC4_USBOTG_MASK,,USB0_IRQn,,,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,SIM_SCGC4_CMP_MASK,,CMP0_IRQn,,,,,,,,,,,,
Peripheral,CMP1,SIM->SCGC4,SIM_SCGC4_CMP_MASK,,CMP1_IRQn,,,,,,,,,,,,
Peripheral,CMP2,SIM->SCGC4,SIM_SCGC4_CMP_MASK,,CMP2_IRQn,,,,,,,,,,,,
Peripheral,VREF,SIM->SCGC4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,LPTMR0_IRQn,,,,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,,PORTA_IRQn,,,,,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,,PORTB_IRQn,,,,,,,,,,,,
Peripheral,PORTC,SIM->SCGC5,,,PORTC_IRQn,,,,,,,,,,,,
Peripheral,PORTD,SIM->SCGC5,,,PORTD_IRQn,,,,,,,,,,,,
Peripheral,PORTE,SIM->SCGC5,,,PORTE_IRQn,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,FTFE,SIM->SCGC6,SIM_SCGC6_FTF_MASK,,,,,,,,,,,,,,
Peripheral,DMAMUX0,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,CAN0,SIM->SCGC6,SIM_SCGC6_FLEXCAN0_MASK,,,,,,,,,,,,,,
Peripheral,RNG,SIM->SCGC6,SIM_SCGC6_RNGA_MASK,,,,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC6,,,SPI0_IRQn,,,,,,,,,,,,
Peripheral,SPI1,SIM->SCGC6,,,SPI1_IRQn,,,,,,,,,,,,
Peripheral,I2S0,SIM->SCGC6,SIM_SCGC6_I2S_MASK,,I2S0_Tx_IRQn,I2S0_Rx_IRQn,,,,,,,,,,,
Peripheral,PDB0,SIM->SCGC6,SIM_SCGC6_PDB_MASK,,PDB0_IRQn,,,,,,,,,,,,
Peripheral,USBDCD,SIM->SCGC6,,,USBDCD_IRQn,,,,,,,,,,,,
Peripheral,PIT,SIM->SCGC6,,,PIT0_IRQn,PIT1_IRQn,PIT2_IRQn,PIT3_IRQn,,,,,,,,,
Peripheral,FTM0,SIM->SCGC6,,,FTM0_IRQn,,,,,,,,,,,,
Peripheral,FTM1,SIM->SCGC6,,,FTM1_IRQn,,,,,,,,,,,,
Peripheral,FTM2,SIM->SCGC6,,,FTM2_IRQn,,,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,,ADC0_IRQn,,,,,,,,,,,,
Peripheral,RTC,SIM->SCGC6,,,RTC_Alarm_IRQn,RTC_Seconds_IRQn,,,,,,,,,,,
Peripheral,DAC0,SIM->SCGC6,,,DAC0_IRQn,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
