Pin,VREFH,VREFH,p6,p4,p4,p3,VREFH,,,,,6,,,,,,,,,
Pin,VREFL,VREFL,p7,p5,p5,p4,VREFL,,,,,7,,,,,,,,,
Pin,VSS,VSS,p8,p6,p6,p4,VSS,,,,,8,,,,,,,,,
Pin,PTA3,EXTAL0,p9,p7,p7,p5,EXTAL0/EXTAL32,EXTAL0/EXTAL32,PTA3,I2C0_SCL,I2C0_SDA,9,,,,,,,,,
Pin,PTA4/LLWU_P0,XTAL0,p10,p8,p8,p6,XTAL0/XTAL32,XTAL0/XTAL32,PTA4/LLWU_P0,I2C0_SDA,I2C0_SCL,10,,,,,,,,,
Pin,VSS,*,p11,*,*,*,VSS,,,,,11,,,,,,,,,
Pin,PTB18,*,p12,*,*,*,DISABLED,DISABLED,PTB18,,,12,,,,,,,,,
Pin,PTB19,*,p13,*,*,*,DISABLED,DISABLED,PTB19,,,13,,,,,,,,,
Pin,PTA5/LLWU_P1/RTC_CLKIN,D10,p14,p9,p9,p7,DISABLED,DISABLED,PTA5/LLWU_P1/RTC_CLKIN,TPM0_CH5,SPI0_PCS,14,,,,,,,,,
Pin,PTA6/LLWU_P2,D12,p15,p10,p10,p8,DISABLED,DISABLED,PTA6/LLWU_P2,TPM0_CH4,SPI0_MISO,15,,,,,,,,,
Pin,PTB8,A0/RGB_Red,p16,p11,p11,*,ADC0_SE11,ADC0_SE11,PTB8,TPM0_CH3,,16,,,,,,,,,
Pin,PTB9,A1/RGB_Green,p17,p12,p12,*,ADC0_SE10,ADC0_SE10,PTB9,TPM0_CH2,,17,,,,,,,,,
Pin,PTA16,*,p18,*,*,*,DISABLED,DISABLED,PTA16,,,18,,,,,,,,,
Pin,PTA17,*,p19,*,*,*,DISABLED,DISABLED,PTA17,,,19,,,,,,,,,
Pin,PTA18,*,p20,*,*,*,DISABLED,DISABLED,PTA18,,,20,,,,,,,,,
Pin,PTB10,D8/RGB_Blue,p21,p13,p13,p9,ADC0_SE9/TSI0_CH7,ADC0_SE9/TSI0_CH7,PTB10,TPM0_CH1,,21,,,,,,,,,
Pin,PTB11,D9,p22,p14,p14,p10,ADC0_SE8/TSI0_CH6,ADC0_SE8/TSI0_CH6,PTB11,TPM0_CH0,,22,,,,,,,,,
Pin,PTA7/LLWU_P3,D11,p23,p15,p15,p11,ADC0_SE7/TSI0_CH5,ADC0_SE7/TSI0_CH5,PTA7/LLWU_P3,SPI0_MISO,SPI0_MOSI,23,,,,,,,,,
Pin,PTB0/LLWU_P4,D13,p24,p16,p16,p12,ADC0_SE6/TSI0_CH4,ADC0_SE6/TSI0_CH4,PTB0/LLWU_P4,EXTRG_IN,SPI0_SCK,24,,,,,,,,,
Pin,PTB1,D1/ConsoleTx,p25,p17,p17,p13,ADC0_SE5/TSI0_CH3/DAC0_OUT/CMP0_IN3,ADC0_SE5/TSI0_CH3/DAC0_OUT/CMP0_IN3,PTB1,UART0_TX,UART0_RX,25,,,,,,,,,
Pin,PTB2/LLWU_P5,D0/ConsoleRx,p26,p18,p18,p14,ADC0_SE4/TSI0_CH2,ADC0_SE4/TSI0_CH2,PTB2/LLWU_P5,UART0_RX,UART0_TX,26,,,,,,,,,
Pin,PTA8,A2,p27,p19,p19,p15,ADC0_SE3/TSI0_CH1,ADC0_SE3/TSI0_CH1,PTA8,,,27,,,,,,,,,
Pin,PTA9,A4,p28,p20,p20,p16,ADC0_SE2/TSI0_CH0,ADC0_SE2/TSI0_CH0,PTA9,,,28,,,,,,,,,
Pin,PTB20,*,p29,*,*,*,DISABLED,DISABLED,PTB20,,,29,,,,,,,,,
Pin,VSS,*,p30,*,*,*,VSS,,,,,30,,,,,,,,,
Pin,VDD,*,p31,*,*,*,VDD,,,,,31,,,,,,,,,
Pin,PTB14,*,p32,*,*,*,DISABLED,DISABLED,PTB14,EXTRG_IN,,32,,,,,,,,,
Pin,PTA10,D4,p33,p21,p21,*,DISABLED,TSI0_CH11,PTA10,,,33,,,,,,,,,
Pin,PTA11,D2,p34,p22,p22,*,DISABLED,TSI0_CH10,PTA11,,,34,,,,,,,,,
Pin,PTB3,D15/I2C_SCL,p35,p23,p23,p17,DISABLED,DISABLED,PTB3,I2C0_SCL,UART0_TX,35,,,,,,,,,
Pin,PTB4/LLWU_P6,D14/I2C_SDA,p36,p24,p24,p18,DISABLED,DISABLED,PTB4/LLWU_P6,I2C0_SDA,UART0_RX,36,,,,,,,,,
Pin,PTB5,D3,p37,p25,p25,p19,NMI_b,ADC0_SE1/CMP0_IN1,PTB5,TPM1_CH1,NMI_b,37,,,,,,,,,
Pin,PTA12/LPTMR0_ALT2,D5,p38,p26,p26,p20,ADC0_SE0/CMP0_IN0,ADC0_SE0/CMP0_IN0,PTA12/LPTMR0_ALT2,TPM1_CH0,TPM_CLKIN0,38,,,,,,,,,
Pin,PTA13,Touch1,p39,p27,p27,*,TSI0_CH9,TSI0_CH9,PTA13,,,39,,,,,,,,,
Pin,PTB12,Touch0,p40,p28,p28,*,TSI0_CH8,TSI0_CH8,PTB12,,,40,,,,,,,,,
Pin,PTA19,*,p41,*,*,*,DISABLED,DISABLED,PTA19,,SPI0_PCS,41,,,,,,,,,
Pin,PTB15,*,p42,*,*,*,DISABLED,DISABLED,PTB15,SPI0_MOSI,SPI0_MISO,42,,,,,,,,,
Pin,PTB16,*,p43,*,*,*,DISABLED,DISABLED,PTB16,SPI0_MISO,SPI0_MOSI,43,,,,,,,,,
Pin,PTB17,*,p44,*,*,*,DISABLED,DISABLED,PTB17,TPM_CLKIN1,SPI0_SCK,44,,,,,,,,,
Pin,PTB13,A5,p45,p29,p29,p21,ADC0_SE13,ADC0_SE13,PTB13,TPM1_CH1,RTC_CLKOUT,45,,,,,,,,,
Pin,PTA0/LLWU_P7,SWD_CLK/A3,p46,p30,p30,p22,SWD_CLK,ADC0_SE12/CMP0_IN2,PTA0/LLWU_P7,TPM1_CH0,SWD_CLK,46,,,,,,,,,
Pin,PTA1/LPTMR0_ALT1,RESET_b,p47,p31,p31,p23,RESET_b,DISABLED,PTA1/LPTMR0_ALT1,TPM_CLKIN0,RESET_b,47,,,,,,,,,
Pin,PTA2,SWD_DIO,p48,p32,p32,p24,SWD_DIO,DISABLED,PTA2,CMP0_OUT,SWD_DIO,48,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),,,,,,,,,,,,,,,,,,
Peripheral,MCG,,,,,,,,,,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,,,,,,,,,,,,,,,,,,
Peripheral,UART0,SIM->SCGC4,,,,,,,,,,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,,,,,,,,,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,,,,,,,,,,,,,,,,,,,
Peripheral,TSI0,SIM->SCGC5,,,,,,,,,,,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,,,,,,,,,,,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Peripheral,FTFA,SIM->SCGC6,SIM_SCGC6_FTF_MASK,,,,,,,,,,,,,,,,,,
Peripheral,DMAMUX0,SIM->SCGC6,,,,,,,,,,,,,,,,,,,
Peripheral,PIT,SIM->SCGC6,,,,,,,,,,,,,,,,,,,
Peripheral,TPM0,SIM->SCGC6,,,,,,,,,,,,,,,,,,,
Peripheral,TPM1,SIM->SCGC6,,,,,,,,,,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,,,,,,,,,,,,,,,,,,
Peripheral,RTC,SIM->SCGC6,,,,,,,,,,,,,,,,,,,
Peripheral,DAC0,SIM->SCGC6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Peripheral,DMA0,SIM->SCGC7,,,,,,,,,,,,,,,,,,,
Peripheral,SMC,,,,,,,,,,,,,,,,,,,,
Peripheral,SIM,,,,,,,,,,,,,,,,,,,,
Peripheral,CONSOLE,,,,,,,,,,,,,,,,,,,,
Peripheral,LLWU,,,,,,,,,,,,,,,,,,,,
Peripheral,PMC,,,,,,,,,,,,,,,,,,,,
Peripheral,RCM,,,,,,,,,,,,,,,,,,,,
Peripheral,MCM,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Key,Name,Value,,,,,,,,,,,,,,,,,,
Param,/FTFA/pflash_sector_size,Program flash sector size,1024,,,,,,,,,,,,,,,,,,
Param,/FTFA/pflash_phrase_size,Program flash phrase size,4,,,,,,,,,,,,,,,,,,
