ID,Names,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
Pin,PTB3,ADC0_SE13,PTB3,I2C0_SDA,UART0_CTS_b/UART0_COL_b,ENET0_1588_TMR1,,FTM0_FLT0,,
Pin,PTB4,ADC1_SE10,PTB4,,,ENET0_1588_TMR2,,FTM1_FLT0,,
Pin,PTB5,ADC1_SE11,PTB5,,,ENET0_1588_TMR3,,FTM2_FLT0,,
Pin,PTB6,ADC1_SE12,PTB6,,,,FB_AD23,,,
Pin,PTB7,ADC1_SE13,PTB7,,,,FB_AD22,,,
Pin,PTB8,,PTB8,,UART3_RTS_b,,FB_AD21,,,
Pin,PTB9,,PTB9,SPI1_PCS1,UART3_CTS_b,,FB_AD20,,,
Pin,PTC0,ADC0_SE14,PTC0,SPI0_PCS4,PDB0_EXTRG,USB_SOF_OUT,FB_AD14,I2S0_TXD1,,
Pin,PTC1,ADC0_SE15,PTC1/LLWU_P6,SPI0_PCS3,UART1_RTS_b,FTM0_CH0,FB_AD13,I2S0_TXD0,,
Pin,PTC10,ADC1_SE6b,PTC10,I2C1_SCL,FTM3_CH6,I2S0_RX_FS,FB_AD5,,,
Pin,PTC11,ADC1_SE7b,PTC11/LLWU_P11,I2C1_SDA,FTM3_CH7,I2S0_RXD1,FB_RW_b,,,
Pin,PTC12,,PTC12,,UART4_RTS_b,,FB_AD27,FTM3_FLT0,,
Pin,PTC13,,PTC13,,UART4_CTS_b,,FB_AD26,,,
Pin,PTC14,,PTC14,,UART4_RX,,FB_AD25,,,
Pin,PTC15,,PTC15,,UART4_TX,,FB_AD24,,,
Pin,PTC16,,PTC16,,UART3_RX,ENET0_1588_TMR0,FB_CS5_b/FB_TSIZ1/FB_BE23_16_BLS15_8_b,,,
Pin,PTC17,,PTC17,,UART3_TX,ENET0_1588_TMR1,FB_CS4_b/FB_TSIZ0/FB_BE31_24_BLS7_0_b,,,
Pin,PTC18,,PTC18,,UART3_RTS_b,ENET0_1588_TMR2,FB_TBST_b/FB_CS2_b/FB_BE15_8_BLS23_16_b,,,
Pin,PTC19,,PTC19,,UART3_CTS_b,ENET0_1588_TMR3,FB_CS3_b/FB_BE7_0_BLS31_24_b,FB_TA_b,,
Pin,PTC2,ADC0_SE4b/CMP1_IN0,PTC2,SPI0_PCS2,UART1_CTS_b,FTM0_CH1,FB_AD12,I2S0_TX_FS,,
Pin,PTC3,CMP1_IN1,PTC3/LLWU_P7,SPI0_PCS1,UART1_RX,FTM0_CH2,CLKOUT,I2S0_TX_BCLK,,
Pin,PTC4,,PTC4/LLWU_P8,SPI0_PCS0,UART1_TX,FTM0_CH3,FB_AD11,CMP1_OUT,,
Pin,PTC5,,PTC5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,FB_AD10,CMP0_OUT,FTM0_CH2,
Pin,PTC6,CMP0_IN0,PTC6/LLWU_P10,SPI0_SOUT,PDB0_EXTRG,I2S0_RX_BCLK,FB_AD9,I2S0_MCLK,,
Pin,PTC7,CMP0_IN1,PTC7,SPI0_SIN,USB_SOF_OUT,I2S0_RX_FS,FB_AD8,,,
Pin,PTC8,ADC1_SE4b/CMP0_IN2,PTC8,,FTM3_CH4,I2S0_MCLK,FB_AD7,,,
Pin,PTC9,ADC1_SE5b/CMP0_IN3,PTC9,,FTM3_CH5,I2S0_RX_BCLK,FB_AD6,FTM2_FLT0,,
Pin,PTD0,,PTD0/LLWU_P12,SPI0_PCS0,UART2_RTS_b,FTM3_CH0,FB_ALE/FB_CS1_b/FB_TS_b,,,
Pin,PTD1,ADC0_SE5b,PTD1,SPI0_SCK,UART2_CTS_b,FTM3_CH1,FB_CS0_b,,,
Pin,PTD10,,PTD10,,UART5_RTS_b,,,FB_A18,,
Pin,PTD11,,PTD11,SPI2_PCS0,UART5_CTS_b,SDHC0_CLKIN,,FB_A19,,
Pin,PTD12,,PTD12,SPI2_SCK,FTM3_FLT0,SDHC0_D4,,FB_A20,,
Pin,PTD13,,PTD13,SPI2_SOUT,,SDHC0_D5,,FB_A21,,
Pin,PTD14,,PTD14,SPI2_SIN,,SDHC0_D6,,FB_A22,,
Pin,PTD15,,PTD15,SPI2_PCS1,,SDHC0_D7,,FB_A23,,
Pin,PTD2,,PTD2/LLWU_P13,SPI0_SOUT,UART2_RX,FTM3_CH2,FB_AD4,,I2C0_SCL,
Pin,PTD3,,PTD3,SPI0_SIN,UART2_TX,FTM3_CH3,FB_AD3,,I2C0_SDA,
Pin,PTD4,,PTD4/LLWU_P14,SPI0_PCS1,UART0_RTS_b,FTM0_CH4,FB_AD2,EWM_IN,SPI1_PCS0,
Pin,PTD5,ADC0_SE6b,PTD5,SPI0_PCS2,UART0_CTS_b/UART0_COL_b,FTM0_CH5,FB_AD1,EWM_OUT_b,SPI1_SCK,
Pin,PTD6,ADC0_SE7b,PTD6/LLWU_P15,SPI0_PCS3,UART0_RX,FTM0_CH6,FB_AD0,FTM0_FLT0,SPI1_SOUT,
Pin,PTD7,,PTD7,CMT_IRO,UART0_TX,FTM0_CH7,,FTM0_FLT1,SPI1_SIN,
Pin,PTD8,,PTD8,I2C0_SCL,UART5_RX,,,FB_A16,,
Pin,PTD9,,PTD9,I2C0_SDA,UART5_TX,,,FB_A17,,
Pin,PTE0,ADC1_SE4a,PTE0,SPI1_PCS1,UART1_TX,SDHC0_D1,TRACE_CLKOUT,I2C1_SDA,RTC_CLKOUT,
Pin,PTE1,ADC1_SE5a,PTE1/LLWU_P0,SPI1_SOUT,UART1_RX,SDHC0_D0,TRACE_D3,I2C1_SCL,SPI1_SIN,
Pin,PTE10,,PTE10,,UART5_CTS_b,I2S0_TXD0,,FTM3_CH5,,
Pin,PTE11,,PTE11,,UART5_RTS_b,I2S0_TX_FS,,FTM3_CH6,,
Pin,PTE12,,PTE12,,,I2S0_TX_BCLK,,FTM3_CH7,,
Pin,PTE2,ADC0_DP2/ADC1_SE6a,PTE2/LLWU_P1,SPI1_SCK,UART1_CTS_b,SDHC0_DCLK,TRACE_D2,,,
Pin,PTE24,ADC0_SE17,PTE24,,UART4_TX,,I2C0_SCL,EWM_OUT_b,,
Pin,PTE25,ADC0_SE18,PTE25,,UART4_RX,,I2C0_SDA,EWM_IN,,
Pin,PTE26,,PTE26,ENET_1588_CLKIN,UART4_CTS_b,,,RTC_CLKOUT,USB_CLKIN,
Pin,PTE27,,PTE27,,UART4_RTS_b,,,,,
Pin,PTE28,,PTE28,,,,,,,
Pin,PTE3,ADC0_DM2/ADC1_SE7a,PTE3,SPI1_SIN,UART1_RTS_b,SDHC0_CMD,TRACE_D1,,SPI1_SOUT,
Pin,PTE4,,PTE4/LLWU_P2,SPI1_PCS0,UART3_TX,SDHC0_D3,TRACE_D0,,,
Pin,PTE5,,PTE5,SPI1_PCS2,UART3_RX,SDHC0_D2,,FTM3_CH0,,
Pin,PTE6,,PTE6,SPI1_PCS3,UART3_CTS_b,I2S0_MCLK,,FTM3_CH1,USB_SOF_OUT,
Pin,PTE7,,PTE7,,UART3_RTS_b,I2S0_RXD0,,FTM3_CH2,,
Pin,PTE8,,PTE8,I2S0_RXD1,UART5_TX,I2S0_RX_FS,,FTM3_CH3,,
Pin,PTE9,,PTE9,I2S0_TXD1,UART5_RX,I2S0_RX_BCLK,,FTM3_CH4,,
,,,,,,,,,,
Default,FTM0_0,PTC1,"[Disabled, PTA3, PTC1]",,,,,,,
Default,FTM0_1,PTC2,"[Disabled, PTA4, PTC2]",,,,,,,
Default,FTM0_2,PTC3,"[Disabled, PTA5, PTC3, PTC5]",,,,,,,
Default,FTM0_3,PTC4,"[Disabled, PTA6, PTC4]",,,,,,,
Default,FTM0_4,PTA7,"[Disabled, PTA7, PTB12, PTD4]",,,,,,,
Default,FTM0_5,PTA0,"[Disabled, PTA0, PTB13, PTD5]",,,,,,,
Default,FTM0_6,PTA1,"[Disabled, PTA1, PTD6]",,,,,,,
Default,FTM0_7,PTA2,"[Disabled, PTA2, PTD7]",,,,,,,
Default,FTM1_0,PTA8,"[Disabled, PTA8, PTA12, PTB0, PTB12]",,,,,,,
Default,FTM1_1,PTA9,"[Disabled, PTA9, PTA13, PTB1, PTB13]",,,,,,,
Default,FTM2_0,PTA10,"[Disabled, PTA10, PTB18]",,,,,,,
Default,FTM2_1,PTA11,"[Disabled, PTA11, PTB19]",,,,,,,
Default,FTM3_0,PTD0,"[Disabled, PTD0, PTE5]",,,,,,,
Default,FTM3_1,PTD1,"[Disabled, PTD1, PTE6]",,,,,,,
Default,FTM3_2,PTD2,"[Disabled, PTD2, PTE7]",,,,,,,
Default,FTM3_3,PTD3,"[Disabled, PTD3, PTE8]",,,,,,,
Default,FTM3_4,PTC8,"[Disabled, PTC8, PTE9]",,,,,,,
Default,FTM3_5,PTC9,"[Disabled, PTC9, PTE10]",,,,,,,
Default,FTM3_6,PTC10,"[Disabled, PTC10, PTE11]",,,,,,,
Default,FTM3_7,PTC11,"[Disabled, PTC11, PTE12]",,,,,,,
Default,I2C0_SCL,PTE24,"[Disabled, PTB0, PTB2, PTD2, PTD8, PTE24]",,,,,,,
Default,I2C0_SDA,PTE25,"[Disabled, PTB1, PTB3, PTD3, PTD9, PTE25]",,,,,,,
Default,I2C1_SCL,PTC10,"[Disabled, PTC10, PTE1]",,,,,,,
Default,I2C1_SDA,PTC11,"[Disabled, PTC11, PTE0]",,,,,,,
Default,I2C2_SCL,PTA12,"[Disabled, PTA12, PTA14]",,,,,,,
Default,I2C2_SDA,PTA11,"[Disabled, PTA11, PTA13]",,,,,,,
Default,SPI0_PCS0,Disabled,"[Disabled, PTA14, PTC4, PTD0]",,,,,,,
Default,SPI0_PCS1,Disabled,"[Disabled, PTC3, PTD4]",,,,,,,
Default,SPI0_PCS2,Disabled,"[Disabled, PTC2, PTD5]",,,,,,,
Default,SPI0_PCS3,Disabled,"[Disabled, PTC1, PTD6]",,,,,,,
Default,SPI0_PCS4,Disabled,"[Disabled, PTC0]",,,,,,,
Default,SPI0_PCS5,Disabled,"[Disabled, PTB23]",,,,,,,
Default,SPI0_SCK,PTD1,"[Disabled, PTA15, PTC5, PTD1]",,,,,,,
Default,SPI0_SIN,PTD3,"[Disabled, PTA17, PTC7, PTD3]",,,,,,,
Default,SPI0_SOUT,PTD2,"[Disabled, PTA16, PTC6, PTD2]",,,,,,,
Default,SPI1_PCS0,PTD4,"[Disabled, PTB10, PTD4, PTE4]",,,,,,,
Default,SPI1_PCS1,Disabled,"[Disabled, PTB9, PTE0]",,,,,,,
Default,SPI1_PCS2,Disabled,"[Disabled, PTE5]",,,,,,,
Default,SPI1_PCS3,Disabled,"[Disabled, PTE6]",,,,,,,
Default,SPI1_SCK,PTD5,"[Disabled, PTB11, PTD5, PTE2]",,,,,,,
Default,SPI1_SIN,PTD7,"[Disabled, PTB17, PTD7, PTE1, PTE3]",,,,,,,
Default,SPI1_SOUT,PTD6,"[Disabled, PTB16, PTD6, PTE1, PTE3]",,,,,,,
Default,SPI2_PCS0,Disabled,"[Disabled, PTB20, PTD11]",,,,,,,
Default,SPI2_PCS1,Disabled,"[Disabled, PTD15]",,,,,,,
Default,SPI2_SCK,PTB21,"[Disabled, PTB21, PTD12]",,,,,,,
Default,SPI2_SIN,PTB23,"[Disabled, PTB23, PTD14]",,,,,,,
Default,SPI2_SOUT,PTB22,"[Disabled, PTB22, PTD13]",,,,,,,
,,,,,,,,,,
Alias,A0,PTB2,,,,,,,,
Alias,A1,PTB3,,,,,,,,
Alias,A2,PTB10,,,,,,,,
Alias,A3,PTB11,,,,,,,,
Alias,A4,PTC11,,,,,,,,
Alias,A5,PTC10,,,,,,,,
Alias,D0,PTC16,,,,,,,,
Alias,D1,PTC17,,,,,,,,
Alias,D10,PTD0,,,,,,,,
Alias,D11,PTD2,,,,,,,,
Alias,D12,PTD3,,,,,,,,
Alias,D13,PTD1,,,,,,,,
Alias,D14,PTE25,,,,,,,,
Alias,D15,PTE24,,,,,,,,
Alias,D2,PTB9,,,,,,,,
Alias,D3,PTA1,,,,,,,,
Alias,D4,PTB23,,,,,,,,
Alias,D5,PTA2,,,,,,,,
Alias,D6,PTC2,,,,,,,,
Alias,D7,PTC3,,,,,,,,
Alias,D8,PTA0,,,,,,,,
Alias,D9,PTC4,,,,,,,,
,,,,,,,,,,
Alias,nRF24L01_cs,PTD4,,,,,,,,
Alias,nRF24L01_sck,PTD5,,,,,,,,
Alias,nRF24L01_miso,PTD7,,,,,,,,
Alias,nRF24L01_mosi,PTD6,,,,,,,,
,,,,,,,,,,
ClockInfo,ADC0,SIM->SCGC6,,,,,,,,
ClockInfo,ADC1,SIM->SCGC3,,,,,,,,
ClockInfo,SDHC0,SIM->SCGC3,,,,,,,,
ClockInfo,I2C0,SIM->SCGC4,,,,,,,,
ClockInfo,I2C1,SIM->SCGC4,,,,,,,,
ClockInfo,I2C2,SIM->SCGC1,,,,,,,,
ClockInfo,SPI0,SIM->SCGC6,,,,,,,,
ClockInfo,SPI1,SIM->SCGC6,,,,,,,,
ClockInfo,SPI2,SIM->SCGC3,,,,,,,,
ClockInfo,FTM0,SIM->SCGC6,,,,,,,,
ClockInfo,FTM1,SIM->SCGC6,,,,,,,,
ClockInfo,FTM2,SIM->SCGC3,,,,,,,,
ClockInfo,FTM3,SIM->SCGC3,,,,,,,,
