ID,Names,Aliases,RESET_b,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,Seq,"32
QFN","48
QFN","64
BGA","64
LQFP"
Pin,PTC2,,ADC0_SE11,,ADC0_SE11,GPIOC_2,I2C1_SDA,,TPM0_CH1,,I2S0_TX_FS,,55,23,35,B7,45
Pin,PTC3,,DISABLED,,,GPIOC_3/LLWU_P7,SPI1_SCK,LPUART1_RX,TPM0_CH2,CLKOUT,I2S0_TX_BCLK,,56,24,36,C8,46
Pin,PTC4,,DISABLED,,,GPIOC_4/LLWU_P8,SPI0_SS,LPUART1_TX,TPM0_CH3,I2S0_MCLK,,,57,25,37,B8,49
Pin,PTC5,,DISABLED,,,GPIOC_5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,,CMP0_OUT,,58,26,38,A8,50
Pin,PTC6,,CMP0_IN0,,CMP0_IN0,GPIOC_6/LLWU_P10,SPI0_MOSI,EXTRG_IN,I2S0_RX_BCLK,SPI0_MISO,I2S0_MCLK,,59,27,39,A7,51
Pin,PTC7,,CMP0_IN1,,CMP0_IN1,GPIOC_7,SPI0_MISO,audioUSB_SOF_OUT,I2S0_RX_FS,SPI0_MOSI,,,60,28,40,B6,52
Pin,PTD4,,DISABLED,,,GPIOD_4/LLWU_P14,SPI1_SS,UART2_RX,TPM0_CH4,,FXIO0_D4,,61,29,45,A3,61
Pin,PTD5,,ADC0_SE6b,,ADC0_SE6b,GPIOD_5,SPI1_SCK,UART2_TX,TPM0_CH5,,FXIO0_D5,,62,30,46,C1,62
Pin,PTD6,,ADC0_SE7b,,ADC0_SE7b,GPIOD_6/LLWU_P15,SPI1_MOSI,LPUART0_RX,,SPI1_MISO,FXIO0_D6,,63,31,47,B2,63
Pin,PTD7,,DISABLED,,,GPIOD_7,SPI1_MISO,LPUART0_TX,,SPI1_MOSI,FXIO0_D7,,64,32,48,A2,64
,,,,,,,,,,,,,,,,,
ClockInfo,I2C0,SIM->SCGC4,,,,,,,,,,,,,,,
ClockInfo,I2C1,SIM->SCGC4,,,,,,,,,,,,,,,
ClockInfo,UART2,SIM->SCGC4,,,,,,,,,,,,,,,
ClockInfo,USB,SIM->SCGC4,,,,,,,,,,,,,,,
ClockInfo,CMP0,SIM->SCGC4,,,,,,,,,,,,,,,
ClockInfo,VREF,SIM->SCGC4,,,,,,,,,,,,,,,
ClockInfo,SPI0,SIM->SCGC4,,,,,,,,,,,,,,,
ClockInfo,SPI1,SIM->SCGC4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ClockInfo,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ClockInfo,PORTA,SIM->SCGC5,,,,,,,,,,,,,,,
ClockInfo,PORTB,SIM->SCGC5,,,,,,,,,,,,,,,
ClockInfo,PORTC,SIM->SCGC5,,,,,,,,,,,,,,,
ClockInfo,PORTD,SIM->SCGC5,,,,,,,,,,,,,,,
ClockInfo,PORTE,SIM->SCGC5,,,,,,,,,,,,,,,
ClockInfo,LPUART0,SIM->SCGC5,,,,,,,,,,,,,,,
ClockInfo,LPUART1,SIM->SCGC5,,,,,,,,,,,,,,,
ClockInfo,FLEXIO,SIM->SCGC5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ClockInfo,FTF,SIM->SCGC6,,,,,,,,,,,,,,,
ClockInfo,DMAMUX,SIM->SCGC6,,,,,,,,,,,,,,,
ClockInfo,I2S0,SIM->SCGC6,,,,,,,,,,,,,,,
ClockInfo,PIT,SIM->SCGC6,,,,,,,,,,,,,,,
ClockInfo,TPM0,SIM->SCGC6,,,,,,,,,,,,,,,
ClockInfo,TPM1,SIM->SCGC6,,,,,,,,,,,,,,,
ClockInfo,TPM2,SIM->SCGC6,,,,,,,,,,,,,,,
ClockInfo,ADC0,SIM->SCGC6,,,,,,,,,,,,,,,
ClockInfo,RTC,SIM->SCGC6,,,,,,,,,,,,,,,
ClockInfo,DAC0,SIM->SCGC6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ClockInfo,DMA,SIM->SCGC7,,,,,,,,,,,,,,,
