ID,Names,Aliases,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,Seq,"64
LQFP","36
GA","32
QFN","48
QFN","64
BGA"
Pin,PTA1,D0,DISABLED,TPM2_CH0,,GPIOA_1,LPUART0_RX,TPM2_CH0,,,,,27,23,F4,11,18,D4
Pin,PTA2,D1,DISABLED,TPM2_CH1,,GPIOA_2,LPUART0_TX,TPM2_CH1,,,,,28,24,E4,12,19,E5
Pin,PTA3,,SWD_DIO,,,GPIOA_3,I2C1_SCL,TPM0_CH0,,,,SWD_DIO,29,25,E5,13,20,D5
Pin,PTA4,,NMI_b,,,GPIOA_4,I2C1_SDA,TPM0_CH1,,,,NMI_b,30,26,F5,14,21,G5
Pin,PTA5,D9,DISABLED,TPM0_CH2,,GPIOA_5,USB_CLKIN,TPM0_CH2,,,,,31,27,-,-,-,F5
Pin,PTA12,D2,DISABLED,TPM1_CH0,,GPIOA_12,,TPM1_CH0,,,,,32,28,-,-,-,H6
Pin,PTA13,D4/LED_BLUE,DISABLED,TPM1_CH1,,GPIOA_13,,TPM1_CH1,,,,,33,29,-,-,-,G6
,VDD,,VDD,,,,,,,,,,34,30,C3,15,22,G7
,VSS,,VSS,,,,,,,,,,35,31,C4,16,23,H7
Pin,PTA18,,EXTAL0,,EXTAL0,GPIOA_18,,LPUART1_RX,TPM_CLKIN0,,,,36,32,F6,17,24,H8
Pin,PTA19,,XTAL0,,XTAL0,GPIOA_19,,LPUART1_TX,TPM_CLKIN1,,LPTMR0_ALT1,,37,33,E6,18,25,G8
Pin,PTA20,,RESET_b,,,GPIOA_20,,,,,,RESET_b,38,34,D5,19,26,F8
Pin,PTB0,A5,ADC0_SE8,ADC0_SE8,ADC0_SE8,GPIOB_0/LLWU_P5,I2C0_SCL,TPM1_CH0,SPI1_MOSI,SPI1_MISO,,,39,35,D6,20,27,F7
Pin,PTB1,A4,ADC0_SE9,ADC0_SE9,ADC0_SE9,GPIOB_1,I2C0_SDA,TPM1_CH1,SPI1_MISO,SPI1_MOSI,,,40,36,C6,21,28,F6
Pin,PTB2,,ADC0_SE12,,ADC0_SE12,GPIOB_2,I2C0_SCL,TPM2_CH0,,,,,41,37,-,-,29,E7
Pin,PTB3,,ADC0_SE13,,ADC0_SE13,GPIOB_3,I2C0_SDA,TPM2_CH1,,,,,42,38,-,-,30,E8
Pin,PTB16,,DISABLED,,,GPIOB_16,SPI1_MOSI,LPUART0_RX,TPM_CLKIN0,SPI1_MISO,,,43,39,-,-,31,E6
Pin,PTB17,,DISABLED,,,GPIOB_17,SPI1_MISO,LPUART0_TX,TPM_CLKIN1,SPI1_MOSI,,,44,40,-,-,32,D7
Pin,PTB18,LED_RED,DISABLED,,,GPIOB_18,,TPM2_CH0,,,,,45,41,-,-,-,D6
Pin,PTB19,LED_GREEN,DISABLED,,,GPIOB_19,,TPM2_CH1,,,,,46,42,-,-,-,C7
Pin,PTC0,A1,ADC0_SE14,ADC0_SE14,ADC0_SE14,GPIOC_0,,EXTRG_IN,audioUSB_SOF_OUT,CMP0_OUT,,,47,43,-,-,33,D8
Pin,PTC1,,ADC0_SE15,,ADC0_SE15,GPIOC_1/LLWU_P6/RTC_CLKIN,I2C1_SCL,,TPM0_CH0,,,,48,44,C5,22,34,C6
Pin,PTC2,MAG_INT,ADC0_SE11,,ADC0_SE11,GPIOC_2,I2C1_SDA,,TPM0_CH1,,,,49,45,B6,23,35,B7
Pin,PTC3,,DISABLED,,,GPIOC_3/LLWU_P7,SPI1_SCK,LPUART1_RX,TPM0_CH2,CLKOUT,,,50,46,B5,24,36,C8
,VSS,,VSS,,,,,,,,,,51,47,-,-,-,E3
,VDD,,VDD,,,,,,,,,,52,48,-,-,-,E4
Pin,PTC4,D10,DISABLED,GPIOC_4/LLWU_P8,,GPIOC_4/LLWU_P8,SPI0_PCS0,LPUART1_TX,TPM0_CH3,SPI1_PCS0,,,53,49,A6,25,37,B8
Pin,PTC5,D13,DISABLED,GPIOC_5/LLWU_P9,,GPIOC_5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,,,CMP0_OUT,,54,50,A5,26,38,A8
Pin,PTC6,D11,CMP0_IN0,GPIOC_6/LLWU_P10,CMP0_IN0,GPIOC_6/LLWU_P10,SPI0_MOSI,EXTRG_IN,,SPI0_MISO,,,55,51,B4,27,39,A7
Pin,PTC7,D12,CMP0_IN1,GPIOC_7,CMP0_IN1,GPIOC_7,SPI0_MISO,audioUSB_SOF_OUT,,SPI0_MOSI,,,56,52,A4,28,40,B6
Pin,PTC8,D7,CMP0_IN2,GPIOC_8,CMP0_IN2,GPIOC_8,I2C0_SCL,TPM0_CH4,,,,,57,53,-,-,-,A6
Pin,PTC9,D6,CMP0_IN3,GPIOC_9,CMP0_IN3,GPIOC_9,I2C0_SDA,TPM0_CH5,,,,,58,54,-,-,-,B5
Pin,PTC10,,DISABLED,,,GPIOC_10,I2C1_SCL,,,,,,59,55,-,-,-,B4
Pin,PTC11,,DISABLED,,,GPIOC_11,I2C1_SDA,,,,,,60,56,-,-,-,A5
Pin,PTD0,,DISABLED,,,GPIOD_0,SPI0_PCS0,,TPM0_CH0,,FXIO0_D0,,61,57,-,-,41,C3
Pin,PTD1,,ADC0_SE5b,,ADC0_SE5b,GPIOD_1,SPI0_SCK,,TPM0_CH1,,FXIO0_D1,,62,58,-,-,42,A4
Pin,PTD2,,DISABLED,,,GPIOD_2,SPI0_MOSI,UART2_RX,TPM0_CH2,SPI0_MISO,FXIO0_D2,,63,59,-,-,43,C2
Pin,PTD3,,DISABLED,,,GPIOD_3,SPI0_MISO,UART2_TX,TPM0_CH3,SPI0_MOSI,FXIO0_D3,,64,60,-,-,44,B3
Pin,PTD4,,DISABLED,,,GPIOD_4/LLWU_P14,SPI1_PCS0,UART2_RX,TPM0_CH4,,FXIO0_D4,,65,61,A3,29,45,A3
Pin,PTD5,,ADC0_SE6b,,ADC0_SE6b,GPIOD_5,SPI1_SCK,UART2_TX,TPM0_CH5,,FXIO0_D5,,66,62,B3,30,46,C1
Pin,PTD6,D14/ONBOARD_SDA,ADC0_SE7b,I2C1_SDA,ADC0_SE7b,GPIOD_6/LLWU_P15,SPI1_MOSI,LPUART0_RX,I2C1_SDA,SPI1_MISO,FXIO0_D6,,67,63,B2,31,47,B2
Pin,PTD7,D15/ONBOARD_SCL,DISABLED,I2C1_SCL,,GPIOD_7,SPI1_MISO,LPUART0_TX,I2C1_SCL,SPI1_MOSI,FXIO0_D7,,68,64,A2,32,48,A2
,,,,,,,,,,,,,,,,,,
ClockInfo,I2C0,SIM->SCGC4,,,,,,,,,,,,,,,,
ClockInfo,I2C1,SIM->SCGC4,,,,,,,,,,,,,,,,
ClockInfo,UART2,SIM->SCGC4,,,,,,,,,,,,,,,,
ClockInfo,USB,SIM->SCGC4,,,,,,,,,,,,,,,,
ClockInfo,CMP0,SIM->SCGC4,,,,,,,,,,,,,,,,
ClockInfo,VREF,SIM->SCGC4,,,,,,,,,,,,,,,,
ClockInfo,SPI0,SIM->SCGC4,,,,,,,,,,,,,,,,
ClockInfo,SPI1,SIM->SCGC4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ClockInfo,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ClockInfo,PORTA,SIM->SCGC5,,,,,,,,,,,,,,,,
ClockInfo,PORTB,SIM->SCGC5,,,,,,,,,,,,,,,,
ClockInfo,PORTC,SIM->SCGC5,,,,,,,,,,,,,,,,
ClockInfo,PORTD,SIM->SCGC5,,,,,,,,,,,,,,,,
ClockInfo,PORTE,SIM->SCGC5,,,,,,,,,,,,,,,,
ClockInfo,LPUART0,SIM->SCGC5,,,,,,,,,,,,,,,,
ClockInfo,LPUART1,SIM->SCGC5,,,,,,,,,,,,,,,,
ClockInfo,FLEXIO,SIM->SCGC5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ClockInfo,FTF,SIM->SCGC6,,,,,,,,,,,,,,,,
ClockInfo,DMAMUX0,SIM->SCGC6,,,,,,,,,,,,,,,,
ClockInfo,CRC,SIM->SCGC6,,,,,,,,,,,,,,,,
ClockInfo,PIT,SIM->SCGC6,,,,,,,,,,,,,,,,
ClockInfo,TPM0,SIM->SCGC6,,,,,,,,,,,,,,,,
ClockInfo,TPM1,SIM->SCGC6,,,,,,,,,,,,,,,,
ClockInfo,TPM2,SIM->SCGC6,,,,,,,,,,,,,,,,
ClockInfo,ADC0,SIM->SCGC6,,,,,,,,,,,,,,,,
ClockInfo,RTC,SIM->SCGC6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ClockInfo,DMA,SIM->SCGC7,,,,,,,,,,,,,,,,
