Manual,K22P80M120SF5RM,K22P100M120SF5RM,K22P121M120SF5RM,K22P144M120SF5RM,,,,,,,,,,,,
Pin,PTA3,,JTAG_TMS/SWD_DIO,,,PTA3,UART0_RTS_b,FTM0_CH0,,,,JTAG_TMS/SWD_DIO,,43,H9,25
Pin,PTA4,,NMI_b/EZP_CS_b,PTA4/LLWU_P3,,PTA4/LLWU_P3,,FTM0_CH1,,,,NMI_b,EZP_CS_b,44,J8,26
Pin,PTA5,,Disabled,PTA5,,PTA5,USB_CLKIN,FTM0_CH2,,CMP2_OUT,I2S0_TX_BCLK,JTAG_TRST_b,,45,K7,27
,VDD,,,,VDD,,,,,,,,,46,E5,
,VSS,,,,VSS,,,,,,,,,47,G3,
Pin,PTA10,,,,,PTA10,,FTM2_CH0,,,FTM2_QD_PHA,TRACE_D0,,48,J9,
Pin,PTA11,,,,,PTA11,,FTM2_CH1,,I2C2_SDA,FTM2_QD_PHB,,,49,J4,
Pin,PTA12,,CMP2_IN0,PTA12,CMP2_IN0,PTA12,CAN0_TX,FTM1_CH0,,I2C2_SCL,I2S0_TXD0,FTM1_QD_PHA,,50,K8,28
Pin,PTA13,,CMP2_IN1,PTA13/LLWU_P4,CMP2_IN1,PTA13/LLWU_P4,CAN0_RX,FTM1_CH1,,I2C2_SDA,I2S0_TX_FS,FTM1_QD_PHB,,51,L8,29
Pin,PTA14,,,,,PTA14,SPI0_PCS0,UART0_TX,,I2C2_SCL,I2S0_RX_BCLK,I2S0_TXD1,,52,K9,
Pin,PTA15,,,,,PTA15,SPI0_SCK,UART0_RX,,,I2S0_RXD0,,,53,L9,
Pin,PTA16,,,,,PTA16,SPI0_SOUT,UART0_CTS_b/UART0_COL_b,,,I2S0_RX_FS,I2S0_RXD1,,54,J10,
Pin,PTA17,,,,ADC1_SE17,PTA17,SPI0_SIN,UART0_RTS_b,,,I2S0_MCLK,,,55,H10,
,VDD,,,,VDD,,,,,,,,,56,L10,30
,VSS,,,,VSS,,,,,,,,,57,K10,31
Pin,PTA18,,EXTAL0,,EXTAL0,PTA18,,FTM0_FLT2,FTM_CLKIN0,,,,,58,L11,32
Pin,PTA19,,XTAL0,,XTAL0,PTA19,,FTM1_FLT0,FTM_CLKIN1,,LPTMR0_ALT1,,,59,K11,33
Pin,RESET_b,,RESET_b,,RESET_b,,,,,,,,,60,J11,34
Pin,PTA29,,,,,PTA29,,,,,FB_A24,,,61,H11,
Pin,PTB0,,ADC0_SE8/ADC1_SE8,ADC0_SE8/ADC1_SE8,ADC0_SE8/ADC1_SE8,PTB0/LLWU_P5,I2C0_SCL,FTM1_CH0,,,FTM1_QD_PHA,,,62,G11,35
Pin,PTB1,,ADC0_SE9/ADC1_SE9,ADC0_SE9/ADC1_SE9,ADC0_SE9/ADC1_SE9,PTB1,I2C0_SDA,FTM1_CH1,,,FTM1_QD_PHB,,,63,G10,36
Pin,PTB2,,ADC0_SE12,PTB2,ADC0_SE12,PTB2,I2C0_SCL,UART0_RTS_b,,,FTM0_FLT3,,,64,G9,37
Pin,PTB3,,ADC0_SE13,PTB3,ADC0_SE13,PTB3,I2C0_SDA,UART0_CTS_b/UART0_COL_b,,,FTM0_FLT0,,,65,G8,38
Pin,PTB6,,DISABLED,,ADC1_SE12,PTB6,,,,FB_AD23,,,,66,F11,
Pin,PTB7,,DISABLED,,ADC1_SE13,PTB7,,,,FB_AD22,,,,67,E11,
Pin,PTB8,,DISABLED,,,PTB8,,UART3_RTS_b,,FB_AD21,,,,68,D11,
Pin,PTB9,,DISABLED,,,PTB9,SPI1_PCS1,UART3_CTS_b,,FB_AD20,,,,69,E10,
Pin,PTB10,,,,ADC1_SE14,PTB10,SPI1_PCS0,UART3_RX,,FB_AD19,FTM0_FLT1,,,70,D10,
Pin,PTB11,,,,ADC1_SE15,PTB11,SPI1_SCK,UART3_TX,,FB_AD18,FTM0_FLT2,,,71,C10,
Pin,PTB12,,,,,PTB12,UART3_RTS_b,FTM1_CH0,FTM0_CH4,,FTM1_QD_PHA,,,72,B11,
Pin,PTB13,,,,,PTB13,UART3_CTS_b,FTM1_CH1,FTM0_CH5,,FTM1_QD_PHB,,,73,C11,
Pin,PTB16,,,UART0_RX,,PTB16,SPI1_SOUT,UART0_RX,FTM_CLKIN0,FB_AD17,EWM_IN,,,74,B10,39
Pin,PTB17,,,UART0_TX,,PTB17,SPI1_SIN,UART0_TX,FTM_CLKIN1,FB_AD16,EWM_OUT_b,,,75,E9,40
Pin,PTB18,,,,,PTB18,CAN0_TX,FTM2_CH0,I2S0_TX_BCLK,FB_AD15,FTM2_QD_PHA,,,76,D9,41
Pin,PTB19,,,,,PTB19,CAN0_RX,FTM2_CH1,I2S0_TX_FS,FB_OE_b,FTM2_QD_PHB,,,77,C9,42
Pin,PTB20,,,,,PTB20,SPI2_PCS0,,,FB_AD31,CMP0_OUT,,,78,F10,
Pin,PTB21,,,,,PTB21,SPI2_SCK,,,FB_AD30,CMP1_OUT,,,79,F9,
Pin,PTB22,,,,,PTB22,SPI2_SOUT,,,FB_AD29,CMP2_OUT,,,80,F8,
Pin,PTB23,,,,,PTB23,SPI2_SIN,SPI0_PCS5,,FB_AD28,,,,81,E8,
Pin,PTC0,,ADC0_SE14,ADC0_SE14,ADC0_SE14,PTC0,SPI0_PCS4,PDB0_EXTRG,,FB_AD14,I2S0_TXD1,,,82,B9,43
Pin,PTC1,,ADC0_SE15,ADC0_SE15,ADC0_SE15,PTC1/LLWU_P6,SPI0_PCS3,UART1_RTS_b,FTM0_CH0,FB_AD13,I2S0_TXD0,,,83,D8,44
Pin,PTC2,,ADC0_SE4b/CMP1_IN0,PTC2,ADC0_SE4b/CMP1_IN0,PTC2,SPI0_PCS2,UART1_CTS_b,FTM0_CH1,FB_AD12,I2S0_TX_FS,,,84,C8,45
Pin,PTC3,,CMP1_IN1,PTC3/LLWU_P7,CMP1_IN1,PTC3/LLWU_P7,SPI0_PCS1,UART1_RX,FTM0_CH2,CLKOUT,I2S0_TX_BCLK,,,85,B8,46
,VDD,,,,,,,,,,,,,,,47
,VSS,,,,,,,,,,,,,,,48
Pin,PTC4,,DISABLED,,,PTC4/LLWU_P8,SPI0_PCS0,UART1_TX,FTM0_CH3,FB_AD11,CMP1_OUT,,,86,A8,49
Pin,PTC5,,DISABLED,,,PTC5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,FB_AD10,CMP0_OUT,FTM0_CH2,,87,D7,50
Pin,PTC6,,CMP0_IN0,,CMP0_IN0,PTC6/LLWU_P10,SPI0_SOUT,PDB0_EXTRG,I2S0_RX_BCLK,FB_AD9,I2S0_MCLK,,,88,C7,51
Pin,PTC7,,CMP0_IN1,,CMP0_IN1,PTC7,SPI0_SIN,USB_SOF_OUT,I2S0_RX_FS,FB_AD8,,,,89,B7,52
Pin,PTC8,,ADC1_SE4b/CMP0_IN2,,ADC1_SE4b/CMP0_IN2,PTC8,,FTM3_CH4,I2S0_MCLK,FB_AD7,,,,90,A7,53
Pin,PTC9,,ADC1_SE5b/CMP0_IN3,,ADC1_SE5b/CMP0_IN3,PTC9,,FTM3_CH5,I2S0_RX_BCLK,FB_AD6,FTM2_FLT0,,,91,D6,54
Pin,PTC10,,ADC1_SE6b,,ADC1_SE6b,PTC10,I2C1_SCL,FTM3_CH6,I2S0_RX_FS,FB_AD5,,,,92,C6,55
Pin,PTC11,,ADC1_SE7b,,ADC1_SE7b,PTC11/LLWU_P11,I2C1_SDA,FTM3_CH7,I2S0_RXD1,FB_RW_b,,,,93,C5,56
Pin,PTC12,,,,,PTC12,,UART4_RTS_b,,FB_AD27,FTM3_FLT0,,,94,B6,
Pin,PTC13,,,,,PTC13,,UART4_CTS_b,,FB_AD26,,,,95,A6,
Pin,PTC14,,,,,PTC14,,UART4_RX,,FB_AD25,,,,96,A5,
Pin,PTC15,,,,,PTC15,,UART4_TX,,FB_AD24,,,,97,B5,
Pin,PTC16,,ADC1_SE4b/CMP0_IN2,,,PTC16,,UART3_RX,,FB_CS5_b/FB_TSIZ1/FB_BE23_16_BLS15_8_b,,,,98,D5,
Pin,PTC17,,ADC1_SE5b/CMP0_IN3,,,PTC17,,UART3_TX,,FB_CS4_b/FB_TSIZ0/FB_BE31_24_BLS7_0_b,,,,99,C4,
Pin,PTC18,,ADC1_SE6b,,,PTC18,,UART3_RTS_b,,FB_TBST_b/FB_CS2_b/FB_BE15_8_BLS23_16_b,,,,100,B4,
Pin,PTC19,,ADC1_SE7b,,,PTC19,,UART3_CTS_b,,FB_CS3_b/FB_BE7_0_BLS31_24_b,FB_TA_b,,,101,A4,
Pin,PTD0,,DISABLED,PTD0/LLWU_P12,,PTD0/LLWU_P12,SPI0_PCS0,UART2_RTS_b,FTM3_CH0,FB_ALE/FB_CS1_b/FB_TS_b,,,,102,D4,57
Pin,PTD1,,ADC0_SE5b,PTD1,ADC0_SE5b,PTD1,SPI0_SCK,UART2_CTS_b,FTM3_CH1,FB_CS0_b,,,,103,D3,58
Pin,PTD2,,DISABLED,PTD2/LLWU_P13,,PTD2/LLWU_P13,SPI0_SOUT,UART2_RX,FTM3_CH2,FB_AD4,,I2C0_SCL,,104,C3,59
Pin,PTD3,,DISABLED,PTD3,,PTD3,SPI0_SIN,UART2_TX,FTM3_CH3,FB_AD3,,I2C0_SDA,,105,B3,60
Pin,PTD4,,DISABLED,PTD4/LLWU_P14,,PTD4/LLWU_P14,SPI0_PCS1,UART0_RTS_b,FTM0_CH4,FB_AD2,EWM_IN,,,106,A3,61
Pin,PTD5,,ADC0_SE6b,ADC0_SE6b,ADC0_SE6b,PTD5,SPI0_PCS2,UART0_CTS_b/UART0_COL_b,FTM0_CH5,FB_AD1,EWM_OUT_b,,,107,A2,62
Pin,PTD6,,ADC0_SE7b,ADC0_SE7b,ADC0_SE7b,PTD6/LLWU_P15,SPI0_PCS3,UART0_RX,FTM0_CH6,FB_AD0,FTM0_FLT0,,,108,B2,63
Pin,PTD7,,DISABLED,PTD7,,PTD7,CMT_IRO,UART0_TX,FTM0_CH7,,FTM0_FLT1,,,109,A1,64
Pin,PTD8,,,,,PTD8,I2C0_SCL,UART5_RX,,,FB_A16,,,110,A10,
Pin,PTD9,,,,,PTD9,I2C0_SDA,UART5_TX,,,FB_A17,,,111,A9,
Pin,PTD10,,,,,PTD10,,UART5_RTS_b,,,FB_A18,,,112,B1,
Pin,PTD11,,,,,PTD11,SPI2_PCS0,UART5_CTS_b,SDHC0_CLKIN,,FB_A19,,,113,C2,
Pin,PTD12,,,,,PTD12,SPI2_SCK,FTM3_FLT0,SDHC0_D4,,FB_A20,,,114,C1,
Pin,PTD13,,,,,PTD13,SPI2_SOUT,,SDHC0_D5,,FB_A21,,,115,D2,
Pin,PTD14,,,,,PTD14,SPI2_SIN,,SDHC0_D6,,FB_A22,,,116,D1,
Pin,PTD15,,,,,PTD15,SPI2_PCS1,,SDHC0_D7,,FB_A23,,,117,E1,
,,,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),Irq number,Irq number,Irq number,,,,,,,,,,
Peripheral,I2C2,SIM->SCGC1,,I2C2_IRQn,,,,,,,,,,,,
Peripheral,UART4,SIM->SCGC1,,UART4_RX_TX_IRQn,UART4_ERR_IRQn,,,,,,,,,,,
Peripheral,UART5,SIM->SCGC1,,UART5_RX_TX_IRQn,UART5_ERR_IRQn,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,DAC0,SIM->SCGC2,,,,,,,,,,,,,,
Peripheral,DAC1,SIM->SCGC2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,SPI2,SIM->SCGC3,,SPI2_IRQn,,,,,,,,,,,,
Peripheral,SDHC,SIM->SCGC3,,SDHC_IRQn,,,,,,,,,,,,
Peripheral,FTM2,SIM->SCGC3,,FTM2_IRQn,,,,,,,,,,,,
Peripheral,FTM3,SIM->SCGC3,,FTM3_IRQn,,,,,,,,,,,,
Peripheral,ADC1,SIM->SCGC3,,ADC1_IRQn,,,,,,,,,,,,
Peripheral,ADC1a,SIM->SCGC3,SIM_SCGC3_ADC1_MASK,ADC1_IRQn,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,EWM,SIM->SCGC4,,,,,,,,,,,,,,
Peripheral,CMT,SIM->SCGC4,,,,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,I2C0_IRQn,,,,,,,,,,,,
Peripheral,I2C1,SIM->SCGC4,,I2C1_IRQn,,,,,,,,,,,,
Peripheral,UART0,SIM->SCGC4,,UART0_RX_TX_IRQn,UART0_ERR_IRQn,,,,,,,,,,,
Peripheral,UART1,SIM->SCGC4,,UART1_RX_TX_IRQn,UART1_ERR_IRQn,,,,,,,,,,,
Peripheral,UART2,SIM->SCGC4,,UART2_RX_TX_IRQn,UART2_ERR_IRQn,,,,,,,,,,,
Peripheral,UART3,SIM->SCGC4,,UART3_RX_TX_IRQn,UART3_ERR_IRQn,,,,,,,,,,,
Peripheral,USBOTG,SIM->SCGC4,,USB0_IRQn,,,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,SIM_SCGC4_CMP_MASK,CMP0_IRQn,,,,,,,,,,,,
Peripheral,CMP1,SIM->SCGC4,SIM_SCGC4_CMP_MASK,CMP1_IRQn,,,,,,,,,,,,
Peripheral,CMP2,SIM->SCGC4,SIM_SCGC4_CMP_MASK,CMP2_IRQn,,,,,,,,,,,,
Peripheral,VREF,SIM->SCGC4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,LPTMR0_IRQn,,,,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,PORTA_IRQn,,,,,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,PORTB_IRQn,,,,,,,,,,,,
Peripheral,PORTC,SIM->SCGC5,,PORTC_IRQn,,,,,,,,,,,,
Peripheral,PORTD,SIM->SCGC5,,PORTD_IRQn,,,,,,,,,,,,
Peripheral,PORTE,SIM->SCGC5,,PORTE_IRQn,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,FTF,SIM->SCGC6,,,,,,,,,,,,,,
Peripheral,DMAMUX0,SIM->SCGC6,SIM_SCGC6_DMAMUX0_MASK,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,FLEXCAN,SIM->SCGC6,,CAN0_Tx_IRQn,CAN0_Rx_IRQn,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC6,,SPI0_IRQn,,,,,,,,,,,,
Peripheral,SPI1,SIM->SCGC6,,SPI1_IRQn,,,,,,,,,,,,
Peripheral,I2S0,SIM->SCGC6,,I2S0_Tx_IRQn,I2S0_Rx_IRQn,,,,,,,,,,,
Peripheral,CRC,SIM->SCGC6,,,,,,,,,,,,,,
Peripheral,USBDCD,SIM->SCGC6,,USBDCD_IRQn,,,,,,,,,,,,
Peripheral,PDB0,SIM->SCGC6,,PDB0_IRQn,,,,,,,,,,,,
Peripheral,PIT,SIM->SCGC6,,PIT0_IRQn,PIT1_IRQn,PIT2_IRQn,PIT3_IRQn,,,,,,,,,
Peripheral,FTM0,SIM->SCGC6,,FTM0_IRQn,,,,,,,,,,,,
Peripheral,FTM1,SIM->SCGC6,,FTM1_IRQn,,,,,,,,,,,,
Peripheral,FTM2,SIM->SCGC6,,FTM2_IRQn,,,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,ADC0_IRQn,,,,,,,,,,,,
Peripheral,RTC,SIM->SCGC6,,RTC_Alarm_IRQn,,,,,,,,,,,,
Peripheral,DAC0,SIM->SCGC6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Peripheral,FLEXBUS,SIM->SCGC7,,,,,,,,,,,,,,
Peripheral,DMA,SIM->SCGC7,,,,,,,,,,,,,,
Peripheral,MPU,SIM->SCGC7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LPTMR_PCS,0,MCGIRCLK,,,,,,,,,,,,,,
,1,LPO - 1 kHz clock,,,,,,,,,,,,,,
,2,ERCLK32K,,,,,,,,,,,,,,
,3,OSCERCLK_UNDIV - Undivided external,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,DMA #,Source,Async DMA,,,,,,,,,,,,
DmaMux,0,0,Disabled,,,,,,,,,,,,,
DmaMux,0,2,UART0_Receive,,,,,,,,,,,,,
DmaMux,0,3,UART0_Transmit,,,,,,,,,,,,,
DmaMux,0,4,UART1_Receive,,,,,,,,,,,,,
DmaMux,0,5,UART1_Transmit,,,,,,,,,,,,,
DmaMux,0,6,UART2_Receive,,,,,,,,,,,,,
DmaMux,0,7,UART2_Transmit,,,,,,,,,,,,,
DmaMux,0,12,I2S0_Receive,Yes,,,,,,,,,,,,
DmaMux,0,13,I2S0_Transmit,Yes,,,,,,,,,,,,
DmaMux,0,14,SPI0_Receive,,,,,,,,,,,,,
DmaMux,0,15,SPI0_Transmit,,,,,,,,,,,,,
DmaMux,0,16,SPI1_TransmitReceive,,,,,,,,,,,,,
DmaMux,0,18,I2C0,,,,,,,,,,,,,
DmaMux,0,19,I2C1,,,,,,,,,,,,,
DmaMux,0,20,FTM0_Ch_0,,,,,,,,,,,,,
DmaMux,0,21,FTM0_Ch_1,,,,,,,,,,,,,
DmaMux,0,22,FTM0_Ch_2,,,,,,,,,,,,,
DmaMux,0,23,FTM0_Ch_3,,,,,,,,,,,,,
DmaMux,0,24,FTM0_Ch_4,,,,,,,,,,,,,
DmaMux,0,25,FTM0_Ch_5,,,,,,,,,,,,,
DmaMux,0,26,FTM0_Ch_6,,,,,,,,,,,,,
DmaMux,0,27,FTM0_Ch_7,,,,,,,,,,,,,
DmaMux,0,28,FTM1_Ch_0,,,,,,,,,,,,,
DmaMux,0,29,FTM1_Ch_1,,,,,,,,,,,,,
DmaMux,0,30,FTM2_Ch_0,,,,,,,,,,,,,
DmaMux,0,31,FTM2_Ch_1,,,,,,,,,,,,,
DmaMux,0,40,ADC0,Yes,,,,,,,,,,,,
DmaMux,0,41,ADC1,Yes,,,,,,,,,,,,
DmaMux,0,42,CMP0,Yes,,,,,,,,,,,,
DmaMux,0,43,CMP1,Yes,,,,,,,,,,,,
DmaMux,0,45,DAC0,,,,,,,,,,,,,
DmaMux,0,48,PDB,,,,,,,,,,,,,
DmaMux,0,49,PortA,Yes,,,,,,,,,,,,
DmaMux,0,50,PortB,Yes,,,,,,,,,,,,
DmaMux,0,51,PortC,Yes,,,,,,,,,,,,
DmaMux,0,52,PortD,Yes,,,,,,,,,,,,
DmaMux,0,53,PortE,Yes,,,,,,,,,,,,
DmaMux,0,58,LPUART_Receive,Yes,,,,,,,,,,,,
DmaMux,0,59,LPUART_Transmit,Yes,,,,,,,,,,,,
DmaMux,0,60,AlwaysEnabled0,,,,,,,,,,,,,
DmaMux,0,61,AlwaysEnabled1,,,,,,,,,,,,,
DmaMux,0,62,AlwaysEnabled2,,,,,,,,,,,,,
DmaMux,0,63,AlwaysEnabled3,,,,,,,,,,,,,
