Manual,KL46P121M48SF4RM,,,,,,,,,,,,,,
Devices,MKL46Z128xxx4,MKL46Z256xxx4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Key,Pin,Alias MKL46Z4-LQFP100,Alias MKL46Z4-FRDM,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,Seq,LQFP-100
Peripheral,UART0,SIM->SCGC4,,UART0_IRQn,,,,,,,,,,,
Peripheral,UART1,SIM->SCGC4,,UART1_IRQn,,,,,,,,,,,
Peripheral,UART2,SIM->SCGC4,,UART2_IRQn,,,,,,,,,,,
Peripheral,USB,SIM->SCGC4,,USB0_IRQn,,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,SIM_SCGC4_CMP_MASK,CMP0_IRQn,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC4,,SPI0_IRQn,,,,,,,,,,,
Peripheral,SPI1,SIM->SCGC4,,SPI1_IRQn,,,,,,,,,,,
,,,,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,LPTMR0_IRQn,,,,,,,,,,,
Peripheral,TSI,SIM->SCGC5,,TSI0_IRQn,,,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,PORTA_IRQn,,,,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,,,,,,,,,,,,
Peripheral,PORTC,SIM->SCGC5,,PORTCD_IRQn,,,,,,,,,,,
Peripheral,PORTD,SIM->SCGC5,,PORTCD_IRQn,,,,,,,,,,,
Peripheral,PORTE,SIM->SCGC5,,,,,,,,,,,,,
Peripheral,SLCD,SIM->SCGC5,,LCD_IRQn,,,,,,,,,,,
,,,,,,,,,,,,,,,
Peripheral,FTF,SIM->SCGC6,,,,,,,,,,,,,
Peripheral,DMAMUX0,SIM->SCGC6,,,,,,,,,,,,,
Peripheral,I2S0,SIM->SCGC6,,I2S0_IRQn,,,,,,,,,,,
Peripheral,PIT,SIM->SCGC6,,PIT_IRQn,,,,,,,,,,,
Peripheral,TPM0,SIM->SCGC6,,TPM0_IRQn,,,,,,,,,,,
Peripheral,TPM1,SIM->SCGC6,,TPM1_IRQn,,,,,,,,,,,
Peripheral,TPM2,SIM->SCGC6,,TPM2_IRQn,,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,ADC0_IRQn,,,,,,,,,,,
Peripheral,RTC,SIM->SCGC6,,RTC_Alarm_IRQn,RTC_Seconds_IRQn,,,,,,,,,,
Peripheral,DAC0,SIM->SCGC6,,DAC0_IRQn,,,,,,,,,,,
,,,,,,,,,,,,,,,
Peripheral,DMA,SIM->SCGC7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,DMA #,Source,Async DMA,,,,,,,,,,,
DmaMux,0,0,Disabled,,,,,,,,,,,,
DmaMux,0,2,UART0_Receive,Yes,,,,,,,,,,,
DmaMux,0,3,UART0_Transmit,Yes,,,,,,,,,,,
DmaMux,0,4,UART1_Receive,,,,,,,,,,,,
DmaMux,0,5,UART1_Transmit,,,,,,,,,,,,
DmaMux,0,6,UART2_Receive,,,,,,,,,,,,
DmaMux,0,7,UART2_Transmit,,,,,,,,,,,,
DmaMux,0,14,I2S0_Receive,,,,,,,,,,,,
DmaMux,0,15,I2S0_Transmit,,,,,,,,,,,,
DmaMux,0,16,SPI0_Receive,,,,,,,,,,,,
DmaMux,0,17,SPI0_Transmit,,,,,,,,,,,,
DmaMux,0,18,SPI1_Receive,,,,,,,,,,,,
DmaMux,0,19,SPI1_Transmit,,,,,,,,,,,,
DmaMux,0,22,I2C0,,,,,,,,,,,,
DmaMux,0,23,I2C1,,,,,,,,,,,,
DmaMux,0,24,TPM0_Ch_0,Yes,,,,,,,,,,,
DmaMux,0,25,TPM0_Ch_1,Yes,,,,,,,,,,,
DmaMux,0,26,TPM0_Ch_2,Yes,,,,,,,,,,,
DmaMux,0,27,TPM0_Ch_3,Yes,,,,,,,,,,,
DmaMux,0,28,TPM0_Ch_4,Yes,,,,,,,,,,,
DmaMux,0,29,TPM0_Ch_5,Yes,,,,,,,,,,,
DmaMux,0,32,TPM1_Ch_0,Yes,,,,,,,,,,,
DmaMux,0,33,TPM1_Ch_1,Yes,,,,,,,,,,,
DmaMux,0,34,TPM2_Ch_0,Yes,,,,,,,,,,,
DmaMux,0,35,TPM2_Ch_1,Yes,,,,,,,,,,,
DmaMux,0,40,ADC0,Yes,,,,,,,,,,,
DmaMux,0,42,CMP0,Yes,,,,,,,,,,,
DmaMux,0,45,DAC0,,,,,,,,,,,,
DmaMux,0,49,PortA,Yes,,,,,,,,,,,
DmaMux,0,51,PortC,Yes,,,,,,,,,,,
DmaMux,0,52,PortD,Yes,,,,,,,,,,,
DmaMux,0,54,TPM0_Overflow,Yes,,,,,,,,,,,
DmaMux,0,55,TPM1_Overflow,Yes,,,,,,,,,,,
DmaMux,0,56,TPM2_Overflow,Yes,,,,,,,,,,,
DmaMux,0,57,TSI,Yes,,,,,,,,,,,
DmaMux,0,60,AlwaysEnabled0,,,,,,,,,,,,
DmaMux,0,61,AlwaysEnabled1,,,,,,,,,,,,
DmaMux,0,62,AlwaysEnabled2,,,,,,,,,,,,
DmaMux,0,63,AlwaysEnabled3,,,,,,,,,,,,
