Manual,KL43P64M48SF6RM,,,,,,,,,,,,,,,,
Devices,MKL43Z128xxx4,MKL43Z256xxx4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Key,Pin,Alias MKL43Z4,Alias FRDM_KL43Z,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort,64-BGA,64-LQFP,Seq#
Pin,PTB0,,A0,LCD_P0/ADC0_SE8,LCD_P0/ADC0_SE8,LCD_P0/ADC0_SE8,GPIOB_0/LLWU_P5,I2C0_SCL,TPM1_CH0,,,,LCD_P0_fault,,F7,35,35
Pin,PTB1,,A1,LCD_P1/ADC0_SE9,LCD_P1/ADC0_SE9,LCD_P1/ADC0_SE9,GPIOB_1,I2C0_SDA,TPM1_CH1,,,,LCD_P1_fault,,F6,36,36
Pin,PTB2,,A2,LCD_P2/ADC0_SE12,LCD_P2/ADC0_SE12,LCD_P2/ADC0_SE12,GPIOB_2,I2C0_SCL,TPM2_CH0,,,,LCD_P2_fault,,E7,37,37
Pin,PTB3,,A3,LCD_P3/ADC0_SE13,LCD_P3/ADC0_SE13,LCD_P3/ADC0_SE13,GPIOB_3,I2C0_SDA,TPM2_CH1,,,,LCD_P3_fault,,E8,38,38
Pin,PTB16,,,LCD_P12,,LCD_P12,GPIOB_16,SPI1_MOSI,LPUART0_RX,TPM_CLKIN0,SPI1_MISO,,LCD_P12_fault,,E6,39,39
Pin,PTB17,,,LCD_P13,,LCD_P13,GPIOB_17,SPI1_MISO,LPUART0_TX,TPM_CLKIN1,SPI1_MOSI,,LCD_P13_fault,,D7,40,40
Pin,PTB18,,,LCD_P14,,LCD_P14,GPIOB_18,,TPM2_CH0,I2S0_TX_BCLK,,,LCD_P14_fault,,D6,41,41
Pin,PTB19,,,LCD_P15,,LCD_P15,GPIOB_19,,TPM2_CH1,I2S0_TX_FS,,,LCD_P15_fault,,C7,42,42
Pin,PTC0,,,LCD_P20/ADC0_SE14,,LCD_P20/ADC0_SE14,GPIOC_0,,EXTRG_IN,audioUSB_SOF_OUT,CMP0_OUT,I2S0_TXD0,LCD_P20_fault,,D8,43,43
Pin,PTC1,,A5,LCD_P21/ADC0_SE15,LCD_P21/ADC0_SE15,LCD_P21/ADC0_SE15,GPIOC_1/LLWU_P6/RTC_CLKIN,I2C1_SCL,,TPM0_CH0,,I2S0_TXD0,LCD_P21_fault,,C6,44,44
Pin,PTC2,,A4,LCD_P22/ADC0_SE11,LCD_P22/ADC0_SE11,LCD_P22/ADC0_SE11,GPIOC_2,I2C1_SDA,,TPM0_CH1,,I2S0_TX_FS,LCD_P22_fault,,B7,45,45
Pin,PTC3,,,LCD_P23,,LCD_P23,GPIOC_3/LLWU_P7,SPI1_SCK,LPUART1_RX,TPM0_CH2,CLKOUT,I2S0_TX_BCLK,LCD_P23_fault,,C8,46,46
,VSS,,,VSS,,,,,,,,,,,E3,47,47
,VDD,,,VDD,,,,,,,,,,,E4,-,48
,VLL3,,,VLL3,,,,,,,,,,,C5,48,49
,VLL2,,,VLL2,,,GPIOC_20,,,,,,LCD_P4_fault,,A6,49,50
,VLL1,,,VLL1,,,GPIOC_21,,,,,,LCD_P5_fault,,B5,50,51
,VCAP2,,,VCAP2,,,GPIOC_22,,,,,,LCD_P6_fault,,B4,51,52
,VCAP1,,,VCAP1,,,GPIOC_23,,,,,,LCD_P39_fault,,A5,52,53
Pin,PTC4,,,LCD_P24,,LCD_P24,GPIOC_4/LLWU_P8,SPI0_SS,LPUART1_TX,TPM0_CH3,I2S0_MCLK,,LCD_P24_fault,,B8,53,54
Pin,PTC5,,ACCEL_INT1/MAG_INT,LCD_P25,,LCD_P25,GPIOC_5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,,CMP0_OUT,LCD_P25_fault,,A8,54,55
Pin,PTC6,,,LCD_P26/CMP0_IN0,,LCD_P26/CMP0_IN0,GPIOC_6/LLWU_P10,SPI0_MOSI,EXTRG_IN,I2S0_RX_BCLK,SPI0_MISO,I2S0_MCLK,LCD_P26_fault,,A7,55,56
Pin,PTC7,,,LCD_P27/CMP0_IN1,,LCD_P27/CMP0_IN1,GPIOC_7,SPI0_MISO,audioUSB_SOF_OUT,I2S0_RX_FS,SPI0_MOSI,,LCD_P27_fault,,B6,56,57
Pin,PTD0,,,LCD_P40,,LCD_P40,GPIOD_0,SPI0_SS,,TPM0_CH0,,FXIO0_D0,LCD_P40_fault,,C3,57,58
Pin,PTD1,,ACCEL_INT2,LCD_P41/ADC0_SE5b,,LCD_P41/ADC0_SE5b,GPIOD_1,SPI0_SCK,,TPM0_CH1,,FXIO0_D1,LCD_P41_fault,,A4,58,59
Pin,PTD2,,D9,LCD_P42,GPIOD_2,LCD_P42,GPIOD_2,SPI0_MOSI,UART2_RX,TPM0_CH2,SPI0_MISO,FXIO0_D2,LCD_P42_fault,,C2,59,60
Pin,PTD3,,D2,LCD_P43,TPM0_CH3,LCD_P43,GPIOD_3,SPI0_MISO,UART2_TX,TPM0_CH3,SPI0_MOSI,FXIO0_D3,LCD_P43_fault,,B3,60,61
Pin,PTD4,,D10,LCD_P44,TPM0_CH4,LCD_P44,GPIOD_4/LLWU_P14,SPI1_SS,UART2_RX,TPM0_CH4,,FXIO0_D4,LCD_P44_fault,,A3,61,62
Pin,PTD5,,D13/LED_GREEN,LCD_P45/ADC0_SE6b,TPM0_CH5,LCD_P45/ADC0_SE6b,GPIOD_5,SPI1_SCK,UART2_TX,TPM0_CH5,,FXIO0_D5,LCD_P45_fault,,C1,62,63
Pin,PTD6,,D11,LCD_P46/ADC0_SE7b,,LCD_P46/ADC0_SE7b,GPIOD_6/LLWU_P15,SPI1_MOSI,LPUART0_RX,,SPI1_MISO,FXIO0_D6,LCD_P46_fault,,B2,63,64
Pin,PTD7,,D12,LCD_P47,,LCD_P47,GPIOD_7,SPI1_MISO,LPUART0_TX,,SPI1_MOSI,FXIO0_D6,LCD_P47_fault,,A2,64,65
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),Irq number,Irq number,Irq number,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,I2C0_IRQn,,,,,,,,,,,,,
Peripheral,I2C1,SIM->SCGC4,,I2C1_IRQn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,UART2,SIM->SCGC4,,UART2_FLEXIO_IRQn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,USB,SIM->SCGC4,,USB0_IRQn,,,,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,,CMP0_IRQn,,,,,,,,,,,,,
Peripheral,VREF0,SIM->SCGC4,,,,,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC4,,SPI0_IRQn,,,,,,,,,,,,,
Peripheral,SPI1,SIM->SCGC4,,SPI1_IRQn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,LPTMR0_IRQn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,PORTA_IRQn,,,,,,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,,,,,,,,,,,,,,
Peripheral,PORTC,SIM->SCGC5,,PORTCD_IRQn,,,,,,,,,,,,,
Peripheral,PORTD,SIM->SCGC5,,PORTCD_IRQn,,,,,,,,,,,,,
Peripheral,PORTE,SIM->SCGC5,,,,,,,,,,,,,,,
Peripheral,SLCD,SIM->SCGC5,,LCD_IRQn,,,,,,,,,,,,,
Peripheral,LPUART0,SIM->SCGC5,,LPUART0_IRQn,,,,,,,,,,,,,
Peripheral,LPUART1,SIM->SCGC5,,LPUART1_IRQn,,,,,,,,,,,,,
Peripheral,FLEXIO,SIM->SCGC5,,UART2_FLEXIO_IRQn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,FTF,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,DMAMUX0,SIM->SCGC6,,,,,,,,,,,,,,,
Peripheral,I2S0,SIM->SCGC6,,I2S0_IRQn,,,,,,,,,,,,,
Peripheral,PIT,SIM->SCGC6,,PIT_IRQn,,,,,,,,,,,,,
Peripheral,TPM0,SIM->SCGC6,,TPM0_IRQn,,,,,,,,,,,,,
Peripheral,TPM1,SIM->SCGC6,,TPM1_IRQn,,,,,,,,,,,,,
Peripheral,TPM2,SIM->SCGC6,,TPM2_IRQn,,,,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,ADC0_IRQn,,,,,,,,,,,,,
Peripheral,RTC,SIM->SCGC6,,RTC_Alarm_IRQn,RTC_Seconds_IRQn,,,,,,,,,,,,
Peripheral,DAC0,SIM->SCGC6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peripheral,DMA,SIM->SCGC7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,DMA #,Source,Async DMA,,,,,,,,,,,,,
DmaMux,0,0,Disabled,,,,,,,,,,,,,,
DmaMux,0,2,LPUART0_Receive,Yes,,,,,,,,,,,,,
DmaMux,0,3,LPUART0_Transmit,Yes,,,,,,,,,,,,,
DmaMux,0,4,LPUART1_Receive,,,,,,,,,,,,,,
DmaMux,0,5,LPUART1_Transmit,,,,,,,,,,,,,,
DmaMux,0,6,UART2_Receive,,,,,,,,,,,,,,
DmaMux,0,7,UART2_Transmit,,,,,,,,,,,,,,
DmaMux,0,10,FlexIO_Ch0,,,,,,,,,,,,,,
DmaMux,0,11,FlexIO_Ch1,,,,,,,,,,,,,,
DmaMux,0,12,FlexIO_Ch2,,,,,,,,,,,,,,
DmaMux,0,13,FlexIO_Ch3,,,,,,,,,,,,,,
DmaMux,0,14,I2S0_Receive,,,,,,,,,,,,,,
DmaMux,0,15,I2S0_Transmit,,,,,,,,,,,,,,
DmaMux,0,16,SPI0_Receive,,,,,,,,,,,,,,
DmaMux,0,17,SPI0_Transmit,,,,,,,,,,,,,,
DmaMux,0,18,SPI1_Receive,,,,,,,,,,,,,,
DmaMux,0,19,SPI1_Transmit,,,,,,,,,,,,,,
DmaMux,0,22,I2C0,,,,,,,,,,,,,,
DmaMux,0,23,I2C1,,,,,,,,,,,,,,
DmaMux,0,24,TPM0_Ch_0,Yes,,,,,,,,,,,,,
DmaMux,0,25,TPM0_Ch_1,Yes,,,,,,,,,,,,,
DmaMux,0,26,TPM0_Ch_2,Yes,,,,,,,,,,,,,
DmaMux,0,27,TPM0_Ch_3,Yes,,,,,,,,,,,,,
DmaMux,0,28,TPM0_Ch_4,Yes,,,,,,,,,,,,,
DmaMux,0,29,TPM0_Ch_5,Yes,,,,,,,,,,,,,
DmaMux,0,32,TPM1_Ch_0,Yes,,,,,,,,,,,,,
DmaMux,0,33,TPM1_Ch_1,Yes,,,,,,,,,,,,,
DmaMux,0,34,TPM2_Ch_0,Yes,,,,,,,,,,,,,
DmaMux,0,35,TPM2_Ch_1,Yes,,,,,,,,,,,,,
DmaMux,0,40,ADC0,Yes,,,,,,,,,,,,,
DmaMux,0,42,CMP0,Yes,,,,,,,,,,,,,
DmaMux,0,45,DAC0,,,,,,,,,,,,,,
DmaMux,0,49,PortA,Yes,,,,,,,,,,,,,
DmaMux,0,51,PortC,Yes,,,,,,,,,,,,,
DmaMux,0,52,PortD,Yes,,,,,,,,,,,,,
DmaMux,0,54,TPM0_Overflow,Yes,,,,,,,,,,,,,
DmaMux,0,55,TPM1_Overflow,Yes,,,,,,,,,,,,,
DmaMux,0,56,TPM2_Overflow,Yes,,,,,,,,,,,,,
DmaMux,0,60,AlwaysEnabled0,,,,,,,,,,,,,,
DmaMux,0,61,AlwaysEnabled1,,,,,,,,,,,,,,
DmaMux,0,62,AlwaysEnabled2,,,,,,,,,,,,,,
DmaMux,0,63,AlwaysEnabled3,,,,,,,,,,,,,,
