ID,Names,Aliases,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
Pin,PTA15,,Disabled,SPI0_SCK,,GPIOA_15,SPI0_SCK,UART0_RX,,,I2S0_RXD0,,
Pin,PTA16,,Disabled,SPI0_SOUT,,GPIOA_16,SPI0_SOUT,UART0_CTS_b,,,I2S0_RX_FS,,
Pin,PTA17,,ADC1_SE17,SPI0_SIN,ADC1_SE17,GPIOA_17,SPI0_SIN,UART0_RTS_b,,,I2S0_MCLK,,
Pin,PTA18,,EXTAL0,EXTAL0,EXTAL0,GPIOA_18,,FTM0_FLT2,FTM_CLKIN0,,,,
Pin,PTA19,,XTAL0,XTAL0,XTAL0,GPIOA_19,,FTM1_FLT0,FTM_CLKIN1,,LPTMR0_ALT1,,
Pin,PTB0,A0,ADC0_SE8/ADC1_SE8,ADC0_SE8/ADC1_SE8,ADC0_SE8/ADC1_SE8,GPIOB_0/LLWU_P5,I2C0_SCL,FTM1_CH0,,,FTM1_QD_PHA,,
Pin,PTB1,A1,ADC0_SE9/ADC1_SE9,ADC0_SE9/ADC1_SE9,ADC0_SE9/ADC1_SE9,GPIOB_1,I2C0_SDA,FTM1_CH1,,,FTM1_QD_PHB,,
Pin,PTB2,A5/ONBOARD_SCL,ADC0_SE12,ADC0_SE12,ADC0_SE12,GPIOB_2,I2C0_SCL,UART0_RTS_b,,,FTM0_FLT3,,
Pin,PTB3,A4/ONBOARD_SDA,ADC0_SE13,ADC0_SE13,ADC0_SE13,GPIOB_3,I2C0_SDA,UART0_CTS_b,,,FTM0_FLT0,,
Pin,PTB6,,ADC1_SE12,,ADC1_SE12,GPIOB_6,,,,,,,
Pin,PTB7,,ADC1_SE13,,ADC1_SE13,GPIOB_7,,,,,,,
Pin,PTB8,,Disabled,,,GPIOB_8,,LPUART0_RTS_b,,,,,
Pin,PTB9,,Disabled,,,GPIOB_9,SPI1_PCS1,LPUART0_CTS_b,,,,,
Pin,PTB10,,ADC1_SE14,ADC1_SE14,ADC1_SE14,GPIOB_10,SPI1_PCS0,LPUART0_RX,,,FTM0_FLT1,,
Pin,PTB11,,ADC1_SE15,ADC1_SE15,ADC1_SE15,GPIOB_11,SPI1_SCK,LPUART0_TX,,,FTM0_FLT2,,
Pin,PTB16,D2,Disabled,GPIOB_16,,GPIOB_16,SPI1_SOUT,UART0_RX,FTM_CLKIN0,,EWM_IN,,
Pin,PTB17,,Disabled,,,GPIOB_17,SPI1_SIN,UART0_TX,FTM_CLKIN1,,EWM_OUT_b,,
Pin,PTB18,D5,Disabled,GPIOB_18,,GPIOB_18,,FTM2_CH0,I2S0_TX_BCLK,,FTM2_QD_PHA,,
Pin,PTB19,D8,Disabled,GPIOB_19,,GPIOB_19,,FTM2_CH1,I2S0_TX_FS,,FTM2_QD_PHB,,
Pin,PTB20,,Disabled,,,GPIOB_20,,,,,CMP0_OUT,,
Pin,PTB21,,Disabled,,,GPIOB_21,,,,,CMP1_OUT,,
Pin,PTB22,,Disabled,,,GPIOB_22,,,,,,,
Pin,PTB23,,Disabled,,,GPIOB_23,,SPI0_PCS5,,,,,
Pin,PTC0,,ADC0_SE14,,ADC0_SE14,GPIOC_0,SPI0_PCS4,PDB0_EXTRG,USB_SOF_OUT,,,,
Pin,PTC1,A2,ADC0_SE15,ADC0_SE15,ADC0_SE15,GPIOC_1/LLWU_P6,SPI0_PCS3,UART1_RTS_b,FTM0_CH0,,I2S0_TXD0,LPUART0_RTS_b,
Pin,PTC2,A3,ADC0_SE4b/CMP1_IN0,ADC0_SE4b/CMP1_IN0,ADC0_SE4b/CMP1_IN0,GPIOC_2,SPI0_PCS2,UART1_CTS_b,FTM0_CH1,,I2S0_TX_FS,LPUART0_CTS_b,
Pin,PTC3,D6,CMP1_IN1,GPIOC_3/LLWU_P7,CMP1_IN1,GPIOC_3/LLWU_P7,SPI0_PCS1,UART1_RX,FTM0_CH2,CLKOUT,I2S0_TX_BCLK,LPUART0_RX,
Pin,PTC4,,Disabled,,,GPIOC_4/LLWU_P8,SPI0_PCS0,UART1_TX,FTM0_CH3,,CMP1_OUT,LPUART0_TX,
Pin,PTC5,,Disabled,,,GPIOC_5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,,CMP0_OUT,FTM0_CH2,
Pin,PTC6,D7,CMP0_IN0,GPIOC_6/LLWU_P10,CMP0_IN0,GPIOC_6/LLWU_P10,SPI0_SOUT,PDB0_EXTRG,I2S0_RX_BCLK,,I2S0_MCLK,,
Pin,PTC7,,CMP0_IN1,,CMP0_IN1,GPIOC_7,SPI0_SIN,USB_SOF_OUT,I2S0_RX_FS,,,,
Pin,PTC8,,ADC1_SE4b/CMP0_IN2,,ADC1_SE4b/CMP0_IN2,GPIOC_8,,,I2S0_MCLK,,,,
Pin,PTC9,,ADC1_SE5b/CMP0_IN3,,ADC1_SE5b/CMP0_IN3,GPIOC_9,,,I2S0_RX_BCLK,,FTM2_FLT0,,
Pin,PTC10,,ADC1_SE6b,,ADC1_SE6b,GPIOC_10,I2C1_SCL,,I2S0_RX_FS,,,,
Pin,PTC11,,ADC1_SE7b,,ADC1_SE7b,GPIOC_11/LLWU_P11,I2C1_SDA,,,,,,
Pin,PTC12,,Disabled,,,GPIOC_12,,,,,,,
Pin,PTC13,,Disabled,,,GPIOC_13,,,,,,,
Pin,PTC14,,Disabled,,,GPIOC_14,,,,,,,
Pin,PTC15,,Disabled,,,GPIOC_15,,,,,,,
Pin,PTC16,,Disabled,,,GPIOC_16,,LPUART0_RX,,,,,
Pin,PTC17,,Disabled,,,GPIOC_17,,LPUART0_TX,,,,,
Pin,PTC18,,Disabled,,,GPIOC_18,,LPUART0_RTS_b,,,,,
Pin,PTC19,,Disabled,,,GPIOC_19,,LPUART0_CTS_b,,,,,
Pin,PTD0,,Disabled,,,GPIOD_0/LLWU_P12,SPI0_PCS0,UART2_RTS_b,,,LPUART0_RTS_b,,
Pin,PTD1,,ADC0_SE5b,,ADC0_SE5b,GPIOD_1,SPI0_SCK,UART2_CTS_b,,,LPUART0_CTS_b,,
Pin,PTD2,D0,Disabled,GPIOD_2/LLWU_P13,,GPIOD_2/LLWU_P13,SPI0_SOUT,UART2_RX,,,LPUART0_RX,I2C0_SCL,
Pin,PTD3,D1,Disabled,GPIOD_3,,GPIOD_3,SPI0_SIN,UART2_TX,,,LPUART0_TX,I2C0_SDA,
Pin,PTD4,D10,Disabled,GPIOD_4/LLWU_P14,,GPIOD_4/LLWU_P14,SPI0_PCS1,UART0_RTS_b,FTM0_CH4,,EWM_IN,SPI1_PCS0,
Pin,PTD5,D13/LED_BLUE,ADC0_SE6b,FTM0_CH5,ADC0_SE6b,GPIOD_5,SPI0_PCS2,UART0_CTS_b,FTM0_CH5,,EWM_OUT_b,SPI1_SCK,
Pin,PTD6,D11,ADC0_SE7b,SPI1_SOUT,ADC0_SE7b,GPIOD_6/LLWU_P15,SPI0_PCS3,UART0_RX,FTM0_CH6,,FTM0_FLT0,SPI1_SOUT,
Pin,PTD7,D12,Disabled,SPI1_SIN,,GPIOD_7,,UART0_TX,FTM0_CH7,,FTM0_FLT1,SPI1_SIN,
Pin,PTE0,D14,ADC1_SE4a,I2C1_SDA,ADC1_SE4a,GPIOE_0/CLKOUT32K,SPI1_PCS1,UART1_TX,,,I2C1_SDA,RTC_CLKOUT,
Pin,PTE1,D15,ADC1_SE5a,I2C1_SCL,ADC1_SE5a,GPIOE_1/LLWU_P0,SPI1_SOUT,UART1_RX,,,I2C1_SCL,SPI1_SIN,
Pin,PTE2,,ADC1_SE6a,,ADC1_SE6a,GPIOE_2/LLWU_P1,SPI1_SCK,UART1_CTS_b,,,,,
Pin,PTE3,,ADC1_SE7a,,ADC1_SE7a,GPIOE_3,SPI1_SIN,UART1_RTS_b,,,,SPI1_SOUT,
Pin,PTE4,,Disabled,,,GPIOE_4/LLWU_P2,SPI1_PCS0,LPUART0_TX,,,,,
Pin,PTE5,,Disabled,,,GPIOE_5,SPI1_PCS2,LPUART0_RX,,,,,
Pin,PTE6,,Disabled,,,GPIOE_6,SPI1_PCS3,LPUART0_CTS_b,I2S0_MCLK,,,USB_SOF_OUT,
Pin,PTE24,,ADC0_SE17,,ADC0_SE17,GPIOE_24,,,,I2C0_SCL,EWM_OUT_b,,
Pin,PTE25,,ADC0_SE18,,ADC0_SE18,GPIOE_25,,,,I2C0_SDA,EWM_IN,,
Pin,PTE26,,Disabled,,,GPIOE_26/CLKOUT32K,,,,,RTC_CLKOUT,USB_CLKIN,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ClockInfo,EWM,SIM->SCGC4,,,,,,,,,,,
ClockInfo,I2C0,SIM->SCGC4,,,,,,,,,,,
ClockInfo,I2C1,SIM->SCGC4,,,,,,,,,,,
ClockInfo,UART0,SIM->SCGC4,,,,,,,,,,,
ClockInfo,UART1,SIM->SCGC4,,,,,,,,,,,
ClockInfo,UART2,SIM->SCGC4,,,,,,,,,,,
ClockInfo,USBOTG,SIM->SCGC4,,,,,,,,,,,
ClockInfo,CMP,SIM->SCGC4,,,,,,,,,,,
ClockInfo,VREF,SIM->SCGC4,,,,,,,,,,,
,,,,,,,,,,,,,
ClockInfo,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,,,,,,,,,
ClockInfo,PORTA,SIM->SCGC5,,,,,,,,,,,
ClockInfo,PORTB,SIM->SCGC5,,,,,,,,,,,
ClockInfo,PORTC,SIM->SCGC5,,,,,,,,,,,
ClockInfo,PORTD,SIM->SCGC5,,,,,,,,,,,
ClockInfo,PORTE,SIM->SCGC5,,,,,,,,,,,
,,,,,,,,,,,,,
ClockInfo,DMAMUX,SIM->SCGC6,,,,,,,,,,,
ClockInfo,ADC1,SIM->SCGC6,,,,,,,,,,,
ClockInfo,RNGA,SIM->SCGC6,,,,,,,,,,,
ClockInfo,LPUART0,SIM->SCGC6,,,,,,,,,,,
ClockInfo,SPI0,SIM->SCGC6,,,,,,,,,,,
ClockInfo,SPI1,SIM->SCGC6,,,,,,,,,,,
ClockInfo,I2S0,SIM->SCGC6,,,,,,,,,,,
ClockInfo,PDB0,SIM->SCGC6,,,,,,,,,,,
ClockInfo,PIT,SIM->SCGC6,,,,,,,,,,,
ClockInfo,FTM0,SIM->SCGC6,,,,,,,,,,,
ClockInfo,FTM1,SIM->SCGC6,,,,,,,,,,,
ClockInfo,FTM2,SIM->SCGC6,,,,,,,,,,,
ClockInfo,ADC0,SIM->SCGC6,,,,,,,,,,,
ClockInfo,RTC,SIM->SCGC6,,,,,,,,,,,
ClockInfo,DAC0,SIM->SCGC6,,,,,,,,,,,
,,,,,,,,,,,,,
ClockInfo,DMA,SIM->SCGC7,,,,,,,,,,,
,,,,,,,,,,,,,
LPTMR_PCS,0,MCGIRCLK,,,,,,,,,,,
,1,LPO - 1 kHz clock,,,,,,,,,,,
,2,ERCLK32K,,,,,,,,,,,
,3,OSCERCLK_UNDIV - Undivided external,,,,,,,,,,,
