ID,Names,Aliases,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
Pin,PTC10,D25,,,,GPIOC_10,,,I2S0_RX_FS,,,,
Pin,PTC11,D17/ACC_INT1,,,,GPIOC_11/LLWU_P11,,,,,,,
Pin,PTD0,D16,,,,GPIOD_0/LLWU_P12,SPI0_PCS0,UART2_RTS_b,,,,,
Pin,PTD1,D13,ADC0_SE5b,SPI0_SCK,ADC0_SE5b,GPIOD_1,SPI0_SCK,UART2_CTS_b,,,,,
Pin,PTD2,D11,,SPI0_SOUT,,GPIOD_2/LLWU_P13,SPI0_SOUT,UART2_RX,,,,,
Pin,PTD3,D12,,SPI0_SIN,,GPIOD_3,SPI0_SIN,UART2_TX,,,,,
Pin,PTD4,D3/LED_GREEN,,GPIOD_4/LLWU_P14,,GPIOD_4/LLWU_P14,SPI0_PCS1,UART0_RTS_b,FTM0_CH4,,EWM_IN,,
Pin,PTD5,A3,ADC0_SE6b,ADC0_SE6b,ADC0_SE6b,GPIOD_5,SPI0_PCS2,UART0_CTS_b/UART0_COL_b,FTM0_CH5,,EWM_OUT_b,,
Pin,PTD6,A2,ADC0_SE7b,ADC0_SE7b,ADC0_SE7b,GPIOD_6/LLWU_P15,SPI0_PCS3,UART0_RX,FTM0_CH6,,FTM0_FLT0,,
Pin,PTD7,D22,,,,GPIOD_7,CMT_IRO,UART0_TX,FTM0_CH7,,FTM0_FLT1,,
Pin,PTE0,D1,,GPIOE_0,,GPIOE_0,,UART1_TX,,,,RTC_CLKOUT,
Pin,PTE1,D0,,GPIOE_1/LLWU_P0,,GPIOE_1/LLWU_P0,,UART1_RX,,,,,
,,,,,,,,,,,,,
,LPTMR0_ALT1,,Disabled,"[Disabled, PTA19]",,,,,,,,,
,LPTMR0_ALT2,,Disabled,"[Disabled, PTC5]",,,,,,,,,
,SPI0_PCS0,,Disabled,"[Disabled, PTC4, PTD0]",,,,,,,,,
,SPI0_PCS1,,Disabled,"[Disabled, PTC3, PTD4]",,,,,,,,,
,SPI0_PCS2,,Disabled,"[Disabled, PTC2, PTD5]",,,,,,,,,
,SPI0_PCS3,,Disabled,"[Disabled, PTC1, PTD6]",,,,,,,,,
,SPI0_PCS4,,Disabled,"[Disabled, PTC0]",,,,,,,,,
,FTM0_CH6,,PTA1,"[Disabled, PTA1, PTD6]",,,,,,,,,
,FTM1_CH0,,PTA12,"[Disabled, PTA12, PTB0]",,,,,,,,,
,FTM1_CH1,,PTA13,"[Disabled, PTA13, PTB1]",,,,,,,,,
,FTM0_CH7,,PTA2,"[Disabled, PTA2, PTD7]",,,,,,,,,
,ADC0_SE8,,PTB0,"[Disabled, PTB0]",,,,,,,,,
,I2C0_SCL,,PTB0,"[Disabled, PTB0, PTB2]",,,,,,,,,
,ADC0_SE9,,PTB1,"[Disabled, PTB1]",,,,,,,,,
,I2C0_SDA,,PTB1,"[Disabled, PTB1, PTB3]",,,,,,,,,
,ADC0_SE12,,PTB2,"[Disabled, PTB2]",,,,,,,,,
,ADC0_SE13,,PTB3,"[Disabled, PTB3]",,,,,,,,,
,ADC0_SE14,,PTC0,"[Disabled, PTC0]",,,,,,,,,
,ADC0_SE15,,PTC1,"[Disabled, PTC1]",,,,,,,,,
,FTM0_CH0,,PTC1,"[Disabled, PTA3, PTC1]",,,,,,,,,
,ADC0_SE4b,,PTC2,"[Disabled, PTC2]",,,,,,,,,
,FTM0_CH1,,PTC2,"[Disabled, PTA4, PTC2]",,,,,,,,,
,FTM0_CH2,,PTC3,"[Disabled, PTA5, PTC3]",,,,,,,,,
,FTM0_CH3,,PTC4,"[Disabled, PTC4]",,,,,,,,,
,ADC0_SE5b,,PTD1,"[Disabled, PTD1]",,,,,,,,,
,SPI0_SCK,,PTD1,"[Disabled, PTC5, PTD1]",,,,,,,,,
,SPI0_SOUT,,PTD2,"[Disabled, PTC6, PTD2]",,,,,,,,,
,SPI0_SIN,,PTD3,"[Disabled, PTC7, PTD3]",,,,,,,,,
,FTM0_CH4,,PTD4,"[Disabled, PTD4]",,,,,,,,,
,ADC0_SE6b,,PTD5,"[Disabled, PTD5]",,,,,,,,,
,FTM0_CH5,,PTD5,"[Disabled, PTA0, PTD5]",,,,,,,,,
,ADC0_SE7b,,PTD6,"[Disabled, PTD6]",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ClockInfo,EWM,SIM->SCGC4,,,,,,,,,,,
ClockInfo,CMT,SIM->SCGC4,,,,,,,,,,,
ClockInfo,I2C0,SIM->SCGC4,,,,,,,,,,,
ClockInfo,UART0,SIM->SCGC4,,,,,,,,,,,
ClockInfo,UART1,SIM->SCGC4,,,,,,,,,,,
ClockInfo,UART2,SIM->SCGC4,,,,,,,,,,,
ClockInfo,USBOTG,SIM->SCGC4,,,,,,,,,,,
ClockInfo,CMP,SIM->SCGC4,,,,,,,,,,,
ClockInfo,VREF,SIM->SCGC4,,,,,,,,,,,
,,,,,,,,,,,,,
ClockInfo,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,,,,,,,,,
ClockInfo,TSI,SIM->SCGC5,,,,,,,,,,,
ClockInfo,PORTA,SIM->SCGC5,,,,,,,,,,,
ClockInfo,PORTB,SIM->SCGC5,,,,,,,,,,,
ClockInfo,PORTC,SIM->SCGC5,,,,,,,,,,,
ClockInfo,PORTD,SIM->SCGC5,,,,,,,,,,,
ClockInfo,PORTE,SIM->SCGC5,,,,,,,,,,,
,,,,,,,,,,,,,
ClockInfo,DMAMUX,SIM->SCGC6,,,,,,,,,,,
ClockInfo,SPI0,SIM->SCGC6,,,,,,,,,,,
ClockInfo,I2S0,SIM->SCGC6,,,,,,,,,,,
ClockInfo,CRC,SIM->SCGC6,,,,,,,,,,,
ClockInfo,USBDCD,SIM->SCGC6,,,,,,,,,,,
ClockInfo,PDB0,SIM->SCGC6,,,,,,,,,,,
ClockInfo,PIT,SIM->SCGC6,,,,,,,,,,,
ClockInfo,FTM0,SIM->SCGC6,,,,,,,,,,,
ClockInfo,FTM1,SIM->SCGC6,,,,,,,,,,,
ClockInfo,ADC0,SIM->SCGC6,,,,,,,,,,,
ClockInfo,RTC,SIM->SCGC6,,,,,,,,,,,
,,,,,,,,,,,,,
ClockInfo,DMA,SIM->SCGC7,,,,,,,,,,,
