ID,Names,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7
Pin,PTB0,LCD_P0/ADC0_SE8/TSI0_CH0,GPIOB_0/LLWU_P5,I2C0_SCL,TPM1_CH0,,,,LCD_P0
Pin,PTB1,LCD_P1/ADC0_SE9/TSI0_CH6,GPIOB_1,I2C0_SDA,TPM1_CH1,,,,LCD_P1
Pin,PTB2,LCD_P2/ADC0_SE12/TSI0_CH7,GPIOB_2,I2C0_SCL,TPM2_CH0,,,,LCD_P2
Pin,PTB3,LCD_P3/ADC0_SE13/TSI0_CH8,GPIOB_3,I2C0_SDA,TPM2_CH1,,,,LCD_P3
Pin,PTB7,LCD_P7,GPIOB_7,,,,,,LCD_P7
Pin,PTB8,LCD_P8,GPIOB_8,SPI1_PCS0,EXTRG_IN,,,,LCD_P8
Pin,PTB9,LCD_P9,GPIOB_9,SPI1_SCK,,,,,LCD_P9
Pin,PTB10,LCD_P10,GPIOB_10,SPI1_PCS0,,,,,LCD_P10
Pin,PTB11,LCD_P11,GPIOB_11,SPI1_SCK,,,,,LCD_P11
Pin,PTB16,LCD_P12/TSI0_CH9,GPIOB_16,SPI1_MOSI,UART0_RX,TPM_CLKIN0,SPI1_MISO,,LCD_P12
Pin,PTB17,LCD_P13/TSI0_CH10,GPIOB_17,SPI1_MISO,UART0_TX,TPM_CLKIN1,SPI1_MOSI,,LCD_P13
Pin,PTB18,LCD_P14/TSI0_CH11,GPIOB_18,,TPM2_CH0,I2S0_TX_BCLK,,,LCD_P14
Pin,PTB19,LCD_P15/TSI0_CH12,GPIOB_19,,TPM2_CH1,I2S0_TX_FS,,,LCD_P15
Pin,PTB20,LCD_P16,GPIOB_20,,,,,CMP0_OUT,LCD_P16
Pin,PTB21,LCD_P17,GPIOB_21,,,,,,LCD_P17
Pin,PTB22,LCD_P18,GPIOB_22,,,,,,LCD_P18
Pin,PTB23,LCD_P19,GPIOB_23,,,,,,LCD_P19
Pin,PTC0,LCD_P20/ADC0_SE14/TSI0_CH13,GPIOC_0,,EXTRG_IN,USB_SOF_OUT,CMP0_OUT,I2S0_TXD0,LCD_P20
Pin,PTC1,LCD_P21/ADC0_SE15/TSI0_CH14,GPIOC_1/LLWU_P6/RTC_CLKIN,I2C1_SCL,,TPM0_CH0,,I2S0_TXD0,LCD_P21
Pin,PTC2,LCD_P22/ADC0_SE11/TSI0_CH15,GPIOC_2,I2C1_SDA,,TPM0_CH1,,I2S0_TX_FS,LCD_P22
Pin,PTC3,LCD_P23,GPIOC_3/LLWU_P7,,UART1_RX,TPM0_CH2,CLKOUT,I2S0_TX_BCLK,LCD_P23
,VSS,VSS,,,,,,,
,VDD,VDD,,,,,,,
,VLL3,VLL3,,,,,,,
,VLL2,VLL2/LCD_P4,GPIOC_20,,,,,,LCD_P4
,VLL1,VLL1/LCD_P5,GPIOC_21,,,,,,LCD_P5
,VCAP2,VCAP2/LCD_P6,GPIOC_22,,,,,,LCD_P6
,VCAP1,VCAP1/LCD_P39,GPIOC_23,,,,,,LCD_P39
Pin,PTC4,LCD_P24,GPIOC_4/LLWU_P8,SPI0_PCS0,UART1_TX,TPM0_CH3,I2S0_MCLK,,LCD_P24
Pin,PTC5,LCD_P25,GPIOC_5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,,CMP0_OUT,LCD_P25
Pin,PTC6,LCD_P26/CMP0_IN0,GPIOC_6/LLWU_P10,SPI0_MOSI,EXTRG_IN,I2S0_RX_BCLK,SPI0_MISO,I2S0_MCLK,LCD_P26
Pin,PTC7,LCD_P27/CMP0_IN1,GPIOC_7,SPI0_MISO,audioUSB_SOF_OUT,I2S0_RX_FS,SPI0_MOSI,,LCD_P27
Pin,PTC8,LCD_P28/CMP0_IN2,GPIOC_8,I2C0_SCL,TPM0_CH4,I2S0_MCLK,,,LCD_P28
Pin,PTC9,LCD_P29/CMP0_IN3,GPIOC_9,I2C0_SDA,TPM0_CH5,I2S0_RX_BCLK,,,LCD_P29
Pin,PTC10,LCD_P30,GPIOC_10,I2C1_SCL,,I2S0_RX_FS,,,LCD_P30
Pin,PTC11,LCD_P31,GPIOC_11,I2C1_SDA,,I2S0_RXD0,,,LCD_P31
Pin,PTC12,LCD_P32,GPIOC_12,,,TPM_CLKIN0,,,LCD_P32
Pin,PTC13,LCD_P33,GPIOC_13,,,TPM_CLKIN1,,,LCD_P33
Pin,PTC16,LCD_P36,GPIOC_16,,,,,,LCD_P36
Pin,PTC17,LCD_P37,GPIOC_17,,,,,,LCD_P37
Pin,PTC18,LCD_P38,GPIOC_18,,,,,,LCD_P38
Pin,PTD0,LCD_P40,GPIOD_0,SPI0_PCS0,,TPM0_CH0,,,LCD_P40
Pin,PTD1,LCD_P41/ADC0_SE5b,GPIOD_1,SPI0_SCK,,TPM0_CH1,,,LCD_P41
Pin,PTD2,LCD_P42,GPIOD_2,SPI0_MOSI,UART2_RX,TPM0_CH2,SPI0_MISO,,LCD_P42
Pin,PTD3,LCD_P43,GPIOD_3,SPI0_MISO,UART2_TX,TPM0_CH3,SPI0_MOSI,,LCD_P43
Pin,PTD4,LCD_P44,GPIOD_4/LLWU_P14,SPI1_PCS0,UART2_RX,TPM0_CH4,,,LCD_P44
Pin,PTD5,LCD_P45/ADC0_SE6b,GPIOD_5,SPI1_SCK,UART2_TX,TPM0_CH5,,,LCD_P45
Pin,PTD6,LCD_P46/ADC0_SE7b,GPIOD_6/LLWU_P15,SPI1_MOSI,UART0_RX,,SPI1_MISO,,LCD_P46
Pin,PTD7,LCD_P47,GPIOD_7,SPI1_MISO,UART0_TX,,SPI1_MOSI,,LCD_P47
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Default,ADC0_SE0,PTE20,"[Disabled, PTE20]",,,,,,
Default,ADC0_SE1,PTE16,"[Disabled, PTE16]",,,,,,
Default,ADC0_SE11,PTC2,"[Disabled, PTC2]",,,,,,
Default,ADC0_SE12,PTB2,"[Disabled, PTB2]",,,,,,
Default,ADC0_SE13,PTB3,"[Disabled, PTB3]",,,,,,
Default,ADC0_SE14,PTC0,"[Disabled, PTC0]",,,,,,
Default,ADC0_SE15,PTC1,"[Disabled, PTC1]",,,,,,
Default,ADC0_SE2,PTE18,"[Disabled, PTE18]",,,,,,
Default,ADC0_SE23,PTE30,"[Disabled, PTE30]",,,,,,
Default,ADC0_SE3,PTE22,"[Disabled, PTE22]",,,,,,
Default,ADC0_SE4b,PTE29,"[Disabled, PTE29]",,,,,,
Default,ADC0_SE5b,PTD1,"[Disabled, PTD1]",,,,,,
Default,ADC0_SE6b,PTD5,"[Disabled, PTD5]",,,,,,
Default,ADC0_SE7b,PTD6,"[Disabled, PTD6]",,,,,,
Default,ADC0_SE8,PTB0,"[Disabled, PTB0]",,,,,,
Default,ADC0_SE9,PTB1,"[Disabled, PTB1]",,,,,,
Default,I2C0_SCL,PTE24,"[Disabled, PTB0, PTB2, PTC8, PTE19, PTE24]",,,,,,
Default,I2C0_SDA,PTE25,"[Disabled, PTB1, PTB3, PTC9, PTE18, PTE25]",,,,,,
Default,I2C1_SCL,PTE1,"[Disabled, PTA3, PTC1, PTC10, PTE1]",,,,,,
Default,I2C1_SDA,PTE0,"[Disabled, PTA4, PTC2, PTC11, PTE0]",,,,,,
Default,LPTMR0_ALT1,Disabled,"[Disabled, PTA19]",,,,,,
Default,LPTMR0_ALT2,Disabled,"[Disabled, PTC5]",,,,,,
Default,LPTMR0_ALT3,Disabled,"[Disabled, PTE17]",,,,,,
Default,SPI0_MISO,Disabled,"[Disabled, PTA16, PTA17, PTC6, PTC7, PTD2, PTD3, PTE18, PTE19]",,,,,,
Default,SPI0_MOSI,Disabled,"[Disabled, PTA16, PTA17, PTC6, PTC7, PTD2, PTD3, PTE18, PTE19]",,,,,,
Default,SPI0_PCS0,Disabled,"[Disabled, PTA14, PTC4, PTD0, PTE16]",,,,,,
Default,SPI0_SCK,Disabled,"[Disabled, PTA15, PTC5, PTD1, PTE17]",,,,,,
Default,SPI1_MISO,PTD7,"[Disabled, PTB16, PTB17, PTD6, PTD7, PTE0, PTE1, PTE3]",,,,,,
Default,SPI1_MOSI,PTD6,"[Disabled, PTB16, PTB17, PTD6, PTD7, PTE1, PTE3]",,,,,,
Default,SPI1_PCS0,PTD4,"[Disabled, PTB8, PTB10, PTD4, PTE4]",,,,,,
Default,SPI1_SCK,PTD5,"[Disabled, PTB9, PTB11, PTD5, PTE2]",,,,,,
Default,TPM0_CH0,PTC1,"[Disabled, PTA3, PTC1, PTD0, PTE24]",,,,,,
Default,TPM0_CH1,PTC2,"[Disabled, PTA4, PTC2, PTD1, PTE25]",,,,,,
Default,TPM0_CH2,PTD2,"[Disabled, PTA5, PTC3, PTD2, PTE29]",,,,,,
Default,TPM0_CH3,PTC4,"[Disabled, PTA6, PTC4, PTD3, PTE30]",,,,,,
Default,TPM0_CH4,PTD4,"[Disabled, PTA7, PTC8, PTD4, PTE31]",,,,,,
Default,TPM0_CH5,PTC9,"[Disabled, PTA0, PTC9, PTD5, PTE26]",,,,,,
Default,TPM1_CH0,PTA12,"[Disabled, PTA12, PTB0, PTE20]",,,,,,
Default,TPM1_CH1,PTA13,"[Disabled, PTA13, PTB1, PTE21]",,,,,,
Default,TPM2_CH0,PTB2,"[Disabled, PTA1, PTB2, PTB18, PTE22]",,,,,,
Default,TPM2_CH1,PTB3,"[Disabled, PTA2, PTB3, PTB19, PTE23]",,,,,,
,,,,,,,,,
ClockInfo,I2C0,SIM->SCGC4,,,,,,,
ClockInfo,I2C1,SIM->SCGC4,,,,,,,
ClockInfo,UART0,SIM->SCGC4,,,,,,,
ClockInfo,UART1,SIM->SCGC4,,,,,,,
ClockInfo,UART2,SIM->SCGC4,,,,,,,
ClockInfo,UART3,SIM->SCGC4,,,,,,,
ClockInfo,USB0,SIM->SCGC4,,,,,,,
ClockInfo,CMP0,SIM->SCGC4,,,,,,,
ClockInfo,SPI0,SIM->SCGC4,,,,,,,
ClockInfo,SPI1,SIM->SCGC4,,,,,,,
,,,,,,,,,
ClockInfo,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,,,,,
ClockInfo,TSI,SIM->SCGC5,,,,,,,
ClockInfo,PORTA,SIM->SCGC5,,,,,,,
ClockInfo,PORTB,SIM->SCGC5,,,,,,,
ClockInfo,PORTC,SIM->SCGC5,,,,,,,
ClockInfo,PORTD,SIM->SCGC5,,,,,,,
ClockInfo,PORTE,SIM->SCGC5,,,,,,,
ClockInfo,SLCD,SIM->SCGC5,,,,,,,
,,,,,,,,,
ClockInfo,DMAMUX,SIM->SCGC6,,,,,,,
ClockInfo,I2S0,SIM->SCGC6,,,,,,,
ClockInfo,PIT,SIM->SCGC6,,,,,,,
ClockInfo,TPM0,SIM->SCGC6,,,,,,,
ClockInfo,TPM1,SIM->SCGC6,,,,,,,
ClockInfo,TPM2,SIM->SCGC6,,,,,,,
ClockInfo,ADC0,SIM->SCGC6,,,,,,,
ClockInfo,RTC,SIM->SCGC6,,,,,,,
ClockInfo,DAC0,SIM->SCGC6,,,,,,,
,,,,,,,,,
ClockInfo,DMA,SIM->SCGC7,,,,,,,
,,,,,,,,,
,,,,,,,,,
Alias,D0,PTA1,,,,,,,
Alias,D1,PTA2,,,,,,,
Alias,D2,PTD3,,,,,,,
Alias,D3,PTA12,,,,,,,
Alias,D4,PTA4,,,,,,,
Alias,D5,PTA5,,,,,,,
Alias,D6,PTC8,,,,,,,
Alias,D7,PTC9,,,,,,,
,,,,,,,,,
Alias,D8,PTA13,,,,,,,
Alias,D9,PTD2,,,,,,,
Alias,D10,PTD4,,,,,,,
Alias,D11,PTD6,,,,,,,
Alias,D12,PTD7,,,,,,,
Alias,D13,PTD5,,,,,,,
Alias,D14,PTE0,,,,,,,
Alias,D15,PTE1,,,,,,,
,,,,,,,,,
Alias,A5,PTC1,,,,,,,
Alias,A4,PTC2,,,,,,,
Alias,A3,PTB3,,,,,,,
Alias,A2,PTB2,,,,,,,
Alias,A1,PTB1,,,,,,,
Alias,A0,PTB0,,,,,,,
,,,,,,,,,
Alias,MAG_SDA,PTE25,,,,,,,
Alias,MAG_SCL,PTE24,,,,,,,
Alias,MAG_INT,PTD1,,,,,,,
,,,,,,,,,
Alias,ACC_INT1,PTC5,,,,,,,
Alias,ACC_INT2,PTD1,,,,,,,
Alias,ACC_SDA,PTE25,,,,,,,
Alias,ACC_SCL,PTE24,,,,,,,
,,,,,,,,,
Alias,RED_LED,PTD5,,,,,,,
Alias,GRN_LED,PTE29,,,,,,,
Alias,LIGHT_SENS,PTE22,,,,,,,
